Time,wT4G1.P,wT4G1.Q,GEN1.V,FAULT.V,GEN2.V
-0.0166667, 0.015, -0.0566568, 1, 1.0001, 1
-0.0116667, 0.015, -0.0566568, 1, 1.0001, 1
-0.00666667, 0.015, -0.0566568, 1, 1.0001, 1
-0.00166667, 0.015, -0.0566568, 1, 1.0001, 1
0.00333333, 0.015, -0.0566568, 1, 1.0001, 1
0.00833333, 0.015, -0.0566568, 1, 1.0001, 1
0.0133333, 0.015, -0.0566568, 1, 1.0001, 1
0.0183333, 0.015, -0.0566568, 1, 1.0001, 1
0.0233333, 0.015, -0.0566568, 1, 1.0001, 1
0.0283333, 0.015, -0.0566568, 1, 1.0001, 1
0.0333333, 0.015, -0.0566568, 1, 1.0001, 1
0.0383333, 0.015, -0.0566568, 1, 1.0001, 1
0.0433333, 0.015, -0.0566568, 1, 1.0001, 1
0.0483333, 0.015, -0.0566568, 1, 1.0001, 1
0.0533333, 0.015, -0.0566568, 1, 1.0001, 1
0.0583333, 0.015, -0.0566568, 1, 1.0001, 1
0.0633333, 0.015, -0.0566568, 1, 1.0001, 1
0.0683333, 0.015, -0.0566568, 1, 1.0001, 1
0.0733333, 0.015, -0.0566568, 1, 1.0001, 1
0.0783333, 0.015, -0.0566568, 1, 1.0001, 1
0.0833333, 0.015, -0.0566568, 1, 1.0001, 1
0.0883333, 0.015, -0.0566568, 1, 1.0001, 1
0.0933333, 0.015, -0.0566568, 1, 1.0001, 1
0.0983333, 0.015, -0.0566568, 1, 1.0001, 1
0.103333, 0.015, -0.0566568, 1, 1.0001, 1
0.108333, 0.015, -0.0566568, 1, 1.0001, 1
0.113333, 0.015, -0.0566568, 1, 1.0001, 1
0.118333, 0.015, -0.0566568, 1, 1.0001, 1
0.123333, 0.015, -0.0566568, 1, 1.0001, 1
0.128333, 0.015, -0.0566568, 1, 1.0001, 1
0.133333, 0.015, -0.0566568, 1, 1.0001, 1
0.138333, 0.015, -0.0566568, 1, 1.0001, 1
0.143333, 0.015, -0.0566568, 1, 1.0001, 1
0.148333, 0.015, -0.0566568, 1, 1.0001, 1
0.153333, 0.015, -0.0566568, 1, 1.0001, 1
0.158333, 0.015, -0.0566568, 1, 1.0001, 1
0.163333, 0.015, -0.0566568, 1, 1.0001, 1
0.168333, 0.015, -0.0566568, 1, 1.0001, 1
0.173333, 0.015, -0.0566568, 1, 1.0001, 1
0.178333, 0.015, -0.0566568, 1, 1.0001, 1
0.183333, 0.015, -0.0566568, 1, 1.0001, 1
0.188333, 0.015, -0.0566568, 1, 1.0001, 1
0.193333, 0.015, -0.0566568, 1, 1.0001, 1
0.198333, 0.015, -0.0566568, 1, 1.0001, 1
0.203333, 0.015, -0.0566568, 1, 1.0001, 1
0.208333, 0.015, -0.0566568, 1, 1.0001, 1
0.213333, 0.015, -0.0566568, 1, 1.0001, 1
0.218333, 0.015, -0.0566568, 1, 1.0001, 1
0.223333, 0.015, -0.0566568, 1, 1.0001, 1
0.228333, 0.015, -0.0566568, 1, 1.0001, 1
0.233333, 0.015, -0.0566568, 1, 1.0001, 1
0.238333, 0.015, -0.0566568, 1, 1.0001, 1
0.243333, 0.015, -0.0566568, 1, 1.0001, 1
0.248333, 0.015, -0.0566568, 1, 1.0001, 1
0.253333, 0.015, -0.0566568, 1, 1.0001, 1
0.258333, 0.015, -0.0566568, 1, 1.0001, 1
0.263333, 0.015, -0.0566568, 1, 1.0001, 1
0.268333, 0.015, -0.0566568, 1, 1.0001, 1
0.273333, 0.015, -0.0566568, 1, 1.0001, 1
0.278333, 0.015, -0.0566568, 1, 1.0001, 1
0.283333, 0.015, -0.0566568, 1, 1.0001, 1
0.288333, 0.015, -0.0566568, 1, 1.0001, 1
0.293333, 0.015, -0.0566568, 1, 1.0001, 1
0.298333, 0.015, -0.0566568, 1, 1.0001, 1
0.303333, 0.015, -0.0566568, 1, 1.0001, 1
0.308333, 0.015, -0.0566568, 1, 1.0001, 1
0.313333, 0.015, -0.0566568, 1, 1.0001, 1
0.318333, 0.015, -0.0566568, 1, 1.0001, 1
0.323333, 0.015, -0.0566568, 1, 1.0001, 1
0.328333, 0.015, -0.0566568, 1, 1.0001, 1
