Time,gENSAL.delta,gENSAL.PELEC,hYGOV.PMECH,gENSAL.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
-0.0166667, 20.323, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.0116667, 20.323, 0.4, 0.4, 5.06842e-11, 1, 0.991993, 1, 0.995984
-0.00666667, 20.323, 0.4, 0.4, 8.44737e-11, 1, 0.991993, 1, 0.995984
-0.00166667, 20.323, 0.4, 0.4, 1.18263e-10, 1, 0.991993, 1, 0.995984
0.00333333, 20.323, 0.4, 0.4, 1.52053e-10, 1, 0.991993, 1, 0.995984
0.00833333, 20.323, 0.4, 0.4, 1.85842e-10, 1, 0.991993, 1, 0.995984
0.0133333, 20.323, 0.4, 0.4, 2.19632e-10, 1, 0.991993, 1, 0.995984
0.0183333, 20.323, 0.4, 0.4, 2.53421e-10, 1, 0.991993, 1, 0.995984
0.0233333, 20.323, 0.4, 0.4, 2.87211e-10, 1, 0.991993, 1, 0.995984
0.0283333, 20.323, 0.4, 0.4, 3.21e-10, 1, 0.991993, 1, 0.995984
0.0333333, 20.323, 0.4, 0.4, 3.5479e-10, 1, 0.991993, 1, 0.995984
0.0383333, 20.323, 0.4, 0.4, 3.88579e-10, 1, 0.991993, 1, 0.995984
0.0433333, 20.323, 0.4, 0.4, 4.22368e-10, 1, 0.991993, 1, 0.995984
0.0483333, 20.323, 0.4, 0.4, 4.56158e-10, 1, 0.991993, 1, 0.995984
0.0533333, 20.323, 0.4, 0.4, 4.89947e-10, 1, 0.991993, 1, 0.995984
0.0583333, 20.323, 0.4, 0.4, 5.23737e-10, 1, 0.991993, 1, 0.995984
0.0633333, 20.323, 0.4, 0.4, 5.57526e-10, 1, 0.991993, 1, 0.995984
0.0683333, 20.323, 0.4, 0.4, 5.91316e-10, 1, 0.991993, 1, 0.995984
0.0733333, 20.323, 0.4, 0.4, 6.25105e-10, 1, 0.991993, 1, 0.995984
0.0783333, 20.323, 0.4, 0.4, 6.58895e-10, 1, 0.991993, 1, 0.995984
0.0833333, 20.323, 0.4, 0.4, 6.92684e-10, 1, 0.991993, 1, 0.995984
0.0883333, 20.323, 0.4, 0.4, 7.26474e-10, 1, 0.991993, 1, 0.995984
0.0933333, 20.323, 0.4, 0.4, 7.60263e-10, 1, 0.991993, 1, 0.995984
0.0983333, 20.323, 0.4, 0.4, 7.94053e-10, 1, 0.991993, 1, 0.995984
0.103333, 20.323, 0.4, 0.4, 8.27842e-10, 1, 0.991993, 1, 0.995984
0.108333, 20.323, 0.4, 0.4, 8.61632e-10, 1, 0.991993, 1, 0.995984
0.113333, 20.323, 0.4, 0.4, 8.95421e-10, 1, 0.991993, 1, 0.995984
0.118333, 20.323, 0.4, 0.4, 9.29211e-10, 1, 0.991993, 1, 0.995984
0.123333, 20.323, 0.4, 0.4, 9.63e-10, 1, 0.991993, 1, 0.995984
0.128333, 20.323, 0.4, 0.4, 9.9679e-10, 1, 0.991993, 1, 0.995984
0.133333, 20.323, 0.4, 0.4, 1.03058e-09, 1, 0.991993, 1, 0.995984
0.138333, 20.323, 0.4, 0.4, 1.06437e-09, 1, 0.991993, 1, 0.995984
0.143333, 20.323, 0.4, 0.4, 1.09816e-09, 1, 0.991993, 1, 0.995984
0.148333, 20.323, 0.4, 0.4, 1.13195e-09, 1, 0.991993, 1, 0.995984
0.153333, 20.323, 0.4, 0.4, 1.16574e-09, 1, 0.991993, 1, 0.995984
0.158333, 20.323, 0.4, 0.4, 1.19953e-09, 1, 0.991993, 1, 0.995984
0.163333, 20.323, 0.4, 0.4, 1.23332e-09, 1, 0.991993, 1, 0.995984
0.168333, 20.323, 0.4, 0.4, 1.26711e-09, 1, 0.991993, 1, 0.995984
0.173333, 20.323, 0.4, 0.4, 1.3009e-09, 1, 0.991993, 1, 0.995984
0.178333, 20.323, 0.4, 0.4, 1.33468e-09, 1, 0.991993, 1, 0.995984
0.183333, 20.323, 0.4, 0.4, 1.36847e-09, 1, 0.991993, 1, 0.995984
0.188333, 20.323, 0.4, 0.4, 1.40226e-09, 1, 0.991993, 1, 0.995984
0.193333, 20.323, 0.4, 0.4, 1.43605e-09, 1, 0.991993, 1, 0.995984
0.198333, 20.323, 0.4, 0.4, 1.46984e-09, 1, 0.991993, 1, 0.995984
0.203333, 20.323, 0.4, 0.4, 1.50363e-09, 1, 0.991993, 1, 0.995984
0.208333, 20.323, 0.4, 0.4, 1.53742e-09, 1, 0.991993, 1, 0.995984
0.213333, 20.323, 0.4, 0.4, 1.57121e-09, 1, 0.991993, 1, 0.995984
0.218333, 20.323, 0.4, 0.4, 1.605e-09, 1, 0.991993, 1, 0.995984
0.223333, 20.323, 0.4, 0.4, 1.63879e-09, 1, 0.991993, 1, 0.995984
0.228333, 20.323, 0.4, 0.4, 1.67258e-09, 1, 0.991993, 1, 0.995984
0.233333, 20.323, 0.4, 0.4, 1.70637e-09, 1, 0.991993, 1, 0.995984
0.238333, 20.323, 0.4, 0.4, 1.74016e-09, 1, 0.991993, 1, 0.995984
0.243333, 20.323, 0.4, 0.4, 1.77395e-09, 1, 0.991993, 1, 0.995984
0.248333, 20.323, 0.4, 0.4, 1.80774e-09, 1, 0.991993, 1, 0.995984
0.253333, 20.323, 0.4, 0.4, 1.84153e-09, 1, 0.991993, 1, 0.995984
0.258333, 20.323, 0.4, 0.4, 1.87532e-09, 1, 0.991993, 1, 0.995984
0.263333, 20.323, 0.4, 0.4, 1.90911e-09, 1, 0.991993, 1, 0.995984
0.268333, 20.323, 0.4, 0.4, 1.9429e-09, 1, 0.991993, 1, 0.995984
0.273333, 20.323, 0.4, 0.4, 1.97669e-09, 1, 0.991993, 1, 0.995984
0.278333, 20.323, 0.4, 0.4, 2.01047e-09, 1, 0.991993, 1, 0.995984
0.283333, 20.323, 0.4, 0.4, 2.04426e-09, 1, 0.991993, 1, 0.995984
0.288333, 20.323, 0.4, 0.4, 2.07805e-09, 1, 0.991993, 1, 0.995984
0.293333, 20.323, 0.4, 0.4, 2.11184e-09, 1, 0.991993, 1, 0.995984
0.298333, 20.323, 0.4, 0.4, 2.14563e-09, 1, 0.991993, 1, 0.995984
0.303333, 20.323, 0.4, 0.4, 2.17942e-09, 1, 0.991993, 1, 0.995984
0.308333, 20.323, 0.4, 0.4, 2.21321e-09, 1, 0.991993, 1, 0.995984
0.313333, 20.323, 0.4, 0.4, 2.247e-09, 1, 0.991993, 1, 0.995984
0.318333, 20.323, 0.4, 0.4, 2.28079e-09, 1, 0.991993, 1, 0.995984
0.323333, 20.323, 0.4, 0.4, 2.31458e-09, 1, 0.991993, 1, 0.995984
0.328333, 20.323, 0.4, 0.4, 2.34837e-09, 1, 0.991993, 1, 0.995984
0.333333, 20.323, 0.4, 0.4, 2.38216e-09, 1, 0.991993, 1, 0.995984
0.338333, 20.323, 0.4, 0.4, 2.41595e-09, 1, 0.991993, 1, 0.995984
0.343333, 20.323, 0.4, 0.4, 2.44974e-09, 1, 0.991993, 1, 0.995984
0.348333, 20.323, 0.4, 0.4, 2.48353e-09, 1, 0.991993, 1, 0.995984
0.353333, 20.323, 0.4, 0.4, 2.51732e-09, 1, 0.991993, 1, 0.995984
0.358333, 20.323, 0.4, 0.4, 2.55111e-09, 1, 0.991993, 1, 0.995984
0.363333, 20.323, 0.4, 0.4, 2.58489e-09, 1, 0.991993, 1, 0.995984
0.368333, 20.323, 0.4, 0.4, 2.61868e-09, 1, 0.991993, 1, 0.995984
0.373333, 20.323, 0.4, 0.4, 2.65247e-09, 1, 0.991993, 1, 0.995984
0.378333, 20.323, 0.4, 0.4, 2.68626e-09, 1, 0.991993, 1, 0.995984
0.383333, 20.323, 0.4, 0.4, 2.72005e-09, 1, 0.991993, 1, 0.995984
0.388333, 20.323, 0.4, 0.4, 2.75384e-09, 1, 0.991993, 1, 0.995984
0.393333, 20.323, 0.4, 0.4, 2.78763e-09, 1, 0.991993, 1, 0.995984
0.398333, 20.323, 0.4, 0.4, 2.82142e-09, 1, 0.991993, 1, 0.995984
0.403333, 20.323, 0.4, 0.4, 2.85521e-09, 1, 0.991993, 1, 0.995984
0.408333, 20.323, 0.4, 0.4, 2.889e-09, 1, 0.991993, 1, 0.995984
0.413333, 20.323, 0.4, 0.4, 2.92279e-09, 1, 0.991993, 1, 0.995984
0.418333, 20.323, 0.4, 0.4, 2.95658e-09, 1, 0.991993, 1, 0.995984
0.423333, 20.323, 0.4, 0.4, 2.99037e-09, 1, 0.991993, 1, 0.995984
0.428333, 20.323, 0.4, 0.4, 3.02416e-09, 1, 0.991993, 1, 0.995984
0.433333, 20.323, 0.4, 0.4, 3.05795e-09, 1, 0.991993, 1, 0.995984
0.438333, 20.323, 0.4, 0.4, 3.09174e-09, 1, 0.991993, 1, 0.995984
0.443333, 20.323, 0.4, 0.4, 3.12553e-09, 1, 0.991993, 1, 0.995984
0.448333, 20.323, 0.4, 0.4, 3.15932e-09, 1, 0.991993, 1, 0.995984
0.453333, 20.323, 0.4, 0.4, 3.1931e-09, 1, 0.991993, 1, 0.995984
0.453333, 20.323, 0.4, 0.4, 3.1931e-09, 1, 0.991993, 1, 0.995984
0.453383, 20.323, 0.4, 0.4, 3.17672e-09, 1, 0.991993, 1, 0.995984
0.453433, 20.323, 0.4, 0.4, 3.17705e-09, 1, 0.991993, 1, 0.995984
0.453483, 20.323, 0.4, 0.4, 3.17739e-09, 1, 0.991993, 1, 0.995984
