Time,gENSAL.delta,gENSAL.PELEC,iEESGO.PMECH,gENSAL.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
-0.0166667, 20.323, 0.4, 0.4, 0, 1, 0.991993, 1, 0.995984
-0.0116667, 20.323, 0.4, 0.4, 2.53421e-11, 1, 0.991993, 1, 0.995984
-0.00666667, 20.323, 0.4, 0.4, 4.22369e-11, 1, 0.991993, 1, 0.995984
-0.00166667, 20.323, 0.4, 0.4, 5.91316e-11, 1, 0.991993, 1, 0.995984
0.00333333, 20.323, 0.4, 0.4, 7.60263e-11, 1, 0.991993, 1, 0.995984
0.00833333, 20.323, 0.4, 0.4, 9.29211e-11, 1, 0.991993, 1, 0.995984
0.0133333, 20.323, 0.4, 0.4, 1.09816e-10, 1, 0.991993, 1, 0.995984
0.0183333, 20.323, 0.4, 0.4, 1.26711e-10, 1, 0.991993, 1, 0.995984
0.0233333, 20.323, 0.4, 0.4, 1.43605e-10, 1, 0.991993, 1, 0.995984
0.0283333, 20.323, 0.4, 0.4, 1.605e-10, 1, 0.991993, 1, 0.995984
0.0333333, 20.323, 0.4, 0.4, 1.77395e-10, 1, 0.991993, 1, 0.995984
0.0383333, 20.323, 0.4, 0.4, 1.9429e-10, 1, 0.991993, 1, 0.995984
0.0433333, 20.323, 0.4, 0.4, 2.11184e-10, 1, 0.991993, 1, 0.995984
0.0483333, 20.323, 0.4, 0.4, 2.28079e-10, 1, 0.991993, 1, 0.995984
0.0533333, 20.323, 0.4, 0.4, 2.44974e-10, 1, 0.991993, 1, 0.995984
0.0583333, 20.323, 0.4, 0.4, 2.61868e-10, 1, 0.991993, 1, 0.995984
0.0633333, 20.323, 0.4, 0.4, 2.78763e-10, 1, 0.991993, 1, 0.995984
0.0683333, 20.323, 0.4, 0.4, 2.95658e-10, 1, 0.991993, 1, 0.995984
0.0733333, 20.323, 0.4, 0.4, 3.12553e-10, 1, 0.991993, 1, 0.995984
0.0783333, 20.323, 0.4, 0.4, 3.29447e-10, 1, 0.991993, 1, 0.995984
0.0833333, 20.323, 0.4, 0.4, 3.46342e-10, 1, 0.991993, 1, 0.995984
0.0883333, 20.323, 0.4, 0.4, 3.63237e-10, 1, 0.991993, 1, 0.995984
0.0933333, 20.323, 0.4, 0.4, 3.80132e-10, 1, 0.991993, 1, 0.995984
0.0983333, 20.323, 0.4, 0.4, 3.97026e-10, 1, 0.991993, 1, 0.995984
0.103333, 20.323, 0.4, 0.4, 4.13921e-10, 1, 0.991993, 1, 0.995984
0.108333, 20.323, 0.4, 0.4, 4.30816e-10, 1, 0.991993, 1, 0.995984
0.113333, 20.323, 0.4, 0.4, 4.47711e-10, 1, 0.991993, 1, 0.995984
0.118333, 20.323, 0.4, 0.4, 4.64605e-10, 1, 0.991993, 1, 0.995984
0.123333, 20.323, 0.4, 0.4, 4.815e-10, 1, 0.991993, 1, 0.995984
0.128333, 20.323, 0.4, 0.4, 4.98395e-10, 1, 0.991993, 1, 0.995984
0.133333, 20.323, 0.4, 0.4, 5.1529e-10, 1, 0.991993, 1, 0.995984
0.138333, 20.323, 0.4, 0.4, 5.32184e-10, 1, 0.991993, 1, 0.995984
0.143333, 20.323, 0.4, 0.4, 5.49079e-10, 1, 0.991993, 1, 0.995984
0.148333, 20.323, 0.4, 0.4, 5.65974e-10, 1, 0.991993, 1, 0.995984
0.153333, 20.323, 0.4, 0.4, 5.82869e-10, 1, 0.991993, 1, 0.995984
0.158333, 20.323, 0.4, 0.4, 5.99763e-10, 1, 0.991993, 1, 0.995984
0.163333, 20.323, 0.4, 0.4, 6.16658e-10, 1, 0.991993, 1, 0.995984
0.168333, 20.323, 0.4, 0.4, 6.33553e-10, 1, 0.991993, 1, 0.995984
0.173333, 20.323, 0.4, 0.4, 6.50448e-10, 1, 0.991993, 1, 0.995984
0.178333, 20.323, 0.4, 0.4, 6.67342e-10, 1, 0.991993, 1, 0.995984
0.183333, 20.323, 0.4, 0.4, 6.84237e-10, 1, 0.991993, 1, 0.995984
0.188333, 20.323, 0.4, 0.4, 7.01132e-10, 1, 0.991993, 1, 0.995984
0.193333, 20.323, 0.4, 0.4, 7.18027e-10, 1, 0.991993, 1, 0.995984
0.198333, 20.323, 0.4, 0.4, 7.34921e-10, 1, 0.991993, 1, 0.995984
0.203333, 20.323, 0.4, 0.4, 7.51816e-10, 1, 0.991993, 1, 0.995984
0.208333, 20.323, 0.4, 0.4, 7.68711e-10, 1, 0.991993, 1, 0.995984
0.213333, 20.323, 0.4, 0.4, 7.85606e-10, 1, 0.991993, 1, 0.995984
0.218333, 20.323, 0.4, 0.4, 8.02501e-10, 1, 0.991993, 1, 0.995984
0.223333, 20.323, 0.4, 0.4, 8.19395e-10, 1, 0.991993, 1, 0.995984
0.228333, 20.323, 0.4, 0.4, 8.3629e-10, 1, 0.991993, 1, 0.995984
0.233333, 20.323, 0.4, 0.4, 8.53185e-10, 1, 0.991993, 1, 0.995984
0.238333, 20.323, 0.4, 0.4, 8.7008e-10, 1, 0.991993, 1, 0.995984
0.243333, 20.323, 0.4, 0.4, 8.86974e-10, 1, 0.991993, 1, 0.995984
0.248333, 20.323, 0.4, 0.4, 9.03869e-10, 1, 0.991993, 1, 0.995984
0.253333, 20.323, 0.4, 0.4, 9.20764e-10, 1, 0.991993, 1, 0.995984
0.258333, 20.323, 0.4, 0.4, 9.37659e-10, 1, 0.991993, 1, 0.995984
0.263333, 20.323, 0.4, 0.4, 9.54553e-10, 1, 0.991993, 1, 0.995984
0.268333, 20.323, 0.4, 0.4, 9.71448e-10, 1, 0.991993, 1, 0.995984
0.273333, 20.323, 0.4, 0.4, 9.88343e-10, 1, 0.991993, 1, 0.995984
0.278333, 20.323, 0.4, 0.4, 1.00524e-09, 1, 0.991993, 1, 0.995984
0.283333, 20.323, 0.4, 0.4, 1.02213e-09, 1, 0.991993, 1, 0.995984
0.288333, 20.323, 0.4, 0.4, 1.03903e-09, 1, 0.991993, 1, 0.995984
0.293333, 20.323, 0.4, 0.4, 1.05592e-09, 1, 0.991993, 1, 0.995984
0.298333, 20.323, 0.4, 0.4, 1.07282e-09, 1, 0.991993, 1, 0.995984
0.303333, 20.323, 0.4, 0.4, 1.08971e-09, 1, 0.991993, 1, 0.995984
0.308333, 20.323, 0.4, 0.4, 1.10661e-09, 1, 0.991993, 1, 0.995984
0.313333, 20.323, 0.4, 0.4, 1.1235e-09, 1, 0.991993, 1, 0.995984
0.318333, 20.323, 0.4, 0.4, 1.1404e-09, 1, 0.991993, 1, 0.995984
0.323333, 20.323, 0.4, 0.4, 1.15729e-09, 1, 0.991993, 1, 0.995984
0.328333, 20.323, 0.4, 0.4, 1.17418e-09, 1, 0.991993, 1, 0.995984
0.333333, 20.323, 0.4, 0.4, 1.19108e-09, 1, 0.991993, 1, 0.995984
0.338333, 20.323, 0.4, 0.4, 1.20797e-09, 1, 0.991993, 1, 0.995984
0.343333, 20.323, 0.4, 0.4, 1.22487e-09, 1, 0.991993, 1, 0.995984
0.348333, 20.323, 0.4, 0.4, 1.24176e-09, 1, 0.991993, 1, 0.995984
0.353333, 20.323, 0.4, 0.4, 1.25866e-09, 1, 0.991993, 1, 0.995984
0.358333, 20.323, 0.4, 0.4, 1.27555e-09, 1, 0.991993, 1, 0.995984
0.363333, 20.323, 0.4, 0.4, 1.29245e-09, 1, 0.991993, 1, 0.995984
0.368333, 20.323, 0.4, 0.4, 1.30934e-09, 1, 0.991993, 1, 0.995984
0.373333, 20.323, 0.4, 0.4, 1.32624e-09, 1, 0.991993, 1, 0.995984
0.378333, 20.323, 0.4, 0.4, 1.34313e-09, 1, 0.991993, 1, 0.995984
0.383333, 20.323, 0.4, 0.4, 1.36003e-09, 1, 0.991993, 1, 0.995984
0.388333, 20.323, 0.4, 0.4, 1.37692e-09, 1, 0.991993, 1, 0.995984
0.393333, 20.323, 0.4, 0.4, 1.39382e-09, 1, 0.991993, 1, 0.995984
0.398333, 20.323, 0.4, 0.4, 1.41071e-09, 1, 0.991993, 1, 0.995984
0.403333, 20.323, 0.4, 0.4, 1.42761e-09, 1, 0.991993, 1, 0.995984
0.408333, 20.323, 0.4, 0.4, 1.4445e-09, 1, 0.991993, 1, 0.995984
0.413333, 20.323, 0.4, 0.4, 1.46139e-09, 1, 0.991993, 1, 0.995984
0.418333, 20.323, 0.4, 0.4, 1.47829e-09, 1, 0.991993, 1, 0.995984
0.423333, 20.323, 0.4, 0.4, 1.49518e-09, 1, 0.991993, 1, 0.995984
0.428333, 20.323, 0.4, 0.4, 1.51208e-09, 1, 0.991993, 1, 0.995984
0.433333, 20.323, 0.4, 0.4, 1.52897e-09, 1, 0.991993, 1, 0.995984
0.438333, 20.323, 0.4, 0.4, 1.54587e-09, 1, 0.991993, 1, 0.995984
0.443333, 20.323, 0.4, 0.4, 1.56276e-09, 1, 0.991993, 1, 0.995984
0.448333, 20.323, 0.4, 0.4, 1.57966e-09, 1, 0.991993, 1, 0.995984
0.453333, 20.323, 0.4, 0.4, 1.59655e-09, 1, 0.991993, 1, 0.995984
0.453333, 20.323, 0.4, 0.4, 1.59655e-09, 1, 0.991993, 1, 0.995984
0.453383, 20.323, 0.4, 0.4, 1.58836e-09, 1, 0.991993, 1, 0.995984
0.453433, 20.323, 0.4, 0.4, 1.58853e-09, 1, 0.991993, 1, 0.995984
0.453483, 20.323, 0.4, 0.4, 1.5887e-09, 1, 0.991993, 1, 0.995984
0.453533, 20.323, 0.4, 0.4, 1.58887e-09, 1, 0.991993, 1, 0.995984
0.453583, 20.323, 0.4, 0.4, 1.58903e-09, 1, 0.991993, 1, 0.995984
0.453633, 20.323, 0.4, 0.4, 1.5892e-09, 1, 0.991993, 1, 0.995984
0.453683, 20.323, 0.4, 0.4, 1.58937e-09, 1, 0.991993, 1, 0.995984
0.453733, 20.323, 0.4, 0.4, 1.58954e-09, 1, 0.991993, 1, 0.995984
0.453783, 20.323, 0.4, 0.4, 1.58971e-09, 1, 0.991993, 1, 0.995984
0.453833, 20.323, 0.4, 0.4, 1.58988e-09, 1, 0.991993, 1, 0.995984
0.453883, 20.323, 0.4, 0.4, 1.59005e-09, 1, 0.991993, 1, 0.995984
0.453933, 20.323, 0.4, 0.4, 1.59022e-09, 1, 0.991993, 1, 0.995984
0.453983, 20.323, 0.4, 0.4, 1.59039e-09, 1, 0.991993, 1, 0.995984
0.454033, 20.323, 0.4, 0.4, 1.59056e-09, 1, 0.991993, 1, 0.995984
0.454083, 20.323, 0.4, 0.4, 1.59072e-09, 1, 0.991993, 1, 0.995984
0.454133, 20.323, 0.4, 0.4, 1.59089e-09, 1, 0.991993, 1, 0.995984
0.454183, 20.323, 0.4, 0.4, 1.59106e-09, 1, 0.991993, 1, 0.995984
0.454233, 20.323, 0.4, 0.4, 1.59123e-09, 1, 0.991993, 1, 0.995984
0.454283, 20.323, 0.4, 0.4, 1.5914e-09, 1, 0.991993, 1, 0.995984
0.454333, 20.323, 0.4, 0.4, 1.59157e-09, 1, 0.991993, 1, 0.995984
0.454383, 20.323, 0.4, 0.4, 1.59174e-09, 1, 0.991993, 1, 0.995984
0.454433, 20.323, 0.4, 0.4, 1.59191e-09, 1, 0.991993, 1, 0.995984
0.454483, 20.323, 0.4, 0.4, 1.59208e-09, 1, 0.991993, 1, 0.995984
0.454533, 20.323, 0.4, 0.4, 1.59224e-09, 1, 0.991993, 1, 0.995984
0.454583, 20.323, 0.4, 0.4, 1.59241e-09, 1, 0.991993, 1, 0.995984
0.454633, 20.323, 0.4, 0.4, 1.59258e-09, 1, 0.991993, 1, 0.995984
0.454683, 20.323, 0.4, 0.4, 1.59275e-09, 1, 0.991993, 1, 0.995984
0.454733, 20.323, 0.4, 0.4, 1.59292e-09, 1, 0.991993, 1, 0.995984
0.454783, 20.323, 0.4, 0.4, 1.59309e-09, 1, 0.991993, 1, 0.995984
0.454833, 20.323, 0.4, 0.4, 1.59326e-09, 1, 0.991993, 1, 0.995984
0.454883, 20.323, 0.4, 0.4, 1.59343e-09, 1, 0.991993, 1, 0.995984
0.454933, 20.323, 0.4, 0.4, 1.5936e-09, 1, 0.991993, 1, 0.995984
0.454983, 20.323, 0.4, 0.4, 1.59377e-09, 1, 0.991993, 1, 0.995984
0.455033, 20.323, 0.4, 0.4, 1.59393e-09, 1, 0.991993, 1, 0.995984
0.455083, 20.323, 0.4, 0.4, 1.5941e-09, 1, 0.991993, 1, 0.995984
0.455133, 20.323, 0.4, 0.4, 1.59427e-09, 1, 0.991993, 1, 0.995984
0.455183, 20.323, 0.4, 0.4, 1.59444e-09, 1, 0.991993, 1, 0.995984
