Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,eSAC2A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.84595,0.39999992,0.0,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
1e-10,28.84595,0.39999992,-4.884303e-18,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.002,28.84595,0.39999992,-9.768091e-11,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.004,28.84595,0.39999992,-1.953504e-10,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.006,28.84595,0.39999992,-2.9300634e-10,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.008,28.84595,0.39999992,-3.9064854e-10,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.01,28.84595,0.39999992,-4.882718e-10,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.012,28.84595,0.39999992,-5.858772e-10,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.014,28.84595,0.39999992,-6.834649e-10,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.016,28.84595,0.39999992,-7.8103507e-10,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.018,28.84595,0.39999992,-8.785721e-10,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.02,28.84595,0.39999992,-9.760808e-10,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.022,28.84595,0.39999992,-1.073564e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.024,28.84595,0.39999992,-1.1710217e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.026,28.84595,0.39999992,-1.2684541e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.028,28.84595,0.39999992,-1.3658611e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.03,28.84595,0.39999992,-1.4632425e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.032,28.84595,0.39999992,-1.5605987e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.034,28.84595,0.39999992,-1.6578872e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.036,28.84595,0.39999992,-1.7551116e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.038,28.84595,0.39999992,-1.8522951e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.04,28.84595,0.39999992,-1.9494377e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.042,28.84595,0.39999992,-2.0465392e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.044,28.84595,0.39999992,-2.1436e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.046,28.84595,0.39999992,-2.2406197e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.048,28.84595,0.39999992,-2.3375986e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.05,28.84595,0.39999992,-2.4345366e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.052,28.845945,0.39999992,-2.5314335e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.054,28.845945,0.39999992,-2.6282896e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.056,28.845945,0.39999992,-2.7251046e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.058,28.845945,0.39999992,-2.8218787e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.06,28.845945,0.39999992,-2.918612e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.062,28.845945,0.39999992,-3.0153045e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.064,28.845945,0.39999992,-3.1119558e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.066,28.845945,0.39999992,-3.2085101e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.068,28.845945,0.39999992,-3.3048204e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.07,28.845945,0.39999992,-3.4010608e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.072,28.845945,0.39999992,-3.4972312e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.074,28.845945,0.39999992,-3.5933314e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.076,28.845945,0.39999992,-3.689362e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.078,28.845945,0.39999992,-3.7853223e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.08,28.845945,0.39999992,-3.8812127e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.082,28.845945,0.39999992,-3.9770334e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.084,28.845945,0.39999992,-4.0727834e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.086,28.845945,0.39999992,-4.1684642e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.088,28.845945,0.39999992,-4.264075e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.09,28.845945,0.39999992,-4.3596153e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.092,28.845945,0.39999992,-4.4550856e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.094,28.845945,0.39999992,-4.5504867e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.096,28.845945,0.39999992,-4.645817e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.098,28.845945,0.39999992,-4.7410778e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.1,28.845945,0.39999992,-4.8362683e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.102,28.845945,0.39999992,-4.931389e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.104,28.845942,0.39999992,-5.0264397e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.106,28.845942,0.39999992,-5.1214206e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.108,28.845942,0.39999992,-5.2163314e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
0.11,28.845942,0.39999992,-5.311172e-09,1.3274746,0.99999976,0.9919933,0.99999976,0.9959839
