Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,sEXS.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.334236,0.40000004,0.0,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
1e-10,34.334236,0.40000004,-5.5192675e-19,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.002,34.334236,0.40000004,-1.1037992e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.004,34.334236,0.40000004,-2.2074776e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.006,34.334236,0.40000004,-3.311013e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.008,34.334236,0.40000004,-4.4144032e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.01,34.334236,0.40000004,-5.5175937e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.012,34.334236,0.40000004,-6.6205944e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.014,34.334236,0.40000004,-7.723409e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.016,34.334236,0.40000004,-8.826037e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.018,34.334236,0.40000004,-9.9283144e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.02,34.334236,0.40000004,-1.1030291e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.022,34.334236,0.40000004,-1.2131998e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.024,34.334236,0.40000004,-1.3233437e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.026,34.334236,0.40000004,-1.4334606e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.028,34.334236,0.40000004,-1.5435504e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.03,34.334236,0.40000004,-1.6536134e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.032,34.334236,0.40000004,-1.7636495e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.034,34.334236,0.40000004,-1.8736131e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.036,34.334236,0.40000004,-1.9835078e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.038,34.334236,0.40000004,-2.093359e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.04,34.334236,0.40000004,-2.2031664e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.042,34.334236,0.40000004,-2.3129301e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.044,34.334236,0.40000004,-2.42265e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.046,34.334236,0.40000004,-2.5323263e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.048,34.334236,0.40000004,-2.6419592e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.05,34.334236,0.40000004,-2.751548e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.052,34.334236,0.40000004,-2.8610933e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.054,34.334236,0.40000004,-2.970595e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.056,34.334236,0.40000004,-3.0800526e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.058,34.334236,0.40000004,-3.1894667e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.06,34.334236,0.40000004,-3.2988373e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.062,34.334236,0.40000004,-3.408164e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.064,34.334236,0.40000004,-3.5174472e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.066,34.334236,0.40000004,-3.626622e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.068,34.334236,0.40000004,-3.7355213e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.07,34.334236,0.40000004,-3.8443435e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.072,34.334236,0.40000004,-3.953089e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.074,34.334236,0.40000004,-4.0617573e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.076,34.334236,0.40000004,-4.1703488e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.078,34.334236,0.40000004,-4.278863e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.08,34.334236,0.40000004,-4.3873008e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
