Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.4037,0.40000004,0.0,0.99999994,0.9919935,0.99999994,0.99598414
1e-10,34.4037,0.40000004,-5.15505e-19,0.99999994,0.9919935,0.99999994,0.99598414
1e-10,34.4037,0.40000004,-5.15505e-19,0.99999994,0.9919935,0.99999994,0.99598414
0.002,34.4037,0.40000004,-1.0309592e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.004,34.4037,0.40000004,-2.0618058e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.006,34.4037,0.40000004,-3.0925183e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.008,34.4037,0.40000004,-4.1230956e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.01,34.4037,0.40000004,-5.1534863e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.012,34.4037,0.40000004,-6.1836994e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.014,34.4037,0.40000004,-7.213739e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.016,34.4037,0.40000004,-8.243605e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.018,34.4037,0.40000004,-9.273143e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.02,34.4037,0.40000004,-1.0302399e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.022,34.4037,0.40000004,-1.13314046e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.024,34.4037,0.40000004,-1.2360159e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.026,34.4037,0.40000004,-1.3388661e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.028,34.4037,0.40000004,-1.4416911e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.03,34.4037,0.40000004,-1.5444909e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.032,34.4037,0.40000004,-1.6472657e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.034,34.4037,0.40000004,-1.7499727e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.036,34.4037,0.40000004,-1.8526153e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.038,34.4037,0.40000004,-1.9552172e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.04,34.4037,0.40000004,-2.0577783e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.042,34.4037,0.40000004,-2.1602985e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.044,34.4037,0.40000004,-2.2627779e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.046,34.4037,0.40000004,-2.3652164e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.048,34.4037,0.40000004,-2.4676142e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.05,34.4037,0.40000004,-2.569971e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.052,34.4037,0.40000004,-2.672287e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.054,34.4037,0.40000004,-2.7745622e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.056,34.4037,0.40000004,-2.8767966e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.058,34.4037,0.40000004,-2.97899e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.06,34.4037,0.40000004,-3.0811428e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.062,34.4037,0.40000004,-3.1832548e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.064,34.4037,0.40000004,-3.285326e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.066,34.4037,0.40000004,-3.3872957e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.068,34.4037,0.40000004,-3.4890066e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.07,34.4037,0.40000004,-3.5906453e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.072,34.4037,0.40000004,-3.6922118e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.074,34.4037,0.40000004,-3.7937065e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.076,34.4037,0.40000004,-3.895129e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.078,34.4037,0.40000004,-3.9964795e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.08,34.4037,0.40000004,-4.097758e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.082,34.4037,0.40000004,-4.1989645e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.084,34.4037,0.40000004,-4.300099e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.086,34.4037,0.40000004,-4.401161e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.088,34.4037,0.40000004,-4.5021514e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.09,34.4037,0.40000004,-4.6030696e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.092,34.4037,0.40000004,-4.7039156e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.094,34.4037,0.40000004,-4.80469e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.096,34.4037,0.40000004,-4.9053916e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.098,34.4037,0.40000004,-5.0060217e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.1,34.4037,0.40000004,-5.1065796e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.102,34.4037,0.40000004,-5.207066e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.104,34.4037,0.40000004,-5.3074795e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.106,34.4037,0.40000004,-5.4078214e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.108,34.4037,0.40000004,-5.508091e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.11,34.4037,0.40000004,-5.608289e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.112,34.4037,0.40000004,-5.7084143e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.114,34.4037,0.40000004,-5.808468e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.116,34.4037,0.40000004,-5.90845e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.118,34.4037,0.40000004,-6.0083594e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.12,34.4037,0.40000004,-6.108197e-10,0.99999994,0.9919935,0.99999994,0.99598414
