Time,gENSAL.delta,gENSAL.PELEC,gENSAL.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,36.640797,0.40000004,0.0,0.99999994,0.9919935,0.99999994,0.99598414
1e-10,36.640797,0.40000004,-5.392097e-19,0.99999994,0.9919935,0.99999994,0.99598414
1e-10,36.640797,0.40000004,-5.392097e-19,0.99999994,0.9919935,0.99999994,0.99598414
0.002,36.640797,0.40000004,-1.0783662e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.004,36.640797,0.40000004,-2.1566146e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.006,36.640797,0.40000004,-3.2347226e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.008,36.640797,0.40000004,-4.3126887e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.01,36.640797,0.40000004,-5.3904586e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.012,36.640797,0.40000004,-6.468042e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.014,36.640797,0.40000004,-7.545443e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.016,36.640797,0.40000004,-8.622661e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.018,36.640797,0.40000004,-9.6995294e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.02,36.640797,0.40000004,-1.07761e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.022,36.640797,0.40000004,-1.1852405e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.024,36.640797,0.40000004,-1.2928443e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.026,36.640797,0.40000004,-1.4004213e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.028,36.640797,0.40000004,-1.5079718e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.03,36.640797,0.40000004,-1.6154957e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.032,36.640797,0.40000004,-1.7229927e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.034,36.640797,0.40000004,-1.8304167e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.036,36.640797,0.40000004,-1.9377712e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.038,36.640797,0.40000004,-2.0450817e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.04,36.640797,0.40000004,-2.1523487e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.042,36.640797,0.40000004,-2.2595717e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.044,36.640797,0.40000004,-2.366751e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.046,36.640797,0.40000004,-2.4738864e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.048,36.640797,0.40000004,-2.580978e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.05,36.640797,0.40000004,-2.688026e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.052,36.640797,0.40000004,-2.79503e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.054,36.640797,0.40000004,-2.90199e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.056,36.640797,0.40000004,-3.0089067e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.058,36.640797,0.40000004,-3.1157793e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.06,36.640797,0.40000004,-3.222608e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.062,36.640797,0.40000004,-3.3293932e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.064,36.640797,0.40000004,-3.4361344e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.066,36.640797,0.40000004,-3.5427647e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.068,36.640797,0.40000004,-3.6491096e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.07,36.640797,0.40000004,-3.7553757e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.072,36.640797,0.40000004,-3.8615638e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.074,36.640797,0.40000004,-3.967673e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.076,36.640797,0.40000004,-4.0737044e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.078,36.640797,0.40000004,-4.1796572e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.08,36.640797,0.40000004,-4.2855314e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.082,36.640797,0.40000004,-4.3913273e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.084,36.640797,0.40000004,-4.4970447e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.086,36.640797,0.40000004,-4.6026838e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.088,36.640797,0.40000004,-4.7082443e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.09,36.640797,0.40000004,-4.8137266e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.092,36.640797,0.40000004,-4.9191307e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.094,36.640797,0.40000004,-5.024456e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.096,36.640797,0.40000004,-5.129703e-10,0.99999994,0.9919935,0.99999994,0.99598414
0.098,36.640797,0.40000004,-5.2348714e-10,0.99999994,0.9919935,0.99999994,0.99598414
