Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,sCRX.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,0.5992455,0.40000004,0.0,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
1e-10,0.5992455,0.40000004,-5.5192675e-19,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.002,0.5992455,0.40000004,-1.1037992e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.004,0.5992455,0.40000004,-2.2074776e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.006,0.5992455,0.40000004,-3.311013e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.008,0.5992455,0.40000004,-4.4144032e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.01,0.5992455,0.40000004,-5.5175937e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.012,0.5992455,0.40000004,-6.6205944e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.014,0.5992455,0.40000004,-7.723409e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.016,0.5992455,0.40000004,-8.826038e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.018,0.5992455,0.40000004,-9.928315e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.02,0.5992455,0.40000004,-1.1030292e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.022,0.5992455,0.40000004,-1.2132e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.024,0.5992455,0.40000004,-1.3233438e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.026,0.5992455,0.40000004,-1.4334607e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.028,0.5992455,0.40000004,-1.5435507e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.03,0.5992455,0.40000004,-1.6536138e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.032,0.5992455,0.40000004,-1.7636499e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.034,0.5992455,0.40000004,-1.8736136e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.036,0.5992455,0.40000004,-1.9835088e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.038,0.5992455,0.40000004,-2.0933602e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.04,0.5992455,0.40000004,-2.203168e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.042,0.5992455,0.40000004,-2.3129323e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.044,0.5992455,0.40000004,-2.422653e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.046,0.5992455,0.40000004,-2.53233e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.048,0.5992455,0.40000004,-2.641963e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.05,0.5992455,0.40000004,-2.7515526e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.052,0.5992455,0.40000004,-2.8610986e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.054,0.5992455,0.40000004,-2.970601e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.056,0.5992455,0.40000004,-3.0800598e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.058,0.5992455,0.40000004,-3.1894748e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.06,0.5992455,0.40000004,-3.2988462e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.062,0.5992455,0.40000004,-3.408174e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.064,0.5992455,0.40000004,-3.517458e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.066,0.5992455,0.40000004,-3.6266345e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.068,0.5992455,0.40000004,-3.7355372e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.07,0.5992455,0.40000004,-3.844363e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.072,0.5992455,0.40000004,-3.9531123e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.074,0.5992455,0.40000004,-4.0617848e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.076,0.5992455,0.40000004,-4.1703807e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.078,0.5992455,0.40000004,-4.2789003e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.08,0.5992455,0.40000004,-4.387343e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.082,0.5992455,0.40000004,-4.495709e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.084,0.5992455,0.40000004,-4.6039986e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.086,0.5992455,0.40000004,-4.712211e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.088,0.5992455,0.40000004,-4.8203475e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.09,0.5992455,0.40000004,-4.928407e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.092,0.5992455,0.40000004,-5.03639e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.094,0.5992455,0.40000004,-5.1442967e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.096,0.5992455,0.40000004,-5.2521265e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.098,0.5992455,0.40000004,-5.359879e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.1,0.5992455,0.40000004,-5.467556e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.102,0.5992455,0.40000004,-5.575156e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.104,0.5992455,0.40000004,-5.682679e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.106,0.5992455,0.40000004,-5.7901256e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.108,0.5992455,0.40000004,-5.897496e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.11,0.5992455,0.40000004,-6.004789e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.112,0.5992455,0.40000004,-6.112006e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.114,0.5992455,0.40000004,-6.219146e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.116,0.5992455,0.40000004,-6.3262096e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.118,0.5992455,0.40000004,-6.433196e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.12,0.5992455,0.40000004,-6.540106e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.122,0.5992455,0.40000004,-6.64694e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.124,0.5992455,0.40000004,-6.753697e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.126,0.5992455,0.40000004,-6.860377e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.128,0.5992455,0.40000004,-6.966981e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.13,0.5992455,0.40000004,-7.0735084e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.132,0.5992455,0.40000004,-7.1794887e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.134,0.5992455,0.40000004,-7.2848066e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.136,0.5992455,0.40000004,-7.3899875e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.138,0.5992455,0.40000004,-7.4950307e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
