Time,gENROU.delta,gENROU.PELEC,gENROU.SPEED,sEXS.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,0.5992455,0.40000004,0.0,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
1e-10,0.5992455,0.40000004,-5.5192675e-19,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.002,0.5992455,0.40000004,-1.1037992e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.004,0.5992455,0.40000004,-2.2074776e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.006,0.5992455,0.40000004,-3.311013e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.008,0.5992455,0.40000004,-4.4144032e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.01,0.5992455,0.40000004,-5.5175937e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.012,0.5992455,0.40000004,-6.6205944e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.014,0.5992455,0.40000004,-7.723409e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.016,0.5992455,0.40000004,-8.826037e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.018,0.5992455,0.40000004,-9.9283144e-11,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.02,0.5992455,0.40000004,-1.1030291e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.022,0.5992455,0.40000004,-1.2131998e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.024,0.5992455,0.40000004,-1.3233437e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.026,0.5992455,0.40000004,-1.4334606e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.028,0.5992455,0.40000004,-1.5435504e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.03,0.5992455,0.40000004,-1.6536134e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.032,0.5992455,0.40000004,-1.7636495e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.034,0.5992455,0.40000004,-1.8736131e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.036,0.5992455,0.40000004,-1.9835078e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.038,0.5992455,0.40000004,-2.093359e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.04,0.5992455,0.40000004,-2.2031664e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.042,0.5992455,0.40000004,-2.3129301e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.044,0.5992455,0.40000004,-2.42265e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.046,0.5992455,0.40000004,-2.5323263e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.048,0.5992455,0.40000004,-2.6419592e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.05,0.5992455,0.40000004,-2.751548e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.052,0.5992455,0.40000004,-2.8610933e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.054,0.5992455,0.40000004,-2.970595e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.056,0.5992455,0.40000004,-3.0800526e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.058,0.5992455,0.40000004,-3.1894667e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.06,0.5992455,0.40000004,-3.2988373e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.062,0.5992455,0.40000004,-3.408164e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.064,0.5992455,0.40000004,-3.5174472e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.066,0.5992455,0.40000004,-3.626622e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.068,0.5992455,0.40000004,-3.7355213e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.07,0.5992455,0.40000004,-3.8443435e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.072,0.5992455,0.40000004,-3.953089e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.074,0.5992455,0.40000004,-4.0617573e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.076,0.5992455,0.40000004,-4.1703488e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.078,0.5992455,0.40000004,-4.278863e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.08,0.5992455,0.40000004,-4.3873008e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.082,0.5992455,0.40000004,-4.4956616e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.084,0.5992455,0.40000004,-4.6039453e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.086,0.5992455,0.40000004,-4.7121523e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.088,0.5992455,0.40000004,-4.820282e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.09,0.5992455,0.40000004,-4.928335e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.092,0.5992455,0.40000004,-5.0363114e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.094,0.5992455,0.40000004,-5.14421e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.096,0.5992455,0.40000004,-5.2520327e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.098,0.5992455,0.40000004,-5.3597776e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.1,0.5992455,0.40000004,-5.4674465e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.102,0.5992455,0.40000004,-5.5750377e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.104,0.5992455,0.40000004,-5.682552e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.106,0.5992455,0.40000004,-5.78999e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.108,0.5992455,0.40000004,-5.8973504e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.11,0.5992455,0.40000004,-6.0046346e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.112,0.5992455,0.40000004,-6.111841e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.114,0.5992455,0.40000004,-6.2189714e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.116,0.5992455,0.40000004,-6.326024e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.118,0.5992455,0.40000004,-6.433e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.12,0.5992455,0.40000004,-6.5399e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.122,0.5992455,0.40000004,-6.646722e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.124,0.5992455,0.40000004,-6.753467e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.126,0.5992455,0.40000004,-6.860136e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.128,0.5992455,0.40000004,-6.966727e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.13,0.5992455,0.40000004,-7.0732414e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.132,0.5992455,0.40000004,-7.179201e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.134,0.5992455,0.40000004,-7.2844886e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.136,0.5992455,0.40000004,-7.389637e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
0.138,0.5992455,0.40000004,-7.494647e-10,1.4351069,0.99999994,0.9919935,0.99999994,0.99598414
