Time,gENSAE.delta,gENSAE.PELEC,gENSAE.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,0.6395025,0.40000004,0.0,0.99999994,0.9919935,0.99999994,0.9959841
1e-10,0.6395025,0.40000004,-4.8519613e-19,0.99999994,0.9919935,0.99999994,0.9959841
1e-10,0.6395025,0.40000004,-4.8519613e-19,0.99999994,0.9919935,0.99999994,0.9959841
0.002,0.6395025,0.40000004,-9.703444e-12,0.99999994,0.9919935,0.99999994,0.9959841
0.004,0.6395025,0.40000004,-1.9405828e-11,0.99999994,0.9919935,0.99999994,0.9959841
0.006,0.6395025,0.40000004,-2.910695e-11,0.99999994,0.9919935,0.99999994,0.9959841
0.008,0.6395025,0.40000004,-3.8806795e-11,0.99999994,0.9919935,0.99999994,0.9959841
0.01,0.6395025,0.40000004,-4.850487e-11,0.99999994,0.9919935,0.99999994,0.9959841
0.012,0.6395025,0.40000004,-5.8201267e-11,0.99999994,0.9919935,0.99999994,0.9959841
0.014,0.6395025,0.40000004,-6.789602e-11,0.99999994,0.9919935,0.99999994,0.9959841
0.016,0.6395025,0.40000004,-7.7589137e-11,0.99999994,0.9919935,0.99999994,0.9959841
0.018,0.6395025,0.40000004,-8.727911e-11,0.99999994,0.9919935,0.99999994,0.9959841
0.02,0.6395025,0.40000004,-9.696639e-11,0.99999994,0.9919935,0.99999994,0.9959841
0.022,0.6395025,0.40000004,-1.06651285e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.024,0.6395025,0.40000004,-1.16333776e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.026,0.6395025,0.40000004,-1.2601387e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.028,0.6395025,0.40000004,-1.3569157e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.03,0.6395025,0.40000004,-1.4536686e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.032,0.6395025,0.40000004,-1.5503976e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.034,0.6395025,0.40000004,-1.6470607e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.036,0.6395025,0.40000004,-1.7436612e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.038,0.6395025,0.40000004,-1.8402224e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.04,0.6395025,0.40000004,-1.9367441e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.042,0.6395025,0.40000004,-2.0332265e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.044,0.6395025,0.40000004,-2.1296694e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.046,0.6395025,0.40000004,-2.2260728e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.048,0.6395025,0.40000004,-2.322437e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.05,0.6395025,0.40000004,-2.4187616e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.052,0.6395025,0.40000004,-2.5150468e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.054,0.6395025,0.40000004,-2.6112928e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.056,0.6395025,0.40000004,-2.7074992e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.058,0.6395025,0.40000004,-2.8036662e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.06,0.6395025,0.40000004,-2.8997937e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.062,0.6395025,0.40000004,-2.995882e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.064,0.6395025,0.40000004,-3.0919306e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.066,0.6395025,0.40000004,-3.1878797e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.068,0.6395025,0.40000004,-3.2835717e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.07,0.6395025,0.40000004,-3.3791933e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.072,0.6395025,0.40000004,-3.474744e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.074,0.6395025,0.40000004,-3.5702244e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.076,0.6395025,0.40000004,-3.6656342e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.078,0.6395025,0.40000004,-3.7609735e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.08,0.6395025,0.40000004,-3.8562423e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.082,0.6395025,0.40000004,-3.9514403e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.084,0.6395025,0.40000004,-4.0465678e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.086,0.6395025,0.40000004,-4.1416248e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.088,0.6395025,0.40000004,-4.2366113e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.09,0.6395025,0.40000004,-4.331527e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.092,0.6395025,0.40000004,-4.4263726e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.094,0.6395025,0.40000004,-4.5211473e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.096,0.6395025,0.40000004,-4.6158516e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.098,0.6395025,0.40000004,-4.7104853e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.1,0.6395025,0.40000004,-4.805048e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.102,0.6395025,0.40000004,-4.899541e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.104,0.6395025,0.40000004,-4.993963e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.106,0.6395025,0.40000004,-5.088314e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.108,0.6395025,0.40000004,-5.182595e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.11,0.6395025,0.40000004,-5.2768057e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.112,0.6395025,0.40000004,-5.3709454e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.114,0.6395025,0.40000004,-5.4650146e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.116,0.6395025,0.40000004,-5.559013e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.118,0.6395025,0.40000004,-5.6529414e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.12,0.6395025,0.40000004,-5.7467986e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.122,0.6395025,0.40000004,-5.840586e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.124,0.6395025,0.40000004,-5.9343025e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.126,0.6395025,0.40000004,-6.027948e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.128,0.6395025,0.40000004,-6.1215233e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.13,0.6395025,0.40000004,-6.2150285e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.132,0.6395025,0.40000004,-6.308003e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.134,0.6395025,0.40000004,-6.400335e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.136,0.6395025,0.40000004,-6.492537e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.138,0.6395025,0.40000004,-6.584609e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.14,0.6395025,0.40000004,-6.676551e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.142,0.6395025,0.40000004,-6.768363e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.144,0.6395025,0.40000004,-6.860045e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.146,0.6395025,0.40000004,-6.9515965e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.148,0.6395025,0.40000004,-7.0430184e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.15,0.6395025,0.40000004,-7.1343104e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.152,0.6395025,0.40000004,-7.2254724e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.154,0.6395025,0.40000004,-7.316504e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.156,0.6395025,0.40000004,-7.407406e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.158,0.6395025,0.40000004,-7.4981776e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.16,0.6395025,0.40000004,-7.5888196e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.162,0.6395025,0.40000004,-7.679331e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.164,0.6395025,0.40000004,-7.769713e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.166,0.6395025,0.40000004,-7.859965e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.168,0.6395025,0.40000004,-7.950086e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.17,0.6395025,0.40000004,-8.040078e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.172,0.6395025,0.40000004,-8.1299395e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.174,0.6395025,0.40000004,-8.219671e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.176,0.6395025,0.40000004,-8.3092727e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.178,0.6395025,0.40000004,-8.3987445e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.18,0.6395025,0.40000004,-8.488086e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.182,0.6395025,0.40000004,-8.577298e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.184,0.6395025,0.40000004,-8.666379e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.186,0.6395025,0.40000004,-8.7553303e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.188,0.6395025,0.40000004,-8.844152e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.19,0.6395025,0.40000004,-8.9328434e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.192,0.6395025,0.40000004,-9.021405e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.194,0.6395025,0.40000004,-9.109836e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.196,0.6395025,0.40000004,-9.198138e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.198,0.6395025,0.40000004,-9.286309e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.2,0.6395025,0.40000004,-9.37435e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.202,0.6395025,0.40000004,-9.462262e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.204,0.6395025,0.40000004,-9.550043e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.206,0.63950247,0.40000004,-9.637694e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.208,0.63950247,0.40000004,-9.725216e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.21,0.63950247,0.40000004,-9.812607e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.212,0.63950247,0.40000004,-9.899868e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.214,0.63950247,0.40000004,-9.986999e-10,0.99999994,0.9919935,0.99999994,0.9959841
0.216,0.63950247,0.40000004,-1.0074e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.218,0.63950247,0.40000004,-1.0160872e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.22,0.63950247,0.40000004,-1.0247613e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.222,0.63950247,0.40000004,-1.0334223e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.224,0.63950247,0.40000004,-1.0420705e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.226,0.63950247,0.40000004,-1.0507056e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.228,0.63950247,0.40000004,-1.0593277e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.23,0.63950247,0.40000004,-1.0679369e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.232,0.63950247,0.40000004,-1.076533e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.234,0.63950247,0.40000004,-1.085116e-09,0.99999994,0.9919935,0.99999994,0.9959841
0.236,0.63950247,0.40000004,-1.0936861e-09,0.99999994,0.9919935,0.99999994,0.9959841
