Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,pSS2A.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,0.60045785,0.40000004,0.0,0.0,0.99999994,0.9919935,0.99999994,0.99598414
1e-10,0.60045785,0.40000004,-5.15505e-19,-1.5095552e-25,0.99999994,0.9919935,0.99999994,0.99598414
0.002,0.60045785,0.40000004,-1.0309592e-11,3.1153586e-15,0.99999994,0.9919935,0.99999994,0.99598414
0.004,0.60045785,0.40000004,-2.0618058e-11,2.4487179e-14,0.99999994,0.9919935,0.99999994,0.99598414
0.006,0.60045785,0.40000004,-3.0925183e-11,8.599846e-14,0.99999994,0.9919935,0.99999994,0.99598414
0.008,0.60045785,0.40000004,-4.1230956e-11,1.8918311e-13,0.99999994,0.9919935,0.99999994,0.99598414
0.01,0.60045785,0.40000004,-5.1534863e-11,3.791937e-13,0.99999994,0.9919935,0.99999994,0.99598414
0.012,0.60045785,0.40000004,-6.1836994e-11,6.477209e-13,0.99999994,0.9919935,0.99999994,0.99598414
0.014,0.60045785,0.40000004,-7.213739e-11,9.915987e-13,0.99999994,0.9919935,0.99999994,0.99598414
0.016,0.60045785,0.40000004,-8.243605e-11,1.4108271e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.018,0.60045785,0.40000004,-9.273143e-11,2.0020279e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.02,0.60045785,0.40000004,-1.0302399e-10,2.7354388e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.022,0.60045785,0.40000004,-1.13314046e-10,3.592899e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.024,0.60045785,0.40000004,-1.2360159e-10,4.5744086e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.026,0.60045785,0.40000004,-1.3388661e-10,5.679967e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.028,0.60045785,0.40000004,-1.4416911e-10,6.909575e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.03,0.60045785,0.40000004,-1.5444909e-10,8.263232e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.032,0.60045785,0.40000004,-1.6472657e-10,9.740939e-12,0.99999994,0.9919935,0.99999994,0.99598414
0.034,0.60045785,0.40000004,-1.7499727e-10,1.14242504e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.036,0.60045785,0.40000004,-1.8526154e-10,1.3306501e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.038,0.60045785,0.40000004,-1.9552172e-10,1.5342812e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.04,0.60045785,0.40000004,-2.0577783e-10,1.7533182e-11,0.99999994,0.9919935,0.99999994,0.99598414
0.042,0.60045785,0.40000004,-2.1602986e-10,1.9877612e-11,0.99999994,0.9919935,0.99999994,0.99598414
