Time,gENROE.delta,gENROE.PELEC,gENROE.SPEED,tGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.4037,0.40000004,0.0,0.4,0.99999994,0.9919935,0.99999994,0.99598414
1e-10,34.4037,0.40000004,-5.15505e-19,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.002,34.4037,0.40000004,-1.0309572e-11,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.004,34.4037,0.40000004,-2.0617896e-11,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.006,34.4037,0.40000004,-3.0924607e-11,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.008,34.4037,0.40000004,-4.1229676e-11,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.01,34.4037,0.40000004,-5.1532223e-11,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.012,34.4037,0.40000004,-6.183241e-11,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.014,34.4037,0.40000004,-7.2130295e-11,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.016,34.4037,0.40000004,-8.2425886e-11,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.018,34.4037,0.40000004,-9.271655e-11,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.02,34.4037,0.40000004,-1.030031e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.022,34.4037,0.40000004,-1.1328603e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.024,34.4037,0.40000004,-1.2356534e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.026,34.4037,0.40000004,-1.3384104e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.028,34.4037,0.40000004,-1.441131e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.03,34.4037,0.40000004,-1.5438155e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.032,34.4037,0.40000004,-1.6464637e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.034,34.4037,0.40000004,-1.7490052e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.036,34.4037,0.40000004,-1.8514461e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.038,34.4037,0.40000004,-1.9538247e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.04,34.4037,0.40000004,-2.0561412e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.042,34.4037,0.40000004,-2.1583955e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.044,34.4037,0.40000004,-2.2605878e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.046,34.4037,0.40000004,-2.362718e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.048,34.4037,0.40000004,-2.464786e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.05,34.4037,0.40000004,-2.5667918e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.052,34.4037,0.40000004,-2.6687355e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.054,34.4037,0.40000004,-2.7706173e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.056,34.4037,0.40000004,-2.8724367e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.058,34.4037,0.40000004,-2.9741942e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.06,34.4037,0.40000004,-3.0758895e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.062,34.4037,0.40000004,-3.1775227e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
0.064,34.4037,0.40000004,-3.2790937e-10,0.4,0.99999994,0.9919935,0.99999994,0.99598414
