Time(s) " gENROE.delta" " gENROE.PELEC" " gENROE.PMECH" " gENROE.SPEED" " GEN1.V" " LOAD.V" " GEN2.V" " FAULT.V"
-0.01 " 34.4037" " 0.4" " 0.4" " 0" " 1" " 0.991993" " 1" " 0.995984"
-0.005 " 34.4037" " 0.4" " 0.4" " 2.61118e-11" " 1" " 0.991993" " 1" " 0.995984"
0 " 34.4037" " 0.4" " 0.4" " 4.35197e-11" " 1" " 0.991993" " 1" " 0.995984"
0.005 " 34.4037" " 0.4" " 0.4" " 6.09276e-11" " 1" " 0.991993" " 1" " 0.995984"
0.01 " 34.4037" " 0.4" " 0.4" " 7.83355e-11" " 1" " 0.991993" " 1" " 0.995984"
0.015 " 34.4037" " 0.4" " 0.4" " 9.57434e-11" " 1" " 0.991993" " 1" " 0.995984"
0.02 " 34.4037" " 0.4" " 0.4" " 1.13151e-10" " 1" " 0.991993" " 1" " 0.995984"
0.025 " 34.4037" " 0.4" " 0.4" " 1.30559e-10" " 1" " 0.991993" " 1" " 0.995984"
0.03 " 34.4037" " 0.4" " 0.4" " 1.47967e-10" " 1" " 0.991993" " 1" " 0.995984"
0.035 " 34.4037" " 0.4" " 0.4" " 1.65375e-10" " 1" " 0.991993" " 1" " 0.995984"
0.04 " 34.4037" " 0.4" " 0.4" " 1.82783e-10" " 1" " 0.991993" " 1" " 0.995984"
0.045 " 34.4037" " 0.4" " 0.4" " 2.00191e-10" " 1" " 0.991993" " 1" " 0.995984"
0.05 " 34.4037" " 0.4" " 0.4" " 2.17599e-10" " 1" " 0.991993" " 1" " 0.995984"
0.055 " 34.4037" " 0.4" " 0.4" " 2.35007e-10" " 1" " 0.991993" " 1" " 0.995984"
0.06 " 34.4037" " 0.4" " 0.4" " 2.52415e-10" " 1" " 0.991993" " 1" " 0.995984"
0.065 " 34.4037" " 0.4" " 0.4" " 2.69822e-10" " 1" " 0.991993" " 1" " 0.995984"
0.07 " 34.4037" " 0.4" " 0.4" " 2.8723e-10" " 1" " 0.991993" " 1" " 0.995984"
0.075 " 34.4037" " 0.4" " 0.4" " 3.04638e-10" " 1" " 0.991993" " 1" " 0.995984"
0.08 " 34.4037" " 0.4" " 0.4" " 3.22046e-10" " 1" " 0.991993" " 1" " 0.995984"
0.085 " 34.4037" " 0.4" " 0.4" " 3.39454e-10" " 1" " 0.991993" " 1" " 0.995984"
0.09 " 34.4037" " 0.4" " 0.4" " 3.56862e-10" " 1" " 0.991993" " 1" " 0.995984"
0.095 " 34.4037" " 0.4" " 0.4" " 3.7427e-10" " 1" " 0.991993" " 1" " 0.995984"
0.1 " 34.4037" " 0.4" " 0.4" " 3.91678e-10" " 1" " 0.991993" " 1" " 0.995984"
0.105 " 34.4037" " 0.4" " 0.4" " 4.09086e-10" " 1" " 0.991993" " 1" " 0.995984"
0.11 " 34.4037" " 0.4" " 0.4" " 4.26494e-10" " 1" " 0.991993" " 1" " 0.995984"
0.115 " 34.4037" " 0.4" " 0.4" " 4.43901e-10" " 1" " 0.991993" " 1" " 0.995984"
0.12 " 34.4037" " 0.4" " 0.4" " 4.61309e-10" " 1" " 0.991993" " 1" " 0.995984"
0.125 " 34.4037" " 0.4" " 0.4" " 4.78717e-10" " 1" " 0.991993" " 1" " 0.995984"
0.13 " 34.4037" " 0.4" " 0.4" " 4.96125e-10" " 1" " 0.991993" " 1" " 0.995984"
0.135 " 34.4037" " 0.4" " 0.4" " 5.13533e-10" " 1" " 0.991993" " 1" " 0.995984"
0.14 " 34.4037" " 0.4" " 0.4" " 5.30941e-10" " 1" " 0.991993" " 1" " 0.995984"
0.145 " 34.4037" " 0.4" " 0.4" " 5.48349e-10" " 1" " 0.991993" " 1" " 0.995984"
0.15 " 34.4037" " 0.4" " 0.4" " 5.65757e-10" " 1" " 0.991993" " 1" " 0.995984"
0.155 " 34.4037" " 0.4" " 0.4" " 5.83165e-10" " 1" " 0.991993" " 1" " 0.995984"
0.16 " 34.4037" " 0.4" " 0.4" " 6.00573e-10" " 1" " 0.991993" " 1" " 0.995984"
0.165 " 34.4037" " 0.4" " 0.4" " 6.17981e-10" " 1" " 0.991993" " 1" " 0.995984"
0.17 " 34.4037" " 0.4" " 0.4" " 6.35388e-10" " 1" " 0.991993" " 1" " 0.995984"
0.175 " 34.4037" " 0.4" " 0.4" " 6.52796e-10" " 1" " 0.991993" " 1" " 0.995984"
0.18 " 34.4037" " 0.4" " 0.4" " 6.70204e-10" " 1" " 0.991993" " 1" " 0.995984"
0.185 " 34.4037" " 0.4" " 0.4" " 6.87612e-10" " 1" " 0.991993" " 1" " 0.995984"
0.19 " 34.4037" " 0.4" " 0.4" " 7.0502e-10" " 1" " 0.991993" " 1" " 0.995984"
0.195 " 34.4037" " 0.4" " 0.4" " 7.22428e-10" " 1" " 0.991993" " 1" " 0.995984"
0.2 " 34.4037" " 0.4" " 0.4" " 7.39836e-10" " 1" " 0.991993" " 1" " 0.995984"
0.205 " 34.4037" " 0.4" " 0.4" " 7.57244e-10" " 1" " 0.991993" " 1" " 0.995984"
0.21 " 34.4037" " 0.4" " 0.4" " 7.74652e-10" " 1" " 0.991993" " 1" " 0.995984"
0.215 " 34.4037" " 0.4" " 0.4" " 7.9206e-10" " 1" " 0.991993" " 1" " 0.995984"
0.22 " 34.4037" " 0.4" " 0.4" " 8.09468e-10" " 1" " 0.991993" " 1" " 0.995984"
0.225 " 34.4037" " 0.4" " 0.4" " 8.26875e-10" " 1" " 0.991993" " 1" " 0.995984"
0.23 " 34.4037" " 0.4" " 0.4" " 8.44283e-10" " 1" " 0.991993" " 1" " 0.995984"
0.235 " 34.4037" " 0.4" " 0.4" " 8.61691e-10" " 1" " 0.991993" " 1" " 0.995984"
0.24 " 34.4037" " 0.4" " 0.4" " 8.79099e-10" " 1" " 0.991993" " 1" " 0.995984"
0.245 " 34.4037" " 0.4" " 0.4" " 8.96507e-10" " 1" " 0.991993" " 1" " 0.995984"
0.25 " 34.4037" " 0.4" " 0.4" " 9.13915e-10" " 1" " 0.991993" " 1" " 0.995984"
0.255 " 34.4037" " 0.4" " 0.4" " 9.31323e-10" " 1" " 0.991993" " 1" " 0.995984"
0.26 " 34.4037" " 0.4" " 0.4" " 9.48731e-10" " 1" " 0.991993" " 1" " 0.995984"
0.265 " 34.4037" " 0.4" " 0.4" " 9.66139e-10" " 1" " 0.991993" " 1" " 0.995984"
0.27 " 34.4037" " 0.4" " 0.4" " 9.83546e-10" " 1" " 0.991993" " 1" " 0.995984"
0.275 " 34.4037" " 0.4" " 0.4" " 1.00095e-09" " 1" " 0.991993" " 1" " 0.995984"
0.28 " 34.4037" " 0.4" " 0.4" " 1.01836e-09" " 1" " 0.991993" " 1" " 0.995984"
0.285 " 34.4037" " 0.4" " 0.4" " 1.03577e-09" " 1" " 0.991993" " 1" " 0.995984"
0.29 " 34.4037" " 0.4" " 0.4" " 1.05318e-09" " 1" " 0.991993" " 1" " 0.995984"
0.295 " 34.4037" " 0.4" " 0.4" " 1.07059e-09" " 1" " 0.991993" " 1" " 0.995984"
0.3 " 34.4037" " 0.4" " 0.4" " 1.08799e-09" " 1" " 0.991993" " 1" " 0.995984"
0.305 " 34.4037" " 0.4" " 0.4" " 1.1054e-09" " 1" " 0.991993" " 1" " 0.995984"
0.31 " 34.4037" " 0.4" " 0.4" " 1.12281e-09" " 1" " 0.991993" " 1" " 0.995984"
0.315 " 34.4037" " 0.4" " 0.4" " 1.14022e-09" " 1" " 0.991993" " 1" " 0.995984"
0.32 " 34.4037" " 0.4" " 0.4" " 1.15762e-09" " 1" " 0.991993" " 1" " 0.995984"
0.325 " 34.4037" " 0.4" " 0.4" " 1.17503e-09" " 1" " 0.991993" " 1" " 0.995984"
0.33 " 34.4037" " 0.4" " 0.4" " 1.19244e-09" " 1" " 0.991993" " 1" " 0.995984"
0.335 " 34.4037" " 0.4" " 0.4" " 1.20985e-09" " 1" " 0.991993" " 1" " 0.995984"
0.34 " 34.4037" " 0.4" " 0.4" " 1.22726e-09" " 1" " 0.991993" " 1" " 0.995984"
0.345 " 34.4037" " 0.4" " 0.4" " 1.24466e-09" " 1" " 0.991993" " 1" " 0.995984"
0.35 " 34.4037" " 0.4" " 0.4" " 1.26207e-09" " 1" " 0.991993" " 1" " 0.995984"
0.355 " 34.4037" " 0.4" " 0.4" " 1.27948e-09" " 1" " 0.991993" " 1" " 0.995984"
0.36 " 34.4037" " 0.4" " 0.4" " 1.29689e-09" " 1" " 0.991993" " 1" " 0.995984"
0.365 " 34.4037" " 0.4" " 0.4" " 1.3143e-09" " 1" " 0.991993" " 1" " 0.995984"
0.37 " 34.4037" " 0.4" " 0.4" " 1.3317e-09" " 1" " 0.991993" " 1" " 0.995984"
0.375 " 34.4037" " 0.4" " 0.4" " 1.34911e-09" " 1" " 0.991993" " 1" " 0.995984"
0.38 " 34.4037" " 0.4" " 0.4" " 1.36652e-09" " 1" " 0.991993" " 1" " 0.995984"
0.385 " 34.4037" " 0.4" " 0.4" " 1.38393e-09" " 1" " 0.991993" " 1" " 0.995984"
0.39 " 34.4037" " 0.4" " 0.4" " 1.40133e-09" " 1" " 0.991993" " 1" " 0.995984"
0.395 " 34.4037" " 0.4" " 0.4" " 1.41874e-09" " 1" " 0.991993" " 1" " 0.995984"
0.4 " 34.4037" " 0.4" " 0.4" " 1.43615e-09" " 1" " 0.991993" " 1" " 0.995984"
0.405 " 34.4037" " 0.4" " 0.4" " 1.45356e-09" " 1" " 0.991993" " 1" " 0.995984"
0.41 " 34.4037" " 0.4" " 0.4" " 1.47097e-09" " 1" " 0.991993" " 1" " 0.995984"
0.415 " 34.4037" " 0.4" " 0.4" " 1.48837e-09" " 1" " 0.991993" " 1" " 0.995984"
0.42 " 34.4037" " 0.4" " 0.4" " 1.50578e-09" " 1" " 0.991993" " 1" " 0.995984"
0.425 " 34.4037" " 0.4" " 0.4" " 1.52319e-09" " 1" " 0.991993" " 1" " 0.995984"
0.43 " 34.4037" " 0.4" " 0.4" " 1.5406e-09" " 1" " 0.991993" " 1" " 0.995984"
0.435 " 34.4037" " 0.4" " 0.4" " 1.55801e-09" " 1" " 0.991993" " 1" " 0.995984"
0.44 " 34.4037" " 0.4" " 0.4" " 1.57541e-09" " 1" " 0.991993" " 1" " 0.995984"
0.445 " 34.4037" " 0.4" " 0.4" " 1.59282e-09" " 1" " 0.991993" " 1" " 0.995984"
