Time(s) " gENSAL.delta" " gENSAL.PELEC" " gENSAL.PMECH" " gENSAL.SPEED" " GEN1.V" " LOAD.V" " GEN2.V" " FAULT.V"
-0.01 " 36.6408" " 0.4" " 0.4" " 0" " 1" " 0.991994" " 1" " 0.995984"
-0.005 " 36.6408" " 0.4" " 0.4" " 1.04447e-10" " 1" " 0.991994" " 1" " 0.995984"
0 " 36.6408" " 0.4" " 0.4" " 1.74079e-10" " 1" " 0.991994" " 1" " 0.995984"
0.005 " 36.6408" " 0.4" " 0.4" " 2.43711e-10" " 1" " 0.991994" " 1" " 0.995984"
0.01 " 36.6408" " 0.4" " 0.4" " 3.13342e-10" " 1" " 0.991994" " 1" " 0.995984"
0.015 " 36.6408" " 0.4" " 0.4" " 3.82974e-10" " 1" " 0.991994" " 1" " 0.995984"
0.02 " 36.6408" " 0.4" " 0.4" " 4.52605e-10" " 1" " 0.991994" " 1" " 0.995984"
0.025 " 36.6408" " 0.4" " 0.4" " 5.22237e-10" " 1" " 0.991994" " 1" " 0.995984"
0.03 " 36.6408" " 0.4" " 0.4" " 5.91868e-10" " 1" " 0.991994" " 1" " 0.995984"
0.035 " 36.6408" " 0.4" " 0.4" " 6.615e-10" " 1" " 0.991994" " 1" " 0.995984"
0.04 " 36.6408" " 0.4" " 0.4" " 7.31132e-10" " 1" " 0.991994" " 1" " 0.995984"
0.045 " 36.6408" " 0.4" " 0.4" " 8.00763e-10" " 1" " 0.991994" " 1" " 0.995984"
0.05 " 36.6408" " 0.4" " 0.4" " 8.70395e-10" " 1" " 0.991994" " 1" " 0.995984"
0.055 " 36.6408" " 0.4" " 0.4" " 9.40026e-10" " 1" " 0.991994" " 1" " 0.995984"
0.06 " 36.6408" " 0.4" " 0.4" " 1.00966e-09" " 1" " 0.991994" " 1" " 0.995984"
0.065 " 36.6408" " 0.4" " 0.4" " 1.07929e-09" " 1" " 0.991994" " 1" " 0.995984"
0.07 " 36.6408" " 0.4" " 0.4" " 1.14892e-09" " 1" " 0.991994" " 1" " 0.995984"
0.075 " 36.6408" " 0.4" " 0.4" " 1.21855e-09" " 1" " 0.991994" " 1" " 0.995984"
0.08 " 36.6408" " 0.4" " 0.4" " 1.28818e-09" " 1" " 0.991994" " 1" " 0.995984"
0.085 " 36.6408" " 0.4" " 0.4" " 1.35782e-09" " 1" " 0.991994" " 1" " 0.995984"
0.09 " 36.6408" " 0.4" " 0.4" " 1.42745e-09" " 1" " 0.991994" " 1" " 0.995984"
0.095 " 36.6408" " 0.4" " 0.4" " 1.49708e-09" " 1" " 0.991994" " 1" " 0.995984"
0.1 " 36.6408" " 0.4" " 0.4" " 1.56671e-09" " 1" " 0.991994" " 1" " 0.995984"
0.105 " 36.6408" " 0.4" " 0.4" " 1.63634e-09" " 1" " 0.991994" " 1" " 0.995984"
0.11 " 36.6408" " 0.4" " 0.4" " 1.70597e-09" " 1" " 0.991994" " 1" " 0.995984"
0.115 " 36.6408" " 0.4" " 0.4" " 1.77561e-09" " 1" " 0.991994" " 1" " 0.995984"
0.12 " 36.6408" " 0.4" " 0.4" " 1.84524e-09" " 1" " 0.991994" " 1" " 0.995984"
0.125 " 36.6408" " 0.4" " 0.4" " 1.91487e-09" " 1" " 0.991994" " 1" " 0.995984"
0.13 " 36.6408" " 0.4" " 0.4" " 1.9845e-09" " 1" " 0.991994" " 1" " 0.995984"
0.135 " 36.6408" " 0.4" " 0.4" " 2.05413e-09" " 1" " 0.991994" " 1" " 0.995984"
0.14 " 36.6408" " 0.4" " 0.4" " 2.12376e-09" " 1" " 0.991994" " 1" " 0.995984"
0.145 " 36.6408" " 0.4" " 0.4" " 2.1934e-09" " 1" " 0.991994" " 1" " 0.995984"
0.15 " 36.6408" " 0.4" " 0.4" " 2.26303e-09" " 1" " 0.991994" " 1" " 0.995984"
0.155 " 36.6408" " 0.4" " 0.4" " 2.33266e-09" " 1" " 0.991994" " 1" " 0.995984"
0.16 " 36.6408" " 0.4" " 0.4" " 2.40229e-09" " 1" " 0.991994" " 1" " 0.995984"
0.165 " 36.6408" " 0.4" " 0.4" " 2.47192e-09" " 1" " 0.991994" " 1" " 0.995984"
0.17 " 36.6408" " 0.4" " 0.4" " 2.54155e-09" " 1" " 0.991994" " 1" " 0.995984"
0.175 " 36.6408" " 0.4" " 0.4" " 2.61119e-09" " 1" " 0.991994" " 1" " 0.995984"
0.18 " 36.6408" " 0.4" " 0.4" " 2.68082e-09" " 1" " 0.991994" " 1" " 0.995984"
0.185 " 36.6408" " 0.4" " 0.4" " 2.75045e-09" " 1" " 0.991994" " 1" " 0.995984"
0.19 " 36.6408" " 0.4" " 0.4" " 2.82008e-09" " 1" " 0.991994" " 1" " 0.995984"
0.195 " 36.6408" " 0.4" " 0.4" " 2.88971e-09" " 1" " 0.991994" " 1" " 0.995984"
0.2 " 36.6408" " 0.4" " 0.4" " 2.95934e-09" " 1" " 0.991994" " 1" " 0.995984"
0.205 " 36.6408" " 0.4" " 0.4" " 3.02898e-09" " 1" " 0.991994" " 1" " 0.995984"
0.21 " 36.6408" " 0.4" " 0.4" " 3.09861e-09" " 1" " 0.991994" " 1" " 0.995984"
0.215 " 36.6408" " 0.4" " 0.4" " 3.16824e-09" " 1" " 0.991994" " 1" " 0.995984"
0.22 " 36.6408" " 0.4" " 0.4" " 3.23787e-09" " 1" " 0.991994" " 1" " 0.995984"
0.225 " 36.6408" " 0.4" " 0.4" " 3.3075e-09" " 1" " 0.991994" " 1" " 0.995984"
0.23 " 36.6408" " 0.4" " 0.4" " 3.37713e-09" " 1" " 0.991994" " 1" " 0.995984"
0.235 " 36.6408" " 0.4" " 0.4" " 3.44677e-09" " 1" " 0.991994" " 1" " 0.995984"
0.24 " 36.6408" " 0.4" " 0.4" " 3.5164e-09" " 1" " 0.991994" " 1" " 0.995984"
0.245 " 36.6408" " 0.4" " 0.4" " 3.58603e-09" " 1" " 0.991994" " 1" " 0.995984"
0.25 " 36.6408" " 0.4" " 0.4" " 3.65566e-09" " 1" " 0.991994" " 1" " 0.995984"
0.255 " 36.6408" " 0.4" " 0.4" " 3.72529e-09" " 1" " 0.991994" " 1" " 0.995984"
0.26 " 36.6408" " 0.4" " 0.4" " 3.79492e-09" " 1" " 0.991994" " 1" " 0.995984"
0.265 " 36.6408" " 0.4" " 0.4" " 3.86455e-09" " 1" " 0.991994" " 1" " 0.995984"
0.27 " 36.6408" " 0.4" " 0.4" " 3.93419e-09" " 1" " 0.991994" " 1" " 0.995984"
0.275 " 36.6408" " 0.4" " 0.4" " 4.00382e-09" " 1" " 0.991994" " 1" " 0.995984"
0.28 " 36.6408" " 0.4" " 0.4" " 4.07345e-09" " 1" " 0.991994" " 1" " 0.995984"
0.285 " 36.6408" " 0.4" " 0.4" " 4.14308e-09" " 1" " 0.991994" " 1" " 0.995984"
0.29 " 36.6408" " 0.4" " 0.4" " 4.21271e-09" " 1" " 0.991994" " 1" " 0.995984"
0.295 " 36.6408" " 0.4" " 0.4" " 4.28234e-09" " 1" " 0.991994" " 1" " 0.995984"
0.3 " 36.6408" " 0.4" " 0.4" " 4.35197e-09" " 1" " 0.991994" " 1" " 0.995984"
