Time(s); generator.delta; generator.PELEC; generator.PMECH; generator.SPEED; GEN1.V; LOAD.V; GEN2.V; FAULT.V
-0.01; 20.323; 0.4; 0.4; 0; 0.4; 1; 0.991993; 1
-0.005; 20.323; 0.4; 0.4; 2.53421e-11; 0.4; 1; 0.991993; 1
0; 20.323; 0.4; 0.4; 4.22369e-11; 0.4; 1; 0.991993; 1
0.005; 20.323; 0.4; 0.4; 5.91316e-11; 0.4; 1; 0.991993; 1
0.01; 20.323; 0.4; 0.4; 7.60263e-11; 0.4; 1; 0.991993; 1
0.015; 20.323; 0.4; 0.4; 9.29211e-11; 0.4; 1; 0.991993; 1
0.02; 20.323; 0.4; 0.4; 1.09816e-10; 0.4; 1; 0.991993; 1
0.025; 20.323; 0.4; 0.4; 1.26711e-10; 0.4; 1; 0.991993; 1
0.03; 20.323; 0.4; 0.4; 1.43605e-10; 0.4; 1; 0.991993; 1
0.035; 20.323; 0.4; 0.4; 1.605e-10; 0.4; 1; 0.991993; 1
0.04; 20.323; 0.4; 0.4; 1.77395e-10; 0.4; 1; 0.991993; 1
0.045; 20.323; 0.4; 0.4; 1.9429e-10; 0.4; 1; 0.991993; 1
0.05; 20.323; 0.4; 0.4; 2.11184e-10; 0.4; 1; 0.991993; 1
0.055; 20.323; 0.4; 0.4; 2.28079e-10; 0.4; 1; 0.991993; 1
0.06; 20.323; 0.4; 0.4; 2.44974e-10; 0.4; 1; 0.991993; 1
0.065; 20.323; 0.4; 0.4; 2.61868e-10; 0.4; 1; 0.991993; 1
0.07; 20.323; 0.4; 0.4; 2.78763e-10; 0.4; 1; 0.991993; 1
0.075; 20.323; 0.4; 0.4; 2.95658e-10; 0.4; 1; 0.991993; 1
0.08; 20.323; 0.4; 0.4; 3.12553e-10; 0.4; 1; 0.991993; 1
0.085; 20.323; 0.4; 0.4; 3.29447e-10; 0.4; 1; 0.991993; 1
0.09; 20.323; 0.4; 0.4; 3.46342e-10; 0.4; 1; 0.991993; 1
0.095; 20.323; 0.4; 0.4; 3.63237e-10; 0.4; 1; 0.991993; 1
