Time(s); generator.delta; generator.PELEC; generator.PMECH; generator.SPEED; GEN1.V; LOAD.V; GEN2.V; FAULT.V
-0.01; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
-0.005; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.005; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.01; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.015; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.02; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.025; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.03; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.035; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.04; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.045; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.05; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.055; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.06; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.065; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.07; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.075; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.08; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.085; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.09; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.095; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.1; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.105; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.11; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.115; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.12; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.125; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.13; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.135; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.14; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.145; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.15; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.155; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.16; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.165; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.17; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.175; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.18; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.185; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.19; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.195; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.2; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.205; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.21; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.215; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.22; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
0.225; 34.4037; 0.4; 0.4; 0; 0.016; 1; 0.991993; 1
