Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,eSST4B.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.84595,1.346903,0.3999995291233063,0.0,8.41,1.5608517,1.3136942,1.2114725,1.2622993
0.002,28.841686,1.3467255,0.3999995291233063,-0.00023671403,8.41,1.560859,1.3137035,1.2114803,1.262308
0.002,28.841686,1.3467255,0.3999995291233063,-0.00023671403,8.41,1.560859,1.3137035,1.2114803,1.262308
0.004,28.828903,1.3461953,0.3999995291233063,-0.00047331577,8.41,1.5608809,1.3137311,1.2115036,1.2623339
0.006,28.807608,1.3453146,0.3999995291233063,-0.00070971734,8.41,1.5609174,1.3137772,1.2115424,1.2623771
0.008,28.777807,1.3440856,0.3999995291233063,-0.0009458314,8.41,1.5609688,1.3138416,1.2115966,1.2624375
0.01,28.73951,1.3425106,0.3999995291233063,-0.0011815712,8.41,1.5610349,1.3139242,1.2116661,1.262515
0.012,28.692734,1.3405917,0.3999995291233063,-0.0014168505,8.41,1.5611159,1.3140249,1.2117507,1.2626094
0.014,28.637499,1.3383312,0.3999995291233063,-0.0016515836,8.41,1.5612115,1.3141438,1.2118505,1.2627207
0.016,28.57382,1.3357313,0.3999995291233063,-0.0018856855,8.41,1.561322,1.3142803,1.2119652,1.2628486
0.018,28.50173,1.3327942,0.3999995291233063,-0.0021190718,8.41,1.561447,1.3144345,1.2120945,1.2629929
0.02,28.42125,1.3295223,0.3999995291233063,-0.0023516582,8.41,1.5615867,1.3146062,1.2122383,1.2631534
0.022,28.33241,1.3259176,0.3999995291233063,-0.0025833617,8.41,1.5617408,1.3147949,1.2123963,1.26333
0.024,28.235249,1.3219826,0.3999995291233063,-0.0028140992,8.41,1.5619092,1.3150005,1.2125683,1.2635221
0.026,28.129797,1.3177195,0.3999995291233063,-0.0030437887,8.41,1.5620917,1.3152226,1.2127539,1.2637297
0.028,28.016096,1.3131305,0.3999995291233063,-0.0032723485,8.41,1.5622883,1.315461,1.212953,1.2639524
0.03,27.894188,1.3082181,0.3999995291233063,-0.0034996977,8.41,1.5624985,1.3157153,1.2131652,1.2641897
0.032,27.764118,1.3029846,0.3999995291233063,-0.0037257555,8.41,1.5627222,1.3159852,1.21339,1.2644414
