Time,cSVGN1.Q,GEN1.V,LOAD.V,GEN2.V,SHUNT.V,FAULT.V
0.0,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
1e-10,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.02,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.04,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.06,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.08,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.1,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.12,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.14,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.16,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.18,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.2,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.22,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.24,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.26,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.28,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.3,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.32,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.34,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.36,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.38,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.4,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.42,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.44,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.46,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.48,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.5,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.52,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.54,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.56,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.58,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.6,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.62,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.64,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.66,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.68,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.7,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.72,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.74,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.76,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.78,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.8,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.82,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.84,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.86,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.88,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.9,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.92,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.94,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.96,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.98,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
1.0,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
1.02,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
1.04,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
1.06,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
1.08,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
1.1,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
1.12,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
1.14,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
1.16,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
1.18,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.2,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.22,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.24,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.26,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.28,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.3,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.32,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.34,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.36,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.38,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.4,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.42,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.44,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.46,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.48,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.5,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.52,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.54,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.56,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.58,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.6,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.62,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.64,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.66,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.68,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.7,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.72,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.74,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.76,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.78,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.8,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.82,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.84,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.86,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.88,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.9,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
1.92,0.06009897,1.0,0.9940152,1.0,1.0,0.99699503
