Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,iEEEG1.PMECH_HP,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.849682,0.40003675,0.4,0.0,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.002,28.849682,0.40003675,0.4,-9.189893e-09,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.004,28.849678,0.40003675,0.4,-1.8376829e-08,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.006,28.849678,0.40003672,0.4,-2.7558796e-08,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.008,28.849678,0.4000367,0.4,-3.6733802e-08,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.01,28.849674,0.40003666,0.4,-4.5899874e-08,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.012,28.849674,0.4000366,0.4,-5.505506e-08,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.014,28.84967,0.40003657,0.4,-6.419743e-08,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.016,28.84967,0.4000365,0.4,-7.332507e-08,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.018,28.849667,0.40003645,0.4,-8.243608e-08,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.02,28.849665,0.40003636,0.4,-9.15286e-08,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.022,28.84966,0.40003628,0.4,-1.0060076e-07,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.024,28.849657,0.4000362,0.4,-1.09650735e-07,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.026,28.849651,0.4000361,0.4,-1.1867671e-07,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.028,28.849648,0.400036,0.4,-1.2767687e-07,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.03,28.849644,0.4000359,0.4,-1.3664946e-07,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.032,28.849636,0.40003577,0.4,-1.4559271e-07,0.4,0.9999942,0.99198985,0.9999976,0.99598116
0.034,28.849634,0.40003565,0.4,-1.5450487e-07,0.4,0.9999942,0.99198985,0.9999976,0.99598116
