Time,wT4E1.Q,GEN1.V,FAULT.V,GEN2.V
0.0,-0.056656,0.9999646,1.0000749,1.0000015
0.02,-0.056656,0.9999646,1.0000749,1.0000015
0.04,-0.056656,0.9999646,1.0000749,1.0000015
0.06,-0.056656,0.9999646,1.0000749,1.0000015
0.08,-0.056656,0.9999646,1.0000749,1.0000015
0.1,-0.056656,0.9999646,1.0000749,1.0000015
0.12,-0.056656,0.9999646,1.0000749,1.0000015
0.14,-0.056656,0.9999646,1.0000749,1.0000015
0.16,-0.056656,0.9999646,1.0000749,1.0000015
0.18,-0.056656,0.9999646,1.0000749,1.0000015
0.2,-0.056656,0.9999646,1.0000749,1.0000015
0.22,-0.056656,0.9999646,1.0000749,1.0000015
0.24,-0.056656,0.9999646,1.0000749,1.0000015
0.26,-0.056656,0.9999646,1.0000749,1.0000015
0.28,-0.056656,0.9999646,1.0000749,1.0000015
0.3,-0.056656,0.9999646,1.0000749,1.0000015
0.32,-0.056656,0.9999646,1.0000749,1.0000015
0.34,-0.056656,0.9999646,1.0000749,1.0000015
0.36,-0.056656,0.9999646,1.0000749,1.0000015
0.38,-0.056656,0.9999646,1.0000749,1.0000015
0.4,-0.056656,0.9999646,1.0000749,1.0000015
0.42,-0.056656,0.9999646,1.0000749,1.0000015
0.44,-0.056656,0.9999646,1.0000749,1.0000015
0.46,-0.056656,0.9999646,1.0000749,1.0000015
0.48,-0.056656,0.9999646,1.0000749,1.0000015
0.5,-0.056656,0.9999646,1.0000749,1.0000015
0.52,-0.056656,0.9999646,1.0000749,1.0000015
0.54,-0.056656,0.9999646,1.0000749,1.0000015
0.56,-0.056656,0.9999646,1.0000749,1.0000015
0.58,-0.056656,0.9999646,1.0000749,1.0000015
0.6,-0.056656,0.9999646,1.0000749,1.0000015
0.62,-0.056656,0.9999646,1.0000749,1.0000015
0.64,-0.056656,0.9999646,1.0000749,1.0000015
0.66,-0.056656,0.9999646,1.0000749,1.0000015
0.68,-0.056656,0.9999646,1.0000749,1.0000015
0.7,-0.056656,0.9999646,1.0000749,1.0000015
0.72,-0.056656,0.9999646,1.0000749,1.0000015
0.74,-0.056656,0.9999646,1.0000749,1.0000015
0.76,-0.056656,0.9999646,1.0000749,1.0000015
0.78,-0.056656,0.9999646,1.0000749,1.0000015
0.8,-0.056656,0.9999646,1.0000749,1.0000015
0.82,-0.056656,0.9999646,1.0000749,1.0000015
0.84,-0.056656,0.9999646,1.0000749,1.0000015
0.86,-0.056656,0.9999646,1.0000749,1.0000015
0.88,-0.056656,0.9999646,1.0000749,1.0000015
0.9,-0.056656,0.9999646,1.0000749,1.0000015
0.92,-0.056656,0.9999646,1.0000749,1.0000015
0.94,-0.056656,0.9999646,1.0000749,1.0000015
0.96,-0.056656,0.9999646,1.0000749,1.0000015
0.98,-0.056656,0.9999646,1.0000749,1.0000015
1.0,-0.056656,0.9999646,1.0000749,1.0000015
1.02,-0.056656,0.9999646,1.0000749,1.0000015
1.04,-0.056656,0.9999646,1.0000749,1.0000015
1.06,-0.056656,0.9999646,1.0000749,1.0000015
1.08,-0.056656,0.9999646,1.0000749,1.0000015
1.1,-0.056656,0.9999646,1.0000749,1.0000015
1.12,-0.056656,0.9999646,1.0000749,1.0000015
1.14,-0.056656,0.9999646,1.0000749,1.0000015
1.16,-0.056656,0.9999646,1.0000749,1.0000015
1.18,-0.056656,0.9999646,1.0000749,1.0000015
1.2,-0.056656,0.9999646,1.0000749,1.0000015
1.22,-0.056656,0.9999646,1.0000749,1.0000015
1.24,-0.056656,0.9999646,1.0000749,1.0000015
1.26,-0.056656,0.9999646,1.0000749,1.0000015
1.28,-0.056656,0.9999646,1.0000749,1.0000015
1.3,-0.056656,0.9999646,1.0000749,1.0000015
1.32,-0.056656,0.9999646,1.0000749,1.0000015
1.34,-0.056656,0.9999646,1.0000749,1.0000015
1.36,-0.056656,0.9999646,1.0000749,1.0000015
1.38,-0.056656,0.9999646,1.0000749,1.0000015
1.4,-0.056656,0.9999646,1.0000749,1.0000015
1.42,-0.056656,0.9999646,1.0000749,1.0000015
1.44,-0.056656,0.9999646,1.0000749,1.0000015
1.46,-0.056656,0.9999646,1.0000749,1.0000015
1.48,-0.056656,0.9999646,1.0000749,1.0000015
1.5,-0.056656,0.9999646,1.0000749,1.0000015
1.52,-0.056656,0.9999646,1.0000749,1.0000015
1.54,-0.056656,0.9999646,1.0000749,1.0000015
1.56,-0.056656,0.9999646,1.0000749,1.0000015
1.58,-0.056656,0.9999646,1.0000749,1.0000015
1.6,-0.056656,0.9999646,1.0000749,1.0000015
1.62,-0.056656,0.9999646,1.0000749,1.0000015
1.64,-0.056656,0.9999646,1.0000749,1.0000015
1.66,-0.056656,0.9999646,1.0000749,1.0000015
1.68,-0.056656,0.9999646,1.0000749,1.0000015
1.7,-0.056656,0.9999646,1.0000749,1.0000015
1.72,-0.056656,0.9999646,1.0000749,1.0000015
1.74,-0.056656,0.9999646,1.0000749,1.0000015
1.76,-0.056656,0.9999646,1.0000749,1.0000015
1.78,-0.056656,0.9999646,1.0000749,1.0000015
1.8,-0.056656,0.9999646,1.0000749,1.0000015
1.82,-0.056656,0.9999646,1.0000749,1.0000015
1.84,-0.056656,0.9999646,1.0000749,1.0000015
1.86,-0.056656,0.9999646,1.0000749,1.0000015
1.88,-0.056656,0.9999646,1.0000749,1.0000015
1.9,-0.056656,0.9999646,1.0000749,1.0000015
1.92,-0.056656,0.9999646,1.0000749,1.0000015
1.94,-0.056656,0.9999646,1.0000749,1.0000015
1.96,-0.056656,0.9999646,1.0000749,1.0000015
1.98,-0.056656,0.9999646,1.0000749,1.0000015
2.0,-0.056656,0.9999646,1.0000749,1.0000015
2.0,-0.04548608,0.80281824,0.8029285,0.82305163
2.0149393,0.03720459,0.82048404,0.8203354,0.8395885
2.0149393,0.03720459,0.82048404,0.8203354,0.8395885
2.02,0.09258085,0.831864,0.83154994,0.8502506
2.0332046,0.27051312,0.8664557,0.8656391,0.882668
2.0332046,0.27051312,0.8664557,0.8656391,0.882668
2.04,0.35361186,0.8817187,0.8806803,0.8969741
2.0561526,0.4597527,0.9005006,0.8991895,0.9145808
2.0561526,0.4597527,0.9005006,0.8991895,0.9145808
2.06,0.47354576,0.90288645,0.90154064,0.9168177
2.08,0.51141,0.9093729,0.9079331,0.9229
2.080884,0.51224285,0.90951455,0.90807265,0.9230328
2.080884,0.51224285,0.90951455,0.90807265,0.9230328
2.1,0.5227948,0.9113043,0.90983653,0.92471164
2.12,0.52610505,0.9118636,0.9103878,0.92523646
2.14,0.5270851,0.91202885,0.9105507,0.9253916
2.15,0.52731156,0.912067,0.91058826,0.92542744
2.15,0.6586346,1.1392106,1.1377317,1.1296571
2.16,0.49215144,1.1096722,1.1085321,1.1021582
2.18,0.19218177,1.052443,1.0519564,1.0488704
2.2,-0.0011899612,1.0121307,1.0121033,1.0113338
2.2167222,-0.085792065,0.9934459,0.9936309,0.9939354
2.2167222,-0.085792065,0.9934459,0.9936309,0.9939354
2.2167222,-0.085792065,0.9934459,0.9936309,0.9939354
2.2167222,-0.085792065,0.9934459,0.9936309,0.9939354
2.22,-0.09602326,0.99113756,0.9913488,0.9917859
2.24,-0.12651353,0.98419327,0.9844832,0.98531854
2.2488842,-0.12742385,0.98398507,0.98427725,0.985124
2.2488842,-0.12742385,0.98398507,0.98427725,0.985124
2.26,-0.12243038,0.9851308,0.9854098,0.98619
2.28,-0.1051129,0.9890813,0.98931533,0.9898675
2.3,-0.0859473,0.9934155,0.99360013,0.99390274
2.32,-0.07033711,0.99691695,0.9970618,0.99716306
2.34,-0.059247397,0.9993892,0.99950594,0.99946517
2.36,-0.051583223,1.0010904,1.0011879,1.0010495
2.38,-0.04594422,1.0023384,1.0024217,1.0022117
2.4,-0.041213877,1.0033829,1.0034543,1.0031843
2.42,-0.036824528,1.0043503,1.0044106,1.0040851
2.44,-0.032611422,1.0052769,1.0053269,1.004948
2.46,-0.028576119,1.0061629,1.0062027,1.005773
2.48,-0.024767216,1.0069977,1.007028,1.0065503
2.5,-0.02124561,1.0077683,1.0077899,1.007268
2.52,-0.018064411,1.0084634,1.0084771,1.0079153
2.54,-0.015267062,1.0090739,1.0090805,1.0084836
2.56,-0.012871699,1.009596,1.0095967,1.0089698
2.58,-0.0108967945,1.010026,1.0100219,1.0093703
2.6,-0.009318433,1.0103694,1.0103614,1.0096902
2.62,-0.008130456,1.0106277,1.0106169,1.0099307
