Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,eSAC2A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.84595,0.524045,0.3999995291233063,0.0,1.3274746,0.8858448,0.8744825,0.91148406,0.8915044
0.002,28.845388,0.52403384,0.3999995291233063,-3.1009815e-05,1.3274751,0.88584507,0.8744824,0.9114837,0.89150417
0.002,28.845388,0.12937863,0.3999995291233063,-3.1009815e-05,1.3528434,0.9312477,0.95084083,0.9714457,0.9609717
0.004,28.845491,0.13307215,0.3999995291233063,3.6178615e-05,1.3520213,0.9316526,0.9511153,0.97165453,0.961217
0.006,28.847994,0.13669232,0.3999995291233063,0.00010244636,1.347332,0.93203604,0.9513756,0.97185314,0.9614499
0.008,28.852867,0.14024223,0.3999995291233063,0.00016781146,1.3391426,0.9323987,0.951622,0.9720417,0.9616708
0.01,28.860077,0.14372489,0.3999995291233063,0.0002322912,1.3277967,0.932741,0.951855,0.9722206,0.96188
0.012,28.86959,0.14714313,0.3999995291233063,0.0002959021,1.3136156,0.93306357,0.95207494,0.9723902,0.962078
0.012,28.86959,0.14714313,0.3999995291233063,0.0002959021,1.3136156,0.93306357,0.95207494,0.9723902,0.962078
0.014,28.881384,0.15049979,0.3999995291233063,0.00035866,1.2995656,0.933367,0.9522823,0.9725507,0.962265
0.014,28.881384,0.15049979,0.3999995291233063,0.00035866,1.2995656,0.933367,0.9522823,0.9725507,0.962265
0.016,28.895416,0.15379797,0.3999995291233063,0.00042058,1.2855234,0.93365216,0.95247763,0.97270256,0.9624416
0.016,28.895416,0.15379797,0.3999995291233063,0.00042058,1.2855234,0.93365216,0.95247763,0.97270256,0.9624416
0.018,28.911665,0.15704052,0.3999995291233063,0.00048167646,1.2714901,0.93391985,0.95266145,0.9728462,0.9626083
0.02,28.930096,0.16023017,0.3999995291233063,0.000541963,1.2574667,0.93417084,0.9528343,0.9729819,0.96276546
0.022,28.950686,0.16336952,0.3999995291233063,0.0006014526,1.2434545,0.9344057,0.95299655,0.9731101,0.96291345
0.024,28.973404,0.16646107,0.3999995291233063,0.0006601576,1.2294543,0.9346252,0.9531487,0.973231,0.9630527
0.026,28.998217,0.16950715,0.3999995291233063,0.0007180897,1.215467,0.93483,0.95329124,0.97334504,0.9631836
0.028,29.025105,0.17251001,0.3999995291233063,0.00077526004,1.2014936,0.9350207,0.9534245,0.97345245,0.9633065
0.03,29.054037,0.17547184,0.3999995291233063,0.0008316793,1.1875352,0.93519783,0.95354885,0.9735535,0.96342176
0.032,29.084984,0.17839468,0.3999995291233063,0.0008873575,1.1735921,0.93536204,0.9536647,0.9736484,0.96352965
0.034,29.117928,0.18128046,0.3999995291233063,0.00094230426,1.1596655,0.93551385,0.9537725,0.97373754,0.9636305
0.036,29.152832,0.18413107,0.3999995291233063,0.0009965285,1.1457559,0.9356537,0.95387244,0.9738211,0.96372455
0.038,29.189674,0.18694825,0.3999995291233063,0.0010500392,1.1318641,0.9357822,0.9539649,0.9738993,0.96381223
0.04,29.228436,0.18973373,0.3999995291233063,0.0011028443,1.1179906,0.93589973,0.9540501,0.9739724,0.96389365
0.042,29.269083,0.19248907,0.3999995291233063,0.0011549516,1.1041363,0.93600684,0.95412856,0.97404057,0.9639692
0.044,29.31159,0.19521584,0.3999995291233063,0.0012063687,1.0903016,0.9361039,0.9542003,0.974104,0.96403897
0.046,29.355938,0.19791546,0.3999995291233063,0.0012571024,1.0764871,0.93619126,0.9542658,0.97416294,0.9641033
0.048,29.402103,0.20058934,0.3999995291233063,0.0013071595,1.0626932,0.9362694,0.95432514,0.9742175,0.96416235
0.05,29.450054,0.2032388,0.3999995291233063,0.0013565463,1.0489206,0.93633866,0.95437866,0.9742679,0.96421635
0.052,29.499775,0.20586506,0.3999995291233063,0.0014052688,1.0351697,0.9363994,0.9544266,0.9743143,0.96426547
0.054,29.551233,0.20846933,0.3999995291233063,0.0014533327,1.021441,0.936452,0.9544691,0.9743568,0.96431
0.056,29.604414,0.21105272,0.3999995291233063,0.0015007436,1.0077349,0.9364967,0.9545064,0.9743956,0.96435
0.056,29.604414,0.21105272,0.3999995291233063,0.0015007436,1.0077349,0.9364967,0.9545064,0.9743956,0.96435
0.058,29.659286,0.21361631,0.3999995291233063,0.0015475064,0.9940517,0.93653387,0.9545387,0.9744308,0.9643857
0.06,29.715834,0.2161611,0.3999995291233063,0.0015936261,0.98039186,0.93656373,0.95456624,0.9744626,0.9644172
0.062,29.774027,0.21868806,0.3999995291233063,0.0016391074,0.96675575,0.9365867,0.9545891,0.9744911,0.96444476
0.064,29.83385,0.2211981,0.3999995291233063,0.0016839545,0.95314366,0.9366029,0.95460755,0.9745164,0.9644684
0.066,29.895273,0.22369207,0.3999995291233063,0.0017281717,0.939556,0.93661267,0.9546217,0.9745386,0.9644884
0.068,29.958279,0.2261708,0.3999995291233063,0.0017717631,0.92599297,0.9366162,0.9546316,0.9745578,0.9645047
0.07,30.02284,0.22863503,0.3999995291233063,0.0018147323,0.9124549,0.9366137,0.9546376,0.9745742,0.96451765
0.072,30.08894,0.2310855,0.3999995291233063,0.001857083,0.8989421,0.93660545,0.9546396,0.9745878,0.9645272
0.074,30.156553,0.23352289,0.3999995291233063,0.0018988186,0.8854548,0.9365916,0.954638,0.9745987,0.9645335
0.076,30.225653,0.23594785,0.3999995291233063,0.0019399422,0.8719932,0.9365724,0.9546327,0.97460705,0.96453667
0.078,30.296227,0.23836099,0.3999995291233063,0.0019804572,0.8585575,0.936548,0.95462394,0.97461283,0.96453685
0.08,30.368248,0.24076284,0.3999995291233063,0.0020203663,0.845148,0.93651855,0.9546117,0.9746162,0.96453404
0.082,30.441692,0.24315399,0.3999995291233063,0.0020596723,0.8317649,0.9364843,0.9545963,0.97461724,0.96452844
0.084,30.516544,0.2455349,0.3999995291233063,0.0020983778,0.81840825,0.9364453,0.9545776,0.97461593,0.96452004
0.086,30.592775,0.24790606,0.3999995291233063,0.0021364857,0.8050784,0.9364018,0.9545559,0.9746125,0.96450895
0.088,30.67037,0.2502679,0.3999995291233063,0.0021739982,0.7917754,0.93635386,0.95453113,0.9746068,0.9644953
0.09,30.749304,0.2526208,0.3999995291233063,0.0022109176,0.7784994,0.93630165,0.9545035,0.974599,0.9644791
0.09,30.749304,0.2526208,0.3999995291233063,0.0022109176,0.7784994,0.93630165,0.9545035,0.974599,0.9644791
0.092,30.829556,0.25496516,0.3999995291233063,0.0022472464,0.7652506,0.9362453,0.95447296,0.9745892,0.9644604
0.094,30.911108,0.25730136,0.3999995291233063,0.0022829864,0.7520291,0.93618494,0.9544397,0.9745774,0.96443933
0.096,30.99393,0.2596297,0.3999995291233063,0.00231814,0.7388351,0.9361207,0.95440376,0.97456366,0.9644159
0.098,31.078012,0.26195043,0.3999995291233063,0.0023527087,0.7256686,0.9360526,0.95436513,0.97454804,0.9643902
0.1,31.163326,0.26426393,0.3999995291233063,0.002386695,0.7125298,0.93598086,0.954324,0.9745305,0.96436226
0.102,31.249855,0.26657036,0.3999995291233063,0.0024201004,0.69941866,0.9359055,0.9542803,0.9745112,0.96433216
0.104,31.337574,0.26887,0.3999995291233063,0.0024529267,0.68633544,0.9358266,0.9542342,0.9744901,0.9643
0.106,31.426466,0.27116305,0.3999995291233063,0.0024851758,0.6732802,0.93574435,0.9541857,0.97446734,0.96426564
0.108,31.516508,0.2734497,0.3999995291233063,0.0025168492,0.66025287,0.9356587,0.9541349,0.97444284,0.96422935
0.11,31.607677,0.27573007,0.3999995291233063,0.0025479486,0.6472537,0.9355698,0.9540817,0.9744167,0.96419096
0.112,31.69996,0.2780044,0.3999995291233063,0.0025784757,0.63428265,0.93547773,0.95402634,0.97438884,0.96415067
0.114,31.79333,0.28027278,0.3999995291233063,0.002608432,0.62133986,0.93538254,0.95396876,0.97435945,0.96410847
0.114,31.79333,0.28027278,0.3999995291233063,0.002608432,0.62133986,0.93538254,0.95396876,0.97435945,0.96410847
0.116,31.887766,0.28253528,0.3999995291233063,0.002637819,0.6084253,0.9352843,0.95390904,0.97432846,0.9640644
0.118,31.983252,0.2847921,0.3999995291233063,0.002666638,0.59553903,0.93518305,0.95384717,0.974296,0.96401846
0.12,32.07976,0.2870432,0.3999995291233063,0.0026948906,0.5826812,0.93507886,0.9537832,0.97426194,0.96397066
0.122,32.177284,0.28928876,0.3999995291233063,0.0027225786,0.56985176,0.9349718,0.95371723,0.9742264,0.9639211
0.124,32.27579,0.2915288,0.3999995291233063,0.0027497031,0.5570507,0.93486196,0.95364916,0.9741894,0.9638698
0.126,32.37526,0.2937633,0.3999995291233063,0.0027762656,0.54427814,0.9347493,0.9535792,0.97415096,0.96381676
0.128,32.47568,0.29599237,0.3999995291233063,0.0028022674,0.53153414,0.9346339,0.9535072,0.9741111,0.963762
0.128,32.47568,0.29599237,0.3999995291233063,0.0028022674,0.53153414,0.9346339,0.9535072,0.9741111,0.963762
0.13,32.577026,0.298216,0.3999995291233063,0.0028277102,0.5188186,0.93451583,0.9534333,0.9740698,0.96370554
0.132,32.679276,0.30043414,0.3999995291233063,0.0028525954,0.50613165,0.93439513,0.9533575,0.9740271,0.9636474
0.134,32.782413,0.30264685,0.3999995291233063,0.0028769241,0.49347323,0.9342718,0.9532798,0.97398305,0.96358764
