Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eSST1A.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.4037,0.48036215,0.4000000059604645,0.0,1.4314197,0.8599103,0.8565387,0.898289,0.87573403
0.002,34.403362,0.48035568,0.4000000059604645,-1.8775323e-05,1.431422,0.8599104,0.8565386,0.8982888,0.87573385
0.002,34.403362,0.09123416,0.4000000059604645,-1.8775323e-05,1.6211323,0.90621644,0.9356049,0.96102047,0.9481017
0.004,34.403984,0.09573281,0.4000000059604645,5.2831885e-05,1.5351106,0.9071196,0.93619347,0.96144795,0.9486147
0.006,34.407166,0.10013075,0.4000000059604645,0.00012339397,1.4901888,0.9079935,0.9367622,0.96186095,0.94911045
0.008,34.41287,0.10443397,0.4000000059604645,0.00019293357,1.4664767,0.9088399,0.93731225,0.96226037,0.9495897
0.01,34.421055,0.10864744,0.4000000059604645,0.00026147216,1.4537114,0.90965974,0.9378443,0.96264666,0.9500534
0.012,34.431694,0.112775594,0.4000000059604645,0.00032903024,1.4465975,0.9104541,0.9383591,0.96302044,0.95050204
0.014,34.444748,0.11682245,0.4000000059604645,0.00039562726,1.4424027,0.9112236,0.93885714,0.9633821,0.9509361
0.016,34.46018,0.120791785,0.4000000059604645,0.0004612819,1.4397174,0.91196895,0.939339,0.96373206,0.95135605
0.018,34.477962,0.12468716,0.4000000059604645,0.00052601186,1.4378142,0.9126909,0.93980515,0.9640707,0.9517624
0.02,34.498055,0.12851197,0.4000000059604645,0.0005898342,1.4363179,0.9133899,0.94025606,0.96439826,0.9521555
0.022,34.520428,0.13226944,0.4000000059604645,0.0006527649,1.4350352,0.91406673,0.9406922,0.96471524,0.9525357
0.024,34.545055,0.13596271,0.4000000059604645,0.00071481965,1.433866,0.91472197,0.941114,0.9650219,0.9529035
0.026,34.5719,0.1395947,0.4000000059604645,0.00077601307,1.4327592,0.9153561,0.9415218,0.96531856,0.9532593
0.028,34.600925,0.14316827,0.4000000059604645,0.00083635916,1.4316881,0.9159698,0.94191617,0.96560556,0.9536033
0.03,34.632114,0.14668617,0.4000000059604645,0.00089587143,1.4306393,0.9165636,0.94229746,0.96588314,0.9539361
0.032,34.665432,0.15015097,0.4000000059604645,0.00095456257,1.4296057,0.91713804,0.942666,0.96615165,0.95425785
0.034,34.70084,0.15356518,0.4000000059604645,0.0010124448,1.4285839,0.91769373,0.9430222,0.96641135,0.9545689
0.036,34.738327,0.15693122,0.4000000059604645,0.0010695297,1.4275719,0.9182312,0.94336647,0.9666626,0.95486975
0.038,34.777847,0.16025136,0.4000000059604645,0.0011258284,1.426569,0.9187509,0.9436991,0.96690553,0.95516056
0.04,34.819386,0.16352782,0.4000000059604645,0.0011813514,1.4255749,0.91925347,0.9440206,0.96714044,0.95544165
0.042,34.862904,0.16676266,0.4000000059604645,0.0012361086,1.4245892,0.9197393,0.94433117,0.96736765,0.9557134
0.044,34.908382,0.16995792,0.4000000059604645,0.0012901098,1.4236119,0.920209,0.9446312,0.9675874,0.95597607
0.046,34.955795,0.17311554,0.4000000059604645,0.0013433639,1.4226431,0.920663,0.944921,0.96779984,0.95622987
0.048,35.005104,0.17623731,0.4000000059604645,0.0013958795,1.4216827,0.9211017,0.9452009,0.9680053,0.9564752
0.05,35.056297,0.17932504,0.4000000059604645,0.0014476652,1.420731,0.92152566,0.94547117,0.9682039,0.95671225
0.052,35.109337,0.1823804,0.4000000059604645,0.0014987283,1.4197875,0.9219353,0.9457322,0.96839595,0.9569413
0.054,35.164204,0.18540497,0.4000000059604645,0.0015490766,1.4188528,0.9223311,0.9459841,0.96858156,0.9571626
0.056,35.22087,0.18840033,0.4000000059604645,0.0015987171,1.4179267,0.92271334,0.9462274,0.968761,0.9573764
0.058,35.279312,0.19136791,0.4000000059604645,0.0016476564,1.4170091,0.9230826,0.94646215,0.96893454,0.95758295
0.06,35.339504,0.19430912,0.4000000059604645,0.001695901,1.4161003,0.92343915,0.9466887,0.9691022,0.9577824
0.062,35.401417,0.1972253,0.4000000059604645,0.001743457,1.4152,0.9237835,0.9469073,0.96926427,0.95797503
0.064,35.465034,0.20011772,0.4000000059604645,0.0017903302,1.4143084,0.92411596,0.94711816,0.96942085,0.958161
0.066,35.530323,0.2029876,0.4000000059604645,0.0018365257,1.4134254,0.92443687,0.9473216,0.9695722,0.95834064
0.068,35.597263,0.20583609,0.4000000059604645,0.0018820491,1.4125512,0.9247467,0.94751775,0.9697184,0.958514
0.07,35.665833,0.2086643,0.4000000059604645,0.0019269052,1.4116856,0.9250456,0.94770694,0.96985966,0.95868134
0.072,35.736,0.21147326,0.4000000059604645,0.0019710988,1.4108287,0.92533416,0.94788927,0.96999615,0.9588429
0.074,35.807747,0.21426399,0.4000000059604645,0.002014634,1.4099804,0.9256125,0.94806504,0.97012794,0.9589987
0.076,35.881054,0.21703742,0.4000000059604645,0.0020575153,1.4091407,0.925881,0.9482344,0.97025526,0.95914906
0.078,35.95589,0.21979448,0.4000000059604645,0.0020997466,1.4083096,0.92614007,0.9483975,0.97037816,0.9592941
0.08,36.032238,0.222536,0.4000000059604645,0.0021413318,1.407487,0.9263898,0.9485547,0.97049683,0.959434
0.082,36.110065,0.22526279,0.4000000059604645,0.0021822744,1.406673,0.9266307,0.948706,0.9706114,0.95956886
0.084,36.189358,0.22797564,0.4000000059604645,0.0022225776,1.4058675,0.9268629,0.94885164,0.97072196,0.95969886
0.086,36.270092,0.23067525,0.4000000059604645,0.002262245,1.4050703,0.92708665,0.9489918,0.97082865,0.95982414
0.088,36.35224,0.23336235,0.4000000059604645,0.0023012792,1.4042817,0.92730236,0.9491266,0.9709316,0.9599449
0.09,36.435783,0.23603755,0.4000000059604645,0.0023396837,1.4035014,0.92751014,0.94925624,0.97103083,0.96006113
0.092,36.5207,0.23870149,0.4000000059604645,0.0023774607,1.4027294,0.9277103,0.9493809,0.97112656,0.96017313
0.094,36.606964,0.24135473,0.4000000059604645,0.0024146133,1.4019657,0.92790306,0.9495006,0.9712188,0.9602809
0.096,36.69455,0.24399786,0.4000000059604645,0.0024511437,1.4012103,0.9280886,0.94961566,0.9713078,0.96038467
0.098,36.783443,0.24663135,0.4000000059604645,0.0024870543,1.400463,0.92826724,0.9497261,0.97139347,0.96048445
0.1,36.87362,0.2492557,0.4000000059604645,0.0025223475,1.3997239,0.92843914,0.9498321,0.971476,0.96058035
0.102,36.965054,0.25187138,0.4000000059604645,0.0025570253,1.3989928,0.92860454,0.9499337,0.9715555,0.96067256
0.104,37.057724,0.25447878,0.4000000059604645,0.0025910898,1.3982697,0.92876357,0.95003116,0.97163194,0.9607612
0.106,37.15161,0.25707835,0.4000000059604645,0.0026245427,1.3975545,0.92891645,0.95012444,0.9717055,0.96084625
0.108,37.246693,0.2596704,0.4000000059604645,0.0026573862,1.3968472,0.9290634,0.9502138,0.97177625,0.96092784
0.11,37.34294,0.2622553,0.4000000059604645,0.0026896219,1.3961477,0.9292045,0.95029926,0.97184426,0.96100616
0.112,37.440346,0.26483342,0.4000000059604645,0.0027212515,1.3954561,0.92934006,0.950381,0.9719096,0.9610812
0.114,37.538876,0.26740497,0.4000000059604645,0.0027522764,1.394772,0.9294702,0.950459,0.9719723,0.9611531
0.116,37.638508,0.2699703,0.4000000059604645,0.0027826987,1.3940957,0.92959505,0.95053345,0.9720324,0.96122193
0.118,37.739227,0.2725296,0.4000000059604645,0.0028125192,1.3934269,0.92971474,0.9506045,0.9720901,0.96128774
0.12,37.84101,0.27508315,0.4000000059604645,0.00284174,1.3927655,0.9298295,0.9506721,0.97214544,0.9613507
0.122,37.943832,0.27763113,0.4000000059604645,0.002870362,1.3921115,0.92993945,0.9507364,0.97219837,0.96141076
0.124,38.047676,0.28017375,0.4000000059604645,0.0028983867,1.3914651,0.93004465,0.95079756,0.97224903,0.96146804
0.126,38.15252,0.28271118,0.4000000059604645,0.0029258153,1.3908257,0.9301453,0.95085555,0.97229743,0.96152264
0.128,38.258335,0.28524354,0.4000000059604645,0.0029526493,1.3901937,0.9302416,0.9509105,0.9723437,0.9615746
0.13,38.36511,0.28777102,0.4000000059604645,0.0029788895,1.3895687,0.93033355,0.9509625,0.97238773,0.961624
0.132,38.472813,0.29029372,0.4000000059604645,0.0030045374,1.3889508,0.93042135,0.9510116,0.97242975,0.96167094
0.134,38.581432,0.29281172,0.4000000059604645,0.0030295942,1.38834,0.9305051,0.95105785,0.97246975,0.96171534
0.136,38.690945,0.29532516,0.4000000059604645,0.0030540607,1.3877361,0.9305849,0.95110136,0.9725078,0.9617574
0.138,38.801327,0.29783407,0.4000000059604645,0.0030779385,1.3871391,0.93066084,0.9511422,0.97254384,0.9617971
0.14,38.91256,0.30033854,0.4000000059604645,0.0031012283,1.3865488,0.9307331,0.9511804,0.972578,0.9618346
0.142,39.024612,0.3028386,0.4000000059604645,0.0031239314,1.3859652,0.9308017,0.95121604,0.97261035,0.96186984
0.144,39.137478,0.30533427,0.4000000059604645,0.0031460486,1.3853883,0.9308668,0.9512492,0.9726408,0.96190286
0.146,39.25113,0.3078256,0.4000000059604645,0.0031675815,1.384818,0.9309284,0.9512799,0.9726696,0.9619338
0.148,39.365547,0.31031257,0.4000000059604645,0.0031885307,1.3842541,0.93098676,0.9513082,0.9726966,0.96196264
0.15,39.480705,0.31279522,0.4000000059604645,0.0032088973,1.3836967,0.9310418,0.9513342,0.9727219,0.9619894
0.152,39.59659,0.3152735,0.4000000059604645,0.0032286826,1.3831456,0.9310937,0.9513579,0.97274554,0.96201426
0.154,39.71317,0.31774738,0.4000000059604645,0.0032478876,1.3826008,0.93114245,0.95137936,0.97276753,0.9620371
0.156,39.830433,0.3202169,0.4000000059604645,0.0032665133,1.3820623,0.9311883,0.9513987,0.972788,0.96205807
0.158,39.94836,0.3226819,0.4000000059604645,0.003284561,1.3815299,0.93123114,0.95141584,0.9728068,0.96207714
0.16,40.06692,0.3251424,0.4000000059604645,0.0033020314,1.3810036,0.93127114,0.9514309,0.97282416,0.9620944
0.162,40.186104,0.32759836,0.4000000059604645,0.0033189259,1.3804834,0.9313084,0.951444,0.97284,0.9621099
0.164,40.305885,0.33004966,0.4000000059604645,0.0033352457,1.379969,0.9313429,0.951455,0.9728543,0.96212363
0.166,40.426243,0.33249626,0.4000000059604645,0.0033509915,1.3794606,0.9313748,0.95146406,0.97286725,0.9621357
0.168,40.547157,0.33493802,0.4000000059604645,0.003366165,1.378958,0.93140405,0.95147127,0.97287875,0.962146
0.17,40.668606,0.3373749,0.4000000059604645,0.0033807673,1.3784611,0.9314309,0.9514766,0.9728889,0.9621547
0.172,40.790573,0.33980677,0.4000000059604645,0.0033947993,1.3779699,0.9314552,0.95148003,0.97289765,0.9621618
0.174,40.913033,0.34223354,0.4000000059604645,0.0034082625,1.3774843,0.9314771,0.9514817,0.97290504,0.9621672
0.176,41.03597,0.3446551,0.4000000059604645,0.003421158,1.3770043,0.93149674,0.9514816,0.9729112,0.96217114
0.178,41.159355,0.34707132,0.4000000059604645,0.0034334874,1.3765297,0.9315141,0.9514798,0.972916,0.9621736
0.18,41.283176,0.34948206,0.4000000059604645,0.0034452516,1.3760606,0.93152916,0.9514763,0.9729196,0.9621745
0.182,41.407413,0.3518872,0.4000000059604645,0.0034564522,1.3755969,0.9315421,0.95147115,0.9729219,0.96217394
0.184,41.53204,0.35428664,0.4000000059604645,0.0034670904,1.3751384,0.9315529,0.95146435,0.972923,0.962172
0.186,41.657043,0.35668018,0.4000000059604645,0.0034771678,1.3746853,0.93156165,0.951456,0.9729229,0.9621686
0.188,41.7824,0.35906774,0.4000000059604645,0.0034866857,1.3742372,0.9315684,0.95144606,0.97292167,0.9621638
0.19,41.908085,0.3614491,0.4000000059604645,0.0034956455,1.3737943,0.9315731,0.9514346,0.9729193,0.96215767
0.192,42.034084,0.36382416,0.4000000059604645,0.003504049,1.3733565,0.93157595,0.9514217,0.9729157,0.9621502
0.194,42.160378,0.36619273,0.4000000059604645,0.0035118975,1.3729236,0.93157685,0.9514073,0.9729111,0.96214145
0.196,42.28694,0.36855468,0.4000000059604645,0.0035191926,1.3724957,0.93157595,0.95139146,0.9729054,0.9621314
0.198,42.41376,0.37090984,0.4000000059604645,0.003525936,1.3720727,0.9315733,0.95137423,0.9728986,0.9621201
0.2,42.54081,0.373258,0.4000000059604645,0.0035321296,1.3716545,0.9315688,0.95135564,0.97289073,0.9621076
0.202,42.66807,0.37559903,0.4000000059604645,0.0035377746,1.3712411,0.9315626,0.95133567,0.97288185,0.9620939
0.204,42.795532,0.37793276,0.4000000059604645,0.0035428728,1.3708323,0.9315548,0.9513144,0.972872,0.962079
0.206,42.92316,0.38025898,0.4000000059604645,0.0035474265,1.3704283,0.9315453,0.95129186,0.9728611,0.9620629
0.208,43.05094,0.3825775,0.4000000059604645,0.003551437,1.3700289,0.93153423,0.951268,0.9728493,0.9620457
0.21,43.17886,0.38488823,0.4000000059604645,0.0035549062,1.369634,0.9315216,0.951243,0.9728365,0.9620274
0.212,43.306896,0.38719088,0.4000000059604645,0.0035578364,1.3692436,0.9315074,0.9512167,0.9728228,0.962008
0.214,43.435028,0.38948533,0.4000000059604645,0.0035602292,1.3688577,0.9314918,0.9511892,0.9728082,0.96198756
0.216,43.563232,0.39177138,0.4000000059604645,0.0035620867,1.3684762,0.9314747,0.9511606,0.9727926,0.96196604
0.218,43.691498,0.3940488,0.4000000059604645,0.003563411,1.368099,0.9314562,0.95113087,0.97277623,0.9619435
0.22,43.8198,0.39631748,0.4000000059604645,0.003564204,1.3677261,0.9314363,0.95110005,0.97275895,0.96191996
0.222,43.94812,0.39857715,0.4000000059604645,0.003564468,1.3673575,0.9314151,0.9510681,0.9727408,0.96189547
0.224,44.07644,0.40082768,0.4000000059604645,0.003564205,1.3669931,0.93139255,0.9510351,0.9727219,0.96187
0.226,44.204742,0.4030688,0.4000000059604645,0.0035634174,1.3666327,0.9313687,0.9510011,0.97270215,0.9618436
0.228,44.333008,0.4053004,0.4000000059604645,0.0035621074,1.3662765,0.9313436,0.95096606,0.97268164,0.9618163
0.23,44.461216,0.40752226,0.4000000059604645,0.0035602772,1.3659244,0.9313173,0.95093006,0.9726603,0.9617881
0.232,44.589348,0.40973413,0.4000000059604645,0.0035579293,1.3655761,0.93128985,0.9508931,0.97263825,0.96175903
0.234,44.717384,0.4119359,0.4000000059604645,0.003555066,1.365232,0.93126124,0.95085526,0.9726155,0.9617291
0.236,44.84531,0.4141273,0.4000000059604645,0.0035516894,1.3648918,0.9312315,0.95081645,0.97259194,0.9616984
0.238,44.973106,0.41630816,0.4000000059604645,0.0035478028,1.3645554,0.9312006,0.95077676,0.97256774,0.9616668
0.24,45.100754,0.4184783,0.4000000059604645,0.0035434081,1.3642228,0.93116874,0.9507362,0.9725428,0.9616345
0.242,45.228233,0.42063755,0.4000000059604645,0.0035385082,1.363894,0.93113583,0.95069486,0.97251725,0.9616014
0.244,45.355526,0.4227856,0.4000000059604645,0.0035331054,1.3635689,0.93110186,0.9506527,0.9724911,0.9615675
0.246,45.482616,0.42492238,0.4000000059604645,0.0035272026,1.3632475,0.931067,0.95060974,0.9724642,0.96153295
0.248,45.60948,0.42704764,0.4000000059604645,0.0035208024,1.3629297,0.93103117,0.95056605,0.9724368,0.9614977
0.25,45.736115,0.4291612,0.4000000059604645,0.0035139078,1.3626156,0.9309944,0.9505216,0.9724087,0.9614618
0.252,45.862488,0.43126282,0.4000000059604645,0.0035065212,1.362305,0.9309567,0.9504764,0.9723801,0.9614251
0.254,45.988583,0.43335232,0.4000000059604645,0.003498646,1.361998,0.9309183,0.9504306,0.9723509,0.9613879
0.256,46.114388,0.43542957,0.4000000059604645,0.0034902843,1.3616945,0.93087894,0.9503841,0.97232115,0.96135
0.258,46.239883,0.4374943,0.4000000059604645,0.00348144,1.3613943,0.9308388,0.95033693,0.9722909,0.9613116
0.26,46.36505,0.43954638,0.4000000059604645,0.0034721154,1.3610976,0.930798,0.9502892,0.9722601,0.96127254
0.262,46.48988,0.44158557,0.4000000059604645,0.0034623137,1.3608043,0.9307564,0.95024085,0.9722289,0.96123296
0.264,46.614338,0.44361168,0.4000000059604645,0.003452038,1.3605143,0.9307141,0.9501919,0.9721971,0.96119285
