Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,eSST4B.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,28.84595,0.524045,0.3999995291233063,0.0,1.3274746,0.8858448,0.8744825,0.91148406,0.8915044
0.002,28.845388,0.52403384,0.3999995291233063,-3.1009815e-05,1.3274748,0.88584507,0.8744824,0.9114837,0.89150417
0.002,28.845388,0.12937863,0.3999995291233063,-3.1009815e-05,1.3662304,0.9312477,0.95084083,0.9714457,0.9609717
0.004,28.845491,0.13307413,0.3999995291233063,3.6178364e-05,1.3663445,0.93165404,0.9511162,0.97165513,0.96121776
0.006,28.847994,0.13669677,0.3999995291233063,0.00010244534,1.3658744,0.9320393,0.9513776,0.97185445,0.96145153
0.008,28.852867,0.14025015,0.3999995291233063,0.00016780896,1.3649193,0.9324044,0.95162547,0.97204405,0.96167374
0.01,28.860077,0.14373769,0.3999995291233063,0.00023228618,1.3635606,0.9327503,0.9518606,0.9722245,0.9618848
0.012,28.86959,0.14716274,0.3999995291233063,0.00029589314,1.3618656,0.9330778,0.9520836,0.972396,0.96208525
0.014,28.88138,0.15052842,0.3999995291233063,0.00035864516,1.3598903,0.9333878,0.9522949,0.9725592,0.9622756
0.016,28.895416,0.15383776,0.3999995291233063,0.00042055675,1.3576808,0.93368113,0.9524951,0.9727145,0.96245635
0.018,28.911661,0.15709364,0.3999995291233063,0.00048164173,1.355275,0.9339586,0.9526848,0.97286206,0.96262795
0.02,28.930094,0.16029882,0.3999995291233063,0.0005419132,1.3527048,0.93422085,0.95286447,0.97300243,0.96279085
0.022,28.95068,0.16345593,0.3999995291233063,0.0006013835,1.3499964,0.9344687,0.9530345,0.9731359,0.9629454
0.024,28.973392,0.16656747,0.3999995291233063,0.0006600646,1.3471719,0.9347029,0.95319545,0.9732628,0.963092
0.026,28.998203,0.16963583,0.3999995291233063,0.0007179674,1.3442495,0.9349239,0.95334774,0.9733834,0.96323115
0.028,29.025087,0.1726633,0.3999995291233063,0.0007751027,1.3412445,0.93513256,0.9534918,0.97349817,0.9633632
0.03,29.054012,0.17565207,0.3999995291233063,0.0008314804,1.3381696,0.9353294,0.95362794,0.9736072,0.9634883
0.032,29.084953,0.17860422,0.3999995291233063,0.00088711013,1.3350358,0.935515,0.9537567,0.97371083,0.963607
0.034,29.117882,0.1815217,0.3999995291233063,0.00094200065,1.331852,0.9356899,0.9538783,0.9738094,0.9637195
0.036,29.152779,0.18440643,0.3999995291233063,0.0009961607,1.3286258,0.93585473,0.95399314,0.97390306,0.9638261
0.038,29.189606,0.1872602,0.3999995291233063,0.001049598,1.3253639,0.9360099,0.95410156,0.9739921,0.9639272
0.04,29.228348,0.19008471,0.3999995291233063,0.0011023205,1.3220718,0.936156,0.9542039,0.97407675,0.964023
0.042,29.268976,0.19288161,0.3999995291233063,0.0011543351,1.3187543,0.9362933,0.9543004,0.97415715,0.9641137
0.044,29.31146,0.19565246,0.3999995291233063,0.0012056486,1.3154154,0.93642247,0.9543914,0.9742336,0.9641996
0.046,29.355782,0.19839871,0.3999995291233063,0.0012562677,1.3120586,0.9365438,0.95447713,0.9743063,0.96428096
0.048,29.401913,0.20112178,0.3999995291233063,0.001306198,1.308687,0.9366577,0.9545579,0.9743753,0.964358
0.05,29.44983,0.20382302,0.3999995291233063,0.0013554455,1.3053031,0.93676466,0.9546339,0.9744409,0.96443087
0.052,29.499506,0.20650367,0.3999995291233063,0.0014040155,1.3019096,0.9368649,0.95470536,0.9745032,0.96449983
0.054,29.550917,0.20916495,0.3999995291233063,0.0014519129,1.2985082,0.93695885,0.9547726,0.9745624,0.96456504
0.056,29.604042,0.21180801,0.3999995291233063,0.0014991426,1.2951008,0.9370468,0.95483565,0.9746187,0.9646267
0.058,29.658854,0.21443394,0.3999995291233063,0.0015457092,1.291689,0.93712914,0.9548949,0.9746721,0.96468496
0.06,29.715332,0.21704376,0.3999995291233063,0.0015916167,1.2882743,0.9372061,0.95495045,0.97472286,0.96474004
