Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,eXST1.EFD,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.4037,0.48036215,0.4000000059604645,0.0,1.4314197,0.8599103,0.8565387,0.898289,0.87573403
0.002,34.403362,0.48035568,0.4000000059604645,-1.8775323e-05,1.4314197,0.8599104,0.8565386,0.8982888,0.87573385
0.002,34.403362,0.09123416,0.4000000059604645,-1.8775323e-05,1.4314197,0.90621644,0.9356049,0.96102047,0.9481017
0.004,34.403984,0.09572318,0.4000000059604645,5.2834206e-05,1.4306788,0.90711385,0.93618995,0.9614455,0.94861174
0.006,34.407166,0.10011487,0.4000000059604645,0.00012339988,1.4286495,0.907984,0.93675643,0.96185696,0.9491055
0.008,34.41287,0.10441338,0.4000000059604645,0.00019294405,1.4254991,0.90882754,0.9373047,0.9622552,0.94958335
0.01,34.42106,0.108622745,0.4000000059604645,0.00026148808,1.4213767,0.9096449,0.9378353,0.96264046,0.95004576
0.012,34.431698,0.112746805,0.4000000059604645,0.00032905245,1.4164156,0.91043675,0.93834853,0.96301323,0.9504931
0.014,34.44475,0.11678927,0.4000000059604645,0.00039565674,1.410734,0.9112036,0.938845,0.9633738,0.95092577
0.016,34.460186,0.12075368,0.4000000059604645,0.00046131967,1.404438,0.911946,0.93932503,0.96372247,0.95134425
0.018,34.477966,0.12464347,0.4000000059604645,0.0005260592,1.3976212,0.9126645,0.9397891,0.96405965,0.9517488
0.02,34.49806,0.1284619,0.4000000059604645,0.0005898924,1.390367,0.91335964,0.9402377,0.9643857,0.9521399
0.022,34.52044,0.1322121,0.4000000059604645,0.00065283565,1.3827494,0.91403204,0.94067115,0.9647008,0.95251787
0.024,34.545067,0.13589713,0.4000000059604645,0.0007149047,1.3748342,0.9146822,0.94108987,0.9650054,0.9528831
0.026,34.57191,0.13951986,0.4000000059604645,0.0007761144,1.3666791,0.91531074,0.9414943,0.9652997,0.95323604
0.028,34.60095,0.14308308,0.4000000059604645,0.0008364791,1.3583356,0.91591805,0.9418848,0.9655841,0.95357686
0.03,34.63214,0.14658944,0.4000000059604645,0.0008960125,1.3498489,0.91650486,0.9422619,0.9658588,0.95390606
0.032,34.66546,0.15004154,0.4000000059604645,0.0009547277,1.3412588,0.9170716,0.9426257,0.9661241,0.9542238
0.034,34.70088,0.15344177,0.4000000059604645,0.001012637,1.3326002,0.9176187,0.9429768,0.96638036,0.9545306
0.036,34.73837,0.15679254,0.4000000059604645,0.0010697525,1.3239038,0.91814685,0.94331545,0.9666277,0.9548267
0.038,34.7779,0.16009608,0.4000000059604645,0.0011260854,1.3151963,0.91865647,0.9436421,0.96686655,0.95511234
0.04,34.819447,0.16335455,0.4000000059604645,0.0011816466,1.3065012,0.9191481,0.9439569,0.967097,0.95538795
0.042,34.86298,0.16657002,0.4000000059604645,0.0012364466,1.2978384,0.9196221,0.9442604,0.96731937,0.9556537
0.044,34.908474,0.16974449,0.4000000059604645,0.001290495,1.2892258,0.9200792,0.94455284,0.96753395,0.95590997
0.046,34.955894,0.17287983,0.4000000059604645,0.0013438015,1.2806783,0.9205196,0.94483453,0.96774083,0.95615697
0.048,35.005226,0.17597789,0.4000000059604645,0.0013963749,1.2722087,0.92094386,0.94510573,0.9679404,0.956395
0.05,35.056435,0.17904037,0.4000000059604645,0.0014482238,1.2638282,0.9213525,0.94536686,0.96813273,0.95662427
0.052,35.109497,0.18206899,0.4000000059604645,0.0014993566,1.2555459,0.9217459,0.9456181,0.96831816,0.95684516
0.054,35.16439,0.18506528,0.4000000059604645,0.0015497807,1.2473694,0.9221245,0.9458598,0.96849686,0.95705783
0.056,35.221085,0.18803081,0.4000000059604645,0.0015995039,1.2393055,0.9224887,0.9460922,0.96866894,0.9572625
0.058,35.279552,0.19096702,0.4000000059604645,0.001648533,1.231359,0.9228389,0.9463156,0.9688347,0.95745945
0.06,35.339775,0.19387531,0.4000000059604645,0.0016968751,1.2235345,0.9231755,0.9465302,0.96899426,0.9576489
0.062,35.40173,0.19675699,0.4000000059604645,0.0017445362,1.2158347,0.923499,0.94673634,0.96914786,0.957831
0.064,35.46538,0.19961333,0.4000000059604645,0.0017915227,1.2082626,0.92380965,0.9469342,0.9692957,0.9580061
0.066,35.530716,0.20244557,0.4000000059604645,0.0018378404,1.2008196,0.92410785,0.94712406,0.9694378,0.9581743
0.068,35.597706,0.20525484,0.4000000059604645,0.0018834949,1.193507,0.92439395,0.94730616,0.96957445,0.95833576
0.07,35.66633,0.20804223,0.4000000059604645,0.0019284913,1.1863251,0.9246684,0.9474806,0.96970576,0.9584908
0.072,35.736557,0.21080883,0.4000000059604645,0.0019728348,1.1792741,0.92493135,0.9476478,0.96983194,0.95863956
0.074,35.808372,0.2135556,0.4000000059604645,0.0020165301,1.1723537,0.9251833,0.94780785,0.96995306,0.9587822
0.076,35.881752,0.21628353,0.4000000059604645,0.0020595822,1.1655635,0.92542446,0.9479609,0.97006935,0.95891887
0.078,35.956665,0.21899348,0.4000000059604645,0.0021019948,1.158902,0.92565525,0.9481073,0.9701809,0.9590498
0.08,36.033092,0.22168636,0.4000000059604645,0.0021437723,1.1523683,0.9258759,0.94824713,0.97028786,0.95917517
0.082,36.111015,0.22436295,0.4000000059604645,0.0021849188,1.1459609,0.9260867,0.9483806,0.9703904,0.95929503
0.084,36.190407,0.22702405,0.4000000059604645,0.0022254381,1.1396782,0.92628795,0.94850785,0.9704885,0.95940965
0.086,36.271244,0.22967039,0.4000000059604645,0.0022653337,1.1335183,0.92648,0.94862914,0.9705824,0.9595191
0.088,36.35351,0.23230268,0.4000000059604645,0.002304609,1.1274794,0.926663,0.94874465,0.97067225,0.9596236
0.09,36.43718,0.23492156,0.4000000059604645,0.002343267,1.1215595,0.92683727,0.94885445,0.97075814,0.9597232
