Time,cSVGN1.Q,GEN1.V,LOAD.V,GEN2.V,SHUNT.V,FAULT.V
0.0,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.02,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.04,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.06,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.08,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.1,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.12,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.14,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.16,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.18,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.2,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.22,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.24,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.26,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.28,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.3,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.32,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.34,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.36,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.38,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.4,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.42,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.44,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.46,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.48,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.5,0.06009897,1.0,0.99401516,1.0,1.0,0.99699503
0.5,0.05287783,0.9537085,0.92360824,0.9481193,0.938001,0.93518233
0.52,0.05335217,0.96113396,0.9278765,0.94991094,0.94090617,0.938071
0.54,0.053500675,0.9613847,0.92753935,0.9489326,0.940156,0.9373107
0.56,0.05354012,0.958535,0.92526954,0.9468217,0.9378916,0.9350373
0.58,0.053578082,0.95480305,0.92245066,0.944409,0.9352108,0.93234634
0.6,0.053650554,0.9510744,0.9196145,0.94200057,0.9325271,0.9296505
0.62,0.053760078,0.9475673,0.9168809,0.9396537,0.92992604,0.9270355
0.64,0.05389943,0.9442735,0.9142344,0.93734837,0.9273883,0.9244823
0.66,0.054060932,0.9411393,0.91163576,0.9350545,0.9248783,0.9219557
0.68,0.054237958,0.9380988,0.9090427,0.9327443,0.9223609,0.9194207
0.7,0.054425947,0.93509716,0.9064241,0.9304006,0.91981214,0.9168536
0.72,0.054622862,0.9321052,0.90376806,0.9280204,0.9172251,0.91424745
0.74,0.054828517,0.9291136,0.9010773,0.92561114,0.9146057,0.9116083
0.76,0.05504407,0.92612714,0.898365,0.9231882,0.91196907,0.9089512
0.78,0.055271413,0.9231582,0.895651,0.9207714,0.90933603,0.9062969
0.8,0.05551349,0.92023045,0.89296263,0.9183861,0.906734,0.9036728
0.82,0.055773735,0.9173742,0.8903321,0.91606027,0.90419406,0.9011099
0.84,0.056056384,0.91462725,0.8877965,0.9138254,0.9017517,0.8986435
0.86,0.05636459,0.9120189,0.88538617,0.9117073,0.8994359,0.8963025
0.88,0.056701146,0.90957606,0.88312876,0.9097291,0.89727277,0.8941131
0.9,0.057069298,0.90733045,0.8810543,0.90791523,0.8952904,0.8921032
0.92,0.057470467,0.90529555,0.8791793,0.90628,0.8935047,0.89028865
0.94,0.057906855,0.90349644,0.8775263,0.9048409,0.8919362,0.88869005
0.96,0.05837892,0.9019353,0.87610257,0.90360504,0.89059246,0.8873149
0.98,0.058887508,0.9006253,0.8749202,0.9025816,0.8894842,0.886174
1.0,0.059432633,0.8995675,0.87398285,0.9017738,0.88861525,0.8852712
1.02,0.060014002,0.8987614,0.87329197,0.9011832,0.88798696,0.88460773
1.04,0.06063111,0.8982075,0.8728484,0.90080976,0.8875997,0.88418424
1.06,0.06128301,0.8978989,0.8726472,0.90064996,0.88744915,0.88399637
1.08,0.061968654,0.89783126,0.8726845,0.90070003,0.8875312,0.8840401
1.1,0.0626867,0.89799744,0.8729531,0.90095377,0.887839,0.8843087
1.12,0.063435614,0.8983887,0.87344444,0.9014039,0.8883642,0.8847938
1.14,0.064213745,0.89899695,0.8741495,0.9020423,0.88909787,0.88548666
1.16,0.065019265,0.8998133,0.875058,0.9028599,0.8900298,0.88637716
1.18,0.06585015,0.9008276,0.8761582,0.90384626,0.89114857,0.88745385
1.2,0.06670436,0.902031,0.87743884,0.90499115,0.8924428,0.8887057
1.22,0.06757952,0.9034118,0.87888634,0.90628254,0.8938992,0.8901192
1.24,0.06847323,0.90495896,0.88048726,0.9077083,0.89550436,0.8916812
1.26,0.069382735,0.90665865,0.8822259,0.90925467,0.8972429,0.89337647
1.28,0.07030524,0.90849686,0.8840864,0.9109076,0.8990993,0.8951895
1.3,0.07123769,0.9104576,0.88605136,0.9126519,0.9010565,0.89710355
1.32,0.072176695,0.9125217,0.88810134,0.9144708,0.9030959,0.8990998
1.34,0.07311859,0.91466737,0.8902151,0.91634625,0.90519696,0.90115815
1.36,0.074059434,0.91687006,0.8923698,0.918259,0.90733796,0.90325683
1.38,0.07499531,0.9191074,0.8945437,0.9201904,0.90949804,0.9053751
1.4,0.075921655,0.9213481,0.8967101,0.92211825,0.91165197,0.907488
1.42,0.07683382,0.9235603,0.89884174,0.9240203,0.91377425,0.90957004
1.44,0.07772694,0.9257095,0.9009104,0.9258732,0.9158383,0.9115948
1.46,0.078598335,0.9277832,0.9029026,0.92766416,0.9178304,0.9135487
1.48,0.07944334,0.9297462,0.90479064,0.9293704,0.9197247,0.91540587
1.5,0.08025833,0.9315726,0.9065535,0.930974,0.92150104,0.9171463
1.52,0.08104027,0.93324035,0.9081734,0.9324593,0.92314214,0.9187528
1.54,0.081786245,0.93472826,0.90963405,0.9338122,0.9246324,0.92020977
1.56,0.08249457,0.9360239,0.9109254,0.93502283,0.92596126,0.9215067
1.58,0.08316462,0.93712187,0.91204256,0.93608505,0.927123,0.9226379
1.6,0.08379667,0.9380239,0.91298574,0.9369966,0.92811626,0.9236019
1.62,0.08438801,0.93870413,0.913739,0.9377452,0.92892677,0.92438453
1.64,0.08494128,0.9391828,0.9143153,0.9383378,0.92956424,0.92499536
1.66,0.08545866,0.9394752,0.9147248,0.93878,0.9300366,0.9254422
1.68,0.08594211,0.9395934,0.9149764,0.9390768,0.93035066,0.9257319
1.7,0.08639022,0.9395184,0.915059,0.93922055,0.93049717,0.925855
1.72,0.0868072,0.93928236,0.9149939,0.9392254,0.9304939,0.9258293
1.74,0.08719575,0.9389033,0.9147934,0.93909985,0.9303514,0.9256652
1.76,0.08755732,0.93838745,0.914462,0.9388474,0.93007386,0.9253668
1.78,0.08789258,0.9377332,0.913999,0.9384683,0.9296611,0.92493397
1.8,0.088203914,0.9369558,0.91341496,0.937971,0.9291229,0.9243763
1.82,0.08849267,0.93606013,0.9127137,0.93736017,0.928464,0.9236984
1.84,0.08876088,0.9350571,0.911902,0.9366412,0.9276905,0.9229065
1.86,0.08900986,0.93395007,0.91098285,0.93581843,0.92680645,0.9220045
1.88,0.089240424,0.93273705,0.90995693,0.93489534,0.9258144,0.9209948
1.9,0.08945338,0.9314141,0.90882415,0.9338753,0.92471653,0.91987973
