Time,gENROU.delta,gENROU.PELEC,gENROU.PMECH,gENROU.SPEED,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.334236,0.48512006,0.4000000059604645,0.0,0.86670536,0.86106366,0.90147173,0.8796185
0.002,34.333878,0.48511314,0.4000000059604645,-1.9886937e-05,0.8667055,0.86106354,0.90147144,0.8796183
0.002,34.333878,0.09372639,0.4000000059604645,-1.9886937e-05,0.9126274,0.93943137,0.96358615,0.9513005
0.004,34.334454,0.09820334,0.4000000059604645,5.1141877e-05,0.91351396,0.9400092,0.96400595,0.95180416
0.006,34.337563,0.1025837,0.4000000059604645,0.000121129626,0.9143737,0.94056857,0.96441233,0.9522918
0.008,34.343174,0.10687176,0.4000000059604645,0.00019009846,0.91520715,0.9411101,0.96480566,0.9527638
0.01,34.351254,0.11107164,0.4000000059604645,0.00025806957,0.9160151,0.94163424,0.96518636,0.9532206
0.012,34.361755,0.1151873,0.4000000059604645,0.00032506316,0.916798,0.9421415,0.9655548,0.9536627
0.014,34.374657,0.11922254,0.4000000059604645,0.00039109855,0.9175565,0.9426323,0.96591127,0.95409054
0.016,34.389915,0.123180985,0.4000000059604645,0.0004561942,0.91829133,0.9431072,0.9662563,0.9545045
0.018,34.4075,0.12706615,0.4000000059604645,0.0005203677,0.919003,0.9435666,0.9665901,0.954905
0.02,34.42738,0.13088138,0.4000000059604645,0.0005836359,0.9196921,0.94401103,0.9669131,0.95529246
0.022,34.449524,0.13462989,0.4000000059604645,0.00064601476,0.92035925,0.9444409,0.9672256,0.95566726
0.024,34.473896,0.13831475,0.4000000059604645,0.00070751965,0.92100513,0.9448565,0.9675279,0.95602983
0.026,34.500465,0.14193894,0.4000000059604645,0.0007681651,0.9216302,0.9452585,0.96782035,0.9563805
0.028,34.5292,0.14550528,0.4000000059604645,0.00082796515,0.9222351,0.9456471,0.9681033,0.95671964
0.03,34.560078,0.14901647,0.4000000059604645,0.000886933,0.9228204,0.94602287,0.968377,0.9570476
0.032,34.59306,0.15247513,0.4000000059604645,0.0009450813,0.92338663,0.94638604,0.9686417,0.95736474
0.034,34.628124,0.15588374,0.4000000059604645,0.0010024221,0.92393434,0.9467371,0.96889776,0.9576714
