Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,tGOV1.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.4037,0.48036215,0.4,0.0,0.4,0.8599103,0.8565387,0.898289,0.87573403
0.002,34.403362,0.48035568,0.4000004,-1.8775323e-05,0.4000004,0.8599104,0.8565386,0.8982888,0.87573385
0.002,34.403362,0.09123416,0.4000004,-1.8775323e-05,0.4000004,0.90621644,0.9356049,0.96102047,0.9481017
0.004,34.403984,0.09572318,0.39999968,5.2834388e-05,0.39999968,0.90711385,0.93618995,0.9614455,0.94861174
0.006,34.407166,0.100115016,0.39999598,0.00012339972,0.39999598,0.9079841,0.9367565,0.961857,0.94910556
0.008,34.41287,0.10441398,0.39998943,0.00019294227,0.39998943,0.9088279,0.9373049,0.9622553,0.94958353
0.01,34.42106,0.108624205,0.39998,0.0002614827,0.39998,0.9096458,0.9378358,0.9626408,0.95004624
0.012,34.431698,0.11274967,0.3999678,0.00032904066,0.3999678,0.9104385,0.93834955,0.96301395,0.950494
0.014,34.44475,0.11679419,0.39995286,0.00039563497,0.39995286,0.91120654,0.93884677,0.96337503,0.9509273
0.016,34.460182,0.12076142,0.39993525,0.00046128355,0.39993525,0.91195065,0.93932784,0.96372443,0.95134664
0.018,34.477962,0.12465486,0.39991498,0.00052600354,0.39991498,0.9126714,0.9397933,0.9640626,0.95175236
0.02,34.49806,0.12847787,0.39989215,0.00058981124,0.39989215,0.91336936,0.9402436,0.96438974,0.95214486
0.022,34.520428,0.1322337,0.39986676,0.0006527222,0.39986676,0.91404516,0.9406791,0.96470624,0.95252466
0.024,34.54505,0.13592541,0.3998389,0.00071475125,0.3998389,0.91469944,0.94110036,0.96501255,0.952892
0.026,34.57189,0.13955599,0.3998086,0.00077591254,0.3998086,0.9153328,0.9415077,0.96530885,0.9532473
