Time,gENSAL.delta,gENSAL.PELEC,gENSAL.PMECH,gENSAL.SPEED,hYGOV.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,20.326748,0.40005195,0.3999995,0.0,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
1e-10,20.326748,0.40005195,0.3999995,-5.9471835e-16,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
1e-10,20.326748,0.40005195,0.3999995,-5.9471835e-16,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.002,20.326748,0.40005195,0.3999995,-1.1893243e-08,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.004,20.326748,0.40005192,0.3999995,-2.3782391e-08,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.006,20.326746,0.40005192,0.3999995,-3.5664023e-08,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.008,20.326744,0.40005186,0.3999995,-4.7537892e-08,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.01,20.326742,0.40005183,0.3999995,-5.9396456e-08,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.012,20.32674,0.40005177,0.3999995,-7.1241104e-08,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.014,20.326736,0.4000517,0.3999995,-8.307236e-08,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.016,20.326735,0.40005165,0.3999995,-9.489022e-08,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.018,20.32673,0.40005156,0.3999995,-1.06674676e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.02,20.326727,0.40005147,0.3999995,-1.184319e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.022,20.326721,0.4000514,0.3999995,-1.3016563e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.024,20.32672,0.4000513,0.3999995,-1.4187589e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.026,20.326712,0.40005118,0.3999995,-1.5356267e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.028,20.326706,0.4000511,0.3999995,-1.6522597e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.03,20.3267,0.40005094,0.3999995,-1.768658e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.032,20.326694,0.40005082,0.3999995,-1.8848213e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.034,20.326687,0.40005067,0.3999995,-2.0002837e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.036,20.32668,0.40005055,0.3999995,-2.115083e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.038,20.326672,0.4000504,0.3999995,-2.2294758e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.04,20.326664,0.40005025,0.3999995,-2.3434622e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.042,20.326654,0.40005007,0.3999995,-2.4570423e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.044,20.326647,0.40004992,0.3999995,-2.5702158e-07,0.3999995,0.9999957,0.9919906,0.99999815,0.9959818
0.046,20.326637,0.40004975,0.3999995,-2.6829832e-07,0.3999995,0.9999957,0.9919906,0.99999815,0.9959818
0.048,20.326628,0.40004957,0.3999995,-2.7953442e-07,0.3999995,0.9999957,0.9919906,0.99999815,0.9959818
0.05,20.326618,0.40004936,0.3999995,-2.9072984e-07,0.3999995,0.9999957,0.9919906,0.99999815,0.9959818
0.052,20.326605,0.40004918,0.3999995,-3.0188465e-07,0.3999995,0.9999957,0.9919906,0.99999815,0.9959818
0.054,20.326595,0.40004897,0.3999995,-3.1299882e-07,0.3999995,0.9999957,0.9919906,0.99999815,0.9959818
0.056,20.326584,0.40004876,0.3999995,-3.2407235e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959818
0.058,20.326572,0.40004855,0.3999995,-3.3510526e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959818
0.06,20.32656,0.40004832,0.3999995,-3.460975e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959818
0.062,20.326548,0.4000481,0.3999995,-3.5704912e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959818
0.064,20.326534,0.40004787,0.3999995,-3.6796007e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959818
0.066,20.32652,0.40004763,0.3999995,-3.787781e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959818
0.068,20.326508,0.4000474,0.39999947,-3.8936668e-07,0.39999947,0.9999957,0.9919907,0.99999815,0.9959818
0.07,20.326494,0.40004715,0.39999947,-3.998876e-07,0.39999947,0.9999957,0.9919907,0.99999815,0.9959818
0.072,20.326479,0.4000469,0.39999947,-4.1034085e-07,0.39999947,0.9999957,0.9919907,0.99999815,0.9959819
0.074,20.326466,0.40004665,0.39999947,-4.2072645e-07,0.39999947,0.9999957,0.9919907,0.99999815,0.9959819
0.076,20.32645,0.4000464,0.39999947,-4.310444e-07,0.39999947,0.9999957,0.9919907,0.99999815,0.9959819
0.078,20.326437,0.40004614,0.39999947,-4.412947e-07,0.39999947,0.9999957,0.9919907,0.99999815,0.9959819
0.08,20.326422,0.40004587,0.39999947,-4.5147735e-07,0.39999947,0.9999957,0.9919907,0.99999815,0.9959819
0.082,20.326405,0.4000456,0.39999947,-4.6159232e-07,0.39999947,0.9999957,0.9919907,0.99999815,0.9959819
0.084,20.32639,0.4000453,0.39999947,-4.7163965e-07,0.39999947,0.9999957,0.9919907,0.99999815,0.9959819
0.086,20.326372,0.40004504,0.39999947,-4.8161934e-07,0.39999947,0.9999957,0.9919907,0.9999982,0.9959819
0.088,20.326355,0.40004474,0.39999947,-4.9153135e-07,0.39999947,0.9999957,0.9919907,0.9999982,0.9959819
0.09,20.326338,0.40004444,0.39999944,-5.013757e-07,0.39999944,0.9999957,0.9919907,0.9999982,0.9959819
0.092,20.32632,0.40004414,0.39999944,-5.111524e-07,0.39999944,0.99999577,0.9919907,0.9999982,0.9959819
0.094,20.326303,0.40004385,0.39999944,-5.208614e-07,0.39999944,0.99999577,0.99199075,0.9999982,0.9959819
0.096,20.326284,0.40004355,0.39999944,-5.3050286e-07,0.39999944,0.99999577,0.99199075,0.9999982,0.9959819
0.098,20.326265,0.40004322,0.39999944,-5.400766e-07,0.39999944,0.99999577,0.99199075,0.9999982,0.9959819
0.1,20.326246,0.40004292,0.39999944,-5.4958264e-07,0.39999944,0.99999577,0.99199075,0.9999982,0.9959819
0.102,20.32623,0.4000426,0.39999944,-5.590211e-07,0.39999944,0.99999577,0.99199075,0.9999982,0.9959819
0.104,20.326208,0.40004227,0.3999994,-5.6839184e-07,0.3999994,0.99999577,0.99199075,0.9999982,0.9959819
0.106,20.326187,0.4000419,0.3999994,-5.7769495e-07,0.3999994,0.99999577,0.99199075,0.9999982,0.9959819
0.108,20.326166,0.40004158,0.3999994,-5.869304e-07,0.3999994,0.99999577,0.99199075,0.9999982,0.9959819
0.11,20.326147,0.40004122,0.3999994,-5.9609823e-07,0.3999994,0.99999577,0.99199075,0.9999982,0.9959819
0.112,20.326126,0.40004086,0.3999994,-6.0519835e-07,0.3999994,0.99999577,0.99199075,0.9999982,0.9959819
0.114,20.326103,0.4000405,0.3999994,-6.142309e-07,0.3999994,0.99999577,0.99199075,0.9999982,0.9959819
0.116,20.326082,0.40004015,0.3999994,-6.231957e-07,0.3999994,0.99999577,0.99199075,0.9999982,0.99598193
0.118,20.326061,0.4000398,0.39999938,-6.320929e-07,0.39999938,0.99999577,0.99199075,0.9999982,0.99598193
0.12,20.326038,0.4000394,0.39999938,-6.409224e-07,0.39999938,0.99999577,0.99199075,0.9999982,0.99598193
0.122,20.326015,0.40003905,0.39999938,-6.496843e-07,0.39999938,0.99999577,0.99199075,0.9999982,0.99598193
0.124,20.325993,0.40003866,0.39999938,-6.583785e-07,0.39999938,0.99999577,0.9919908,0.9999982,0.99598193
0.126,20.325968,0.40003827,0.39999938,-6.6700505e-07,0.39999938,0.99999577,0.9919908,0.9999982,0.99598193
0.128,20.325945,0.40003788,0.39999938,-6.7556397e-07,0.39999938,0.99999577,0.9919908,0.9999982,0.99598193
0.13,20.32592,0.40003747,0.39999935,-6.840552e-07,0.39999935,0.99999577,0.9919908,0.9999982,0.99598193
0.132,20.325897,0.40003708,0.39999935,-6.922612e-07,0.39999935,0.99999577,0.9919908,0.9999982,0.99598193
0.134,20.325874,0.40003672,0.39999935,-7.0012857e-07,0.39999935,0.9999958,0.9919908,0.9999982,0.99598193
0.136,20.325853,0.40003636,0.39999935,-7.079001e-07,0.39999935,0.9999958,0.9919908,0.9999982,0.99598193
0.138,20.32583,0.40003598,0.39999935,-7.155758e-07,0.39999935,0.9999958,0.9919908,0.9999982,0.99598193
0.14,20.325806,0.40003562,0.39999935,-7.231557e-07,0.39999935,0.9999958,0.9919908,0.9999982,0.99598193
0.142,20.325785,0.40003523,0.39999932,-7.306398e-07,0.39999932,0.9999958,0.9919908,0.9999982,0.99598193
0.144,20.32576,0.40003487,0.39999932,-7.3802806e-07,0.39999932,0.9999958,0.9919908,0.9999983,0.99598193
0.146,20.325739,0.4000345,0.39999932,-7.453205e-07,0.39999932,0.9999958,0.9919908,0.9999983,0.99598193
0.148,20.325714,0.4000341,0.39999932,-7.5251717e-07,0.39999932,0.9999958,0.9919908,0.9999983,0.99598193
0.15,20.325691,0.4000337,0.39999932,-7.59618e-07,0.39999932,0.9999958,0.9919908,0.9999983,0.99598193
0.152,20.325666,0.40003332,0.39999932,-7.66623e-07,0.39999932,0.9999958,0.99199086,0.9999983,0.99598193
0.154,20.325642,0.40003294,0.39999932,-7.735322e-07,0.39999932,0.9999958,0.99199086,0.9999983,0.995982
0.156,20.325617,0.40003255,0.3999993,-7.8034554e-07,0.3999993,0.9999958,0.99199086,0.9999983,0.995982
0.158,20.325594,0.40003216,0.3999993,-7.870631e-07,0.3999993,0.9999958,0.99199086,0.9999983,0.995982
0.16,20.325567,0.40003175,0.3999993,-7.936848e-07,0.3999993,0.9999958,0.99199086,0.9999983,0.995982
0.162,20.325544,0.40003136,0.3999993,-8.002107e-07,0.3999993,0.9999958,0.99199086,0.9999983,0.995982
0.164,20.325518,0.40003094,0.3999993,-8.066408e-07,0.3999993,0.9999958,0.99199086,0.9999983,0.995982
0.166,20.325493,0.40003052,0.3999993,-8.129751e-07,0.3999993,0.9999958,0.99199086,0.9999983,0.995982
0.168,20.325466,0.40003014,0.39999926,-8.1921354e-07,0.39999926,0.9999958,0.99199086,0.9999983,0.995982
0.17,20.325441,0.40002972,0.39999926,-8.253562e-07,0.39999926,0.9999958,0.99199086,0.9999983,0.995982
0.172,20.325415,0.4000293,0.39999926,-8.3140304e-07,0.39999926,0.9999959,0.99199086,0.9999983,0.995982
0.174,20.32539,0.40002888,0.39999926,-8.3735404e-07,0.39999926,0.9999959,0.99199086,0.9999983,0.995982
0.176,20.325363,0.40002847,0.39999926,-8.4320925e-07,0.39999926,0.9999959,0.99199086,0.9999983,0.995982
0.178,20.325336,0.40002805,0.39999926,-8.489686e-07,0.39999926,0.9999959,0.9919909,0.9999983,0.995982
0.18,20.32531,0.4000276,0.39999923,-8.5463216e-07,0.39999923,0.9999959,0.9919909,0.9999983,0.995982
0.182,20.325283,0.4000272,0.39999923,-8.601999e-07,0.39999923,0.9999959,0.9919909,0.9999983,0.995982
0.184,20.325254,0.40002677,0.39999923,-8.6567184e-07,0.39999923,0.9999959,0.9919909,0.9999983,0.995982
0.186,20.325228,0.40002632,0.39999923,-8.710479e-07,0.39999923,0.9999959,0.9919909,0.9999983,0.995982
0.188,20.325201,0.4000259,0.39999923,-8.763282e-07,0.39999923,0.9999959,0.9919909,0.9999983,0.99598205
0.19,20.325172,0.40002546,0.39999923,-8.815127e-07,0.39999923,0.9999959,0.9919909,0.9999983,0.99598205
0.192,20.325146,0.400025,0.39999923,-8.8660136e-07,0.39999923,0.9999959,0.9919909,0.99999833,0.99598205
0.194,20.325117,0.40002456,0.3999992,-8.915942e-07,0.3999992,0.9999959,0.9919909,0.99999833,0.99598205
