Time,gENSAL.delta,gENSAL.PELEC,gENSAL.SPEED,iEESGO.PMECH,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,20.326748,0.40005195,0.0,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
1e-10,20.326748,0.40005195,-5.9471835e-16,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.002,20.326748,0.40005195,-1.1893354e-08,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.004,20.326748,0.40005192,-2.3782833e-08,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.006,20.326746,0.40005192,-3.5665003e-08,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.008,20.326744,0.40005186,-4.7539626e-08,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.01,20.326742,0.40005183,-5.93991e-08,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.012,20.32674,0.40005177,-7.124482e-08,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.014,20.326736,0.4000517,-8.307733e-08,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.016,20.326735,0.40005165,-9.489662e-08,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.018,20.32673,0.40005156,-1.0668244e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.02,20.326727,0.40005147,-1.1844103e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.022,20.326721,0.4000514,-1.301762e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.024,20.32672,0.4000513,-1.4188794e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.026,20.326712,0.40005118,-1.5357625e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.028,20.326706,0.4000511,-1.6524115e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.03,20.3267,0.40005094,-1.7688262e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.032,20.326694,0.40005082,-1.8850066e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.034,20.326687,0.40005067,-2.0004782e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.036,20.32668,0.40005055,-2.1152796e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.038,20.326672,0.4000504,-2.229672e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.04,20.326664,0.40005025,-2.3436554e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.042,20.326654,0.40005007,-2.4572302e-07,0.3999995,0.99999565,0.9919906,0.99999815,0.9959818
0.044,20.326647,0.40004992,-2.5703957e-07,0.3999995,0.9999957,0.9919906,0.99999815,0.9959818
0.046,20.326637,0.40004975,-2.6831526e-07,0.3999995,0.9999957,0.9919906,0.99999815,0.9959818
0.048,20.326628,0.40004957,-2.7955002e-07,0.3999995,0.9999957,0.9919906,0.99999815,0.9959818
0.05,20.326618,0.40004936,-2.907439e-07,0.3999995,0.9999957,0.9919906,0.99999815,0.9959818
0.052,20.326605,0.40004918,-3.018969e-07,0.3999995,0.9999957,0.9919906,0.99999815,0.9959818
0.054,20.326595,0.40004897,-3.1300902e-07,0.3999995,0.9999957,0.9919906,0.99999815,0.9959818
0.056,20.326584,0.40004876,-3.2408025e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959818
0.058,20.326572,0.40004855,-3.3511054e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959818
0.06,20.32656,0.40004832,-3.461e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959818
0.062,20.326548,0.4000481,-3.5704852e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959818
0.064,20.326534,0.40004787,-3.6795615e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959818
0.066,20.32652,0.40004763,-3.7876964e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959818
0.068,20.326508,0.4000474,-3.893499e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959818
0.07,20.326494,0.40004715,-3.9986173e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959818
0.072,20.326479,0.4000469,-4.1030518e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959819
0.074,20.326466,0.40004665,-4.206802e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959819
0.076,20.32645,0.4000464,-4.3098683e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959819
0.078,20.326437,0.40004614,-4.4122504e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959819
0.08,20.326422,0.40004587,-4.513948e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959819
0.082,20.326405,0.4000456,-4.614962e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959819
0.084,20.32639,0.40004534,-4.7152918e-07,0.3999995,0.9999957,0.9919907,0.99999815,0.9959819
0.086,20.326372,0.40004504,-4.814937e-07,0.3999995,0.9999957,0.9919907,0.9999982,0.9959819
0.088,20.326355,0.40004474,-4.9138987e-07,0.3999995,0.9999957,0.9919907,0.9999982,0.9959819
