Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,pSS2A.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.40000002524778816,0.4,0.0,0.0,0.9999999913060579,0.991993537824914,0.9999999954927361,0.9959841726474759
1.0058283805847169e-10,34.40369990063831,0.4000000252477881,0.4,-2.9664577560821863e-19,1.1727364602899985e-21,0.9999999913060578,0.9919935378249138,0.999999995492736,0.9959841726474757
1.0058283805847169e-10,34.40369990063831,0.4000000252477881,0.4,-2.9664577560821863e-19,1.1836966141244843e-21,0.9999999913060578,0.9919935378249138,0.999999995492736,0.9959841726474757
0.002,34.40369990053213,0.4000000252451751,0.4,-5.898536550595432e-12,2.354097576705446e-14,0.9999999913061285,0.9919935378249731,0.9999999954927711,0.9959841726475223
0.004,34.40369990021364,0.40000002523737493,0.4,-1.1795304299315386e-11,1.8547112683265327e-13,0.9999999913063404,0.9919935378251504,0.9999999954928764,0.9959841726476615
0.006,34.403699899682906,0.4000000252244471,0.4,-1.76890985115093e-11,6.165092600195116e-13,0.9999999913066933,0.9919935378254449,0.9999999954930512,0.9959841726478929
0.008,34.40369989894007,0.4000000252064489,0.4,-2.3578728044976718e-11,1.4393649079009294e-12,0.9999999913071861,0.9919935378258561,0.9999999954932952,0.9959841726482158
0.01,34.4036998979853,0.40000002518343764,0.4,-2.946301544940317e-11,2.769055152397096e-12,0.9999999913078181,0.9919935378263829,0.9999999954936082,0.9959841726486298
0.012,34.40369989681881,0.40000002515546923,0.4,-3.534079658158661e-11,4.7132704000129804e-12,0.9999999913085891,0.9919935378270249,0.9999999954939895,0.9959841726491345
0.014,34.40369989544085,0.4000000251225995,0.4,-4.121092042602052e-11,7.372703566149203e-12,0.9999999913094981,0.9919935378277812,0.999999995494439,0.9959841726497289
0.016,34.40369989385172,0.4000000250848831,0.4,-4.7072248928446936e-11,1.0841347220784676e-11,0.9999999913105445,0.9919935378286511,0.999999995494956,0.9959841726504128
0.018,34.40369989205177,0.40000002504237425,0.4,-5.292365694830016e-11,1.5206793548211164e-11,0.9999999913117276,0.9919935378296336,0.9999999954955401,0.9959841726511853
0.02,34.40369989004135,0.40000002499512627,0.4,-5.876403197336909e-11,2.055051896334047e-11,0.9999999913130466,0.9919935378307281,0.999999995496191,0.9959841726520459
0.022,34.4036998878209,0.40000002494319264,0.4,-6.459227407656417e-11,2.69481535952372e-11,0.9999999913145008,0.9919935378319338,0.9999999954969081,0.9959841726529942
0.024,34.403699885390864,0.40000002488662567,0.4,-7.040729575379381e-11,3.446973673960086e-11,0.9999999913160894,0.9919935378332496,0.9999999954976911,0.9959841726540293
0.026,34.403699882751745,0.4000000248254771,0.4,-7.620802179210366e-11,4.317997021029896e-11,0.9999999913178116,0.9919935378346751,0.9999999954985395,0.9959841726551506
0.028,34.403699879904075,0.40000002475979857,0.4,-8.19933891853724e-11,5.313844775139546e-11,0.9999999913196662,0.991993537836209,0.9999999954994526,0.9959841726563573
0.03,34.403699876848414,0.4000000246896413,0.4,-8.776234700893599e-11,6.439988530230374e-11,0.9999999913216528,0.991993537837851,0.9999999955004303,0.9959841726576493
0.032,34.40369987358539,0.40000002461505596,0.4,-9.351385626827234e-11,7.701434053821235e-11,0.9999999913237706,0.9919935378395999,0.9999999955014719,0.9959841726590255
0.034,34.40369987011564,0.40000002453609235,0.4,-9.924688991845604e-11,9.102741050790835e-11,0.9999999913260182,0.9919935378414548,0.9999999955025768,0.9959841726604853
0.036,34.40369986643985,0.40000002445280075,0.4,-1.0496043269554976e-10,1.0648043929420127e-10,0.9999999913283949,0.9919935378434148,0.9999999955037446,0.995984172662028
0.038,34.40369986255873,0.4000000243652307,0.4,-1.1065348099122868e-10,1.2341070759825323e-10,0.9999999913308997,0.9919935378454793,0.999999995504975,0.9959841726636531
0.04,34.403699858473054,0.4000000242734313,0.4,-1.163250428635886e-10,1.4185161119893085e-10,0.9999999913335318,0.9919935378476471,0.9999999955062671,0.9959841726653597
0.042,34.4036998541836,0.40000002417745173,0.4,-1.219741379960747e-10,1.6183283371851547e-10,0.9999999913362901,0.9919935378499173,0.9999999955076205,0.9959841726671471
0.044,34.4036998496912,0.4000000240773405,0.4,-1.2759979752022625e-10,1.8338051349704838e-10,0.9999999913391734,0.9919935378522894,0.999999995509035,0.9959841726690148
0.046,34.40369984499671,0.40000002397314616,0.4,-1.3320106399406018e-10,2.0651741908606705e-10,0.9999999913421809,0.9919935378547617,0.9999999955105094,0.9959841726709618
0.048,34.40369984010103,0.40000002386491695,0.4,-1.3877699141504093e-10,2.3126308001645333e-10,0.9999999913453116,0.991993537857334,0.9999999955120439,0.9959841726729876
0.05,34.40369983500508,0.400000023752701,0.4,-1.443266450601184e-10,2.576339533000516e-10,0.9999999913485643,0.9919935378600049,0.9999999955136373,0.995984172675091
0.052,34.40369982970983,0.40000002363654574,0.4,-1.4984910148788963e-10,2.8564355726181e-10,0.9999999913519378,0.9919935378627736,0.9999999955152893,0.9959841726772718
0.054,34.40369982421628,0.40000002351649944,0.4,-1.5534344857318522e-10,3.153026028929469e-10,0.9999999913554312,0.991993537865639,0.9999999955169995,0.9959841726795291
0.056,34.40369981852545,0.4000000233926091,0.4,-1.6080878531035912e-10,3.4661913764462707e-10,0.999999991359043,0.9919935378686005,0.9999999955187672,0.9959841726818621
0.058,34.40369981263841,0.40000002326492234,0.4,-1.6624422189543145e-10,3.7959866159327594e-10,0.9999999913627727,0.9919935378716567,0.9999999955205917,0.9959841726842699
0.06,34.40369980655624,0.4000000231334864,0.4,-1.716488796504307e-10,4.1424424695461543e-10,0.9999999913666187,0.9919935378748066,0.9999999955224724,0.9959841726867519
0.062,34.403699800280066,0.40000002299834825,0.4,-1.770218910320404e-10,4.505566556894451e-10,0.9999999913705798,0.9919935378780493,0.999999995524409,0.9959841726893071
0.064,34.40369979381106,0.4000000228595555,0.4,-1.8236239956242618e-10,4.885344522777415e-10,0.9999999913746549,0.991993537881384,0.9999999955264006,0.9959841726919347
0.066,34.40369978715037,0.4000000227171536,0.4,-1.8766955980113452e-10,5.281741109457307e-10,0.9999999913788427,0.9919935378848093,0.9999999955284465,0.9959841726946341
0.068,34.40369978029925,0.4000000225711912,0.4,-1.9294253732347616e-10,5.694701223996342e-10,0.9999999913831421,0.9919935378883245,0.9999999955305465,0.9959841726974046
0.07,34.40369977325893,0.400000022421714,0.4,-1.9818050875295084e-10,6.12415078810877e-10,0.9999999913875516,0.991993537891928,0.9999999955326997,0.9959841727002449
0.072,34.403699766030684,0.4000000222687692,0.4,-2.0338266174179247e-10,6.569997823991135e-10,0.9999999913920703,0.9919935378956194,0.9999999955349055,0.9959841727031544
0.074,34.40369975861582,0.4000000221124032,0.4,-2.0854819488882656e-10,7.032133306805122e-10,0.9999999913966965,0.9919935378993971,0.9999999955371632,0.9959841727061324
0.076,34.403699751015665,0.40000002195266304,0.4,-2.1367631782161267e-10,7.510432018012162e-10,0.9999999914014293,0.9919935379032606,0.9999999955394725,0.995984172709178
0.078,34.403699743231584,0.4000000217895948,0.4,-2.1876625108403883e-10,8.00475349242793e-10,0.9999999914062673,0.9919935379072081,0.9999999955418322,0.99598417271229
0.08,34.403699735264965,0.4000000216232454,0.4,-2.238172262335957e-10,8.514942703813396e-10,0.999999991411209,0.9919935379112392,0.9999999955442421,0.9959841727154682
0.082,34.40369972711722,0.40000002145366154,0.4,-2.2882848571816252e-10,9.040830983980973e-10,0.9999999914162531,0.9919935379153522,0.9999999955467012,0.9959841727187111
0.084,34.403699718789795,0.4000000212808893,0.4,-2.3379928299489794e-10,9.582236665572656e-10,0.9999999914213984,0.9919935379195464,0.9999999955492093,0.9959841727220181
0.086,34.403699710284165,0.40000002110497623,0.4,-2.387288824416122e-10,1.0138965851645783e-09,0.9999999914266435,0.9919935379238206,0.9999999955517653,0.9959841727253884
0.088,34.40369970160182,0.40000002092596765,0.4,-2.436165593978388e-10,1.0710813075086528e-09,0.9999999914319868,0.9919935379281735,0.9999999955543687,0.995984172728821
0.09,34.40369969274429,0.40000002074391117,0.4,-2.484616001605108e-10,1.129756204237821e-09,0.9999999914374272,0.9919935379326043,0.9999999955570188,0.995984172732315
0.092,34.403699683713114,0.4000000205588529,0.4,-2.5326330197531447e-10,1.1898986174706248e-09,0.9999999914429631,0.9919935379371116,0.9999999955597151,0.9959841727358697
0.094,34.40369967450986,0.40000002037083926,0.4,-2.580209729912946e-10,1.2514849391676265e-09,0.9999999914485932,0.9919935379416943,0.9999999955624566,0.995984172739484
0.096,34.40369966513614,0.40000002017991737,0.4,-2.6273393236677535e-10,1.314490653356927e-09,0.9999999914543162,0.991993537946351,0.9999999955652427,0.9959841727431566
0.098,34.40369965559356,0.4000000199861333,0.4,-2.674015102153189e-10,1.3788904011622943e-09,0.9999999914601302,0.991993537951081,0.9999999955680727,0.9959841727468873
0.1,34.40369964588378,0.4000000197895344,0.4,-2.7202304762085723e-10,1.4446580351585435e-09,0.9999999914660344,0.991993537955883,0.9999999955709461,0.995984172750675
0.102,34.40369963600846,0.4000000195901671,0.4,-2.7659789661175195e-10,1.5117666779961278e-09,0.9999999914720267,0.9919935379607558,0.9999999955738621,0.9959841727545186
0.104,34.4036996259693,0.40000001938807783,0.4,-2.8112542020402767e-10,1.5801887679326724e-09,0.9999999914781059,0.991993537965698,0.9999999955768197,0.995984172758417
0.106,34.40369961576801,0.4000000191833139,0.4,-2.856049924316349e-10,1.649896106065011e-09,0.9999999914842709,0.9919935379707088,0.9999999955798188,0.9959841727623697
0.108,34.403699605406324,0.4000000189759215,0.4,-2.900359982426909e-10,1.7208599111590422e-09,0.9999999914905197,0.9919935379757866,0.999999995582858,0.9959841727663754
0.11,34.403699594886014,0.40000001876594815,0.4,-2.944178336140471e-10,1.7930508613881946e-09,0.9999999914968509,0.9919935379809305,0.9999999955859371,0.9959841727704335
0.112,34.403699584208844,0.40000001855344,0.4,-2.987499056096537e-10,1.8664391323585174e-09,0.999999991503263,0.9919935379861392,0.9999999955890551,0.9959841727745425
0.114,34.40369957337663,0.40000001833844484,0.4,-3.030316322033042e-10,1.9409944484930876e-09,0.9999999915097549,0.9919935379914114,0.9999999955922113,0.9959841727787021
0.116,34.40369956239118,0.4000000181210089,0.4,-3.072624424364361e-10,2.016686119265672e-09,0.9999999915163247,0.991993537996746,0.999999995595405,0.9959841727829107
