Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,pSS2B.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.40000002524778827,0.4,0.0,0.0,0.9999999913060579,0.9919935378249138,0.999999995492736,0.9959841726474757
1.0000000007867766e-10,34.403699900638316,0.40000002524778827,0.4,-2.9495077022855e-19,-2.4574790875871354e-16,0.9999999913060579,0.9919935378249138,0.999999995492736,0.9959841726474757
1.0000000007867766e-10,34.403699900638316,0.40000002524778827,0.4,-2.9495077022855e-19,-2.4574790875871354e-16,0.9999999913060579,0.9919935378249138,0.999999995492736,0.9959841726474757
0.002,34.40369990053215,0.40000002524500783,0.4,-5.898479079417838e-12,-4.496946060989745e-09,0.9999999913060195,0.9919935378249091,0.9999999954927282,0.9959841726474687
0.004,34.40369990021368,0.4000000252369068,0.4,-1.1794882492243543e-11,-8.248114145609803e-09,0.9999999913060282,0.9919935378249671,0.9999999954927535,0.9959841726475084
0.006,34.403699899365904,0.40000002521618794,0.4,-1.7679362801079414e-11,-1.0633974706291137e-08,0.9999999913063738,0.9919935378253083,0.9999999954929466,0.9959841726477702
0.008,34.4036998984975,0.4000000251949828,0.4,-2.3563315970244118e-11,-1.2971098146892425e-08,0.9999999913067341,0.9919935378256612,0.9999999954931466,0.9959841726480413
0.01,34.40369989684939,0.4000000251561087,0.4,-2.94099702412987e-11,-1.421331100580687e-08,0.999999991307649,0.9919935378264602,0.9999999954936145,0.9959841726486649
0.012,34.403699895119445,0.40000002511538035,0.4,-3.5252709165455427e-11,-1.5340588706669787e-08,0.9999999913086223,0.991993537827306,0.9999999954941104,0.9959841726493254
0.014,34.40369989338949,0.40000002507465193,0.4,-4.1095448089612154e-11,-1.646786640753272e-08,0.9999999913095955,0.9919935378281517,0.9999999954946066,0.995984172649986
0.016,34.40369989165955,0.40000002503392357,0.4,-4.693818701376888e-11,-1.759514410839564e-08,0.999999991310569,0.9919935378289976,0.9999999954951025,0.9959841726506465
0.018,34.40369988857156,0.4000000249643087,0.4,-5.265904632964732e-11,-1.7935072426773717e-08,0.9999999913124454,0.9919935378305703,0.999999995496035,0.9959841726518814
0.02,34.40369988516294,0.40000002488787445,0.4,-5.83511306751756e-11,-1.8089112757355627e-08,0.9999999913145353,0.9919935378323148,0.9999999954970706,0.9959841726532519
0.022,34.403699881754335,0.4000000248114395,0.4,-6.404321502070387e-11,-1.8243153087937544e-08,0.9999999913166252,0.9919935378340591,0.999999995498106,0.9959841726546224
0.024,34.40369987834572,0.4000000247350047,0.4,-6.973529936623216e-11,-1.839719341851946e-08,0.9999999913187149,0.9919935378358034,0.9999999954991414,0.9959841726559927
0.026,34.40369987493711,0.40000002465857,0.4,-7.542738371176043e-11,-1.855123374910134e-08,0.9999999913208047,0.9919935378375477,0.999999995500177,0.9959841726573633
0.028,34.403699871528495,0.4000000245821356,0.4,-8.111946805728871e-11,-1.8705274079683244e-08,0.9999999913228945,0.991993537839292,0.9999999955012125,0.9959841726587336
0.03,34.40369986811988,0.40000002450570077,0.4,-8.681155240281699e-11,-1.8859314410265147e-08,0.9999999913249843,0.9919935378410364,0.9999999955022479,0.995984172660104
0.032,34.40369986471127,0.40000002442926597,0.4,-9.250363674834527e-11,-1.901335474084706e-08,0.9999999913270742,0.9919935378427807,0.9999999955032834,0.9959841726614744
0.034,34.40369985942218,0.4000000243166747,0.4,-9.787189157659278e-11,-1.8929652109746968e-08,0.9999999913303004,0.9919935378454382,0.9999999955048674,0.9959841726635665
0.036,34.40369985296581,0.40000002418163927,0.4,-1.0303913132958203e-10,-1.8698372075154063e-08,0.999999991334232,0.9919935378486627,0.999999995506792,0.9959841726661067
0.038,34.40369984650944,0.4000000240466034,0.4,-1.0820637108257129e-10,-1.8467092040561157e-08,0.9999999913381633,0.9919935378518872,0.9999999955087163,0.9959841726686468
0.04,34.403699840053065,0.40000002391156764,0.4,-1.1337361083556055e-10,-1.8235812005968272e-08,0.9999999913420948,0.9919935378551118,0.9999999955106409,0.9959841726711869
