Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,pSS2B.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
0.0,34.403699900638316,0.40000002524778816,0.4,0.0,0.0,0.9999999913060578,0.9919935378249138,0.999999995492736,0.9959841726474757
0.002,34.40369990053214,0.40000002524499095,0.4,-5.898522646867833e-12,-4.4929790584309425e-09,0.9999999913060099,0.9919935378249036,0.9999999954927246,0.9959841726474641
0.004,34.403699900213645,0.4000000252368603,0.4,-1.1795210753946634e-11,-8.220308034955863e-09,0.9999999913060089,0.9919935378249561,0.9999999954927461,0.995984172647499
0.006,34.40369989968292,0.40000002522357947,0.4,-1.768884368117109e-11,-1.1290109422552494e-08,0.9999999913061339,0.991993537825117,0.9999999954928314,0.9959841726476188
0.008,34.40369989894009,0.4000000252052425,0.4,-2.3578230608426477e-11,-1.3796203613709816e-08,0.9999999913064079,0.9919935378253999,0.9999999954929895,0.9959841726478347
0.01,34.40369989798535,0.40000002518191696,0.4,-2.946219904638322e-11,-1.5819937970077726e-08,0.999999991306837,0.9919935378258078,0.9999999954932226,0.9959841726481492
0.012,34.40369989681889,0.4000000251536599,0.4,-3.533959072287847e-11,-1.743179004891899e-08,0.9999999913074212,0.9919935378263403,0.9999999954935305,0.9959841726485623
0.014,34.40369989544099,0.4000000251205258,0.4,-4.120926056910263e-11,-1.869276999000184e-08,0.9999999913081588,0.9919935378269961,0.9999999954939126,0.9959841726490729
0.016,34.40369989385193,0.40000002508256743,0.4,-4.7070076006255157e-11,-1.965564510341911e-08,0.999999991309048,0.9919935378277738,0.9999999954943678,0.9959841726496795
0.018,34.40369989205206,0.40000002503983667,0.4,-5.2920916889341616e-11,-2.036600932610541e-08,0.9999999913100865,0.9919935378286714,0.9999999954948952,0.9959841726503812
0.02,34.40369989004176,0.4000000249923861,0.4,-5.87606752802006e-11,-2.0863216437933824e-08,0.9999999913112727,0.9919935378296881,0.9999999954954939,0.9959841726511769
0.022,34.40369988782144,0.40000002494026565,0.4,-6.458825533942118e-11,-2.1181194431540313e-08,0.9999999913126043,0.9919935378308218,0.9999999954961628,0.995984172652065
0.024,34.40369988539157,0.40000002488352754,0.4,-7.040257327878671e-11,-2.1349155997145123e-08,0.9999999913140797,0.9919935378320714,0.9999999954969013,0.9959841726530445
0.026,34.403699882752626,0.4000000248222213,0.4,-7.620255729858692e-11,-2.139221815542077e-08,0.9999999913156973,0.9919935378334355,0.9999999954977086,0.9959841726541145
0.028,34.40369987990517,0.4000000247563984,0.4,-8.198714742765596e-11,-2.1331942479270733e-08,0.9999999913174552,0.9919935378349127,0.9999999954985836,0.995984172655274
0.03,34.40369987684975,0.4000000246861075,0.4,-8.775529556660529e-11,-2.1186806156316053e-08,0.9999999913193519,0.991993537836502,0.999999995499526,0.995984172656522
0.032,34.403699873586994,0.4000000246113991,0.4,-9.350596528895204e-11,-2.09726123186633e-08,0.999999991321386,0.9919935378382017,0.9999999955005346,0.9959841726578571
0.034,34.40369987011754,0.4000000245323219,0.4,-9.923813186489709e-11,-2.0702847678669027e-08,0.9999999913235557,0.9919935378400108,0.9999999955016089,0.9959841726592785
0.036,34.40369986644208,0.40000002444892546,0.4,-1.0495078213378777e-10,-2.0388993880856395e-08,0.9999999913258597,0.9919935378419282,0.9999999955027482,0.9959841726607856
0.038,34.40369986256133,0.4000000243612586,0.4,-1.1064291448898643e-10,-2.004079862836184e-08,0.9999999913282964,0.9919935378439527,0.9999999955039517,0.9959841726623775
0.04,34.40369985847605,0.40000002426937004,0.4,-1.1631353879356593e-10,-1.966651158223943e-08,0.9999999913308648,0.9919935378460831,0.9999999955052188,0.9959841726640527
0.042,34.40369985418703,0.4000000241733075,0.4,-1.2196167636301658e-10,-1.927308959993508e-08,0.999999991333563,0.9919935378483182,0.9999999955065487,0.9959841726658107
0.044,34.403699849695094,0.40000002407311996,0.4,-1.275863598074457e-10,-1.886637508187021e-08,0.9999999913363902,0.9919935378506569,0.9999999955079408,0.9959841726676507
0.046,34.4036998450011,0.40000002396885487,0.4,-1.3318663310291212e-10,-1.8451251119637198e-08,0.9999999913393445,0.9919935378530982,0.9999999955093944,0.9959841726695715
0.048,34.40369984010596,0.40000002386056016,0.4,-1.3876155148982854e-10,-1.8031776127981285e-08,0.9999999913424251,0.991993537855641,0.9999999955109091,0.9959841726715727
0.05,34.403699835010585,0.4000000237482834,0.4,-1.4431018147079996e-10,-1.7611300778964017e-08,0.99999999134563,0.9919935378582838,0.9999999955124839,0.9959841726736529
0.052,34.40369982971595,0.40000002363207193,0.4,-1.4983160071334945e-10,-1.719256936437859e-08,0.9999999913489583,0.991993537861026,0.999999995514118,0.9959841726758115
0.054,34.40369982422305,0.4000000235119735,0.4,-1.553248980023619e-10,-1.6777807707465788e-08,0.9999999913524087,0.9919935378638661,0.9999999955158113,0.9959841726780476
0.056,34.40369981853291,0.4000000233880353,0.4,-1.607891733784295e-10,-1.6368799449513316e-08,0.9999999913559795,0.9919935378668033,0.9999999955175628,0.9959841726803603
0.058,34.403699812646586,0.40000002326030365,0.4,-1.66223537865484e-10,-1.5966951760135143e-08,0.9999999913596699,0.9919935378698364,0.9999999955193718,0.9959841726827489
0.06,34.40369980656518,0.40000002312882676,0.4,-1.7162711362427376e-10,-1.5573352493454723e-08,0.9999999913634782,0.9919935378729642,0.9999999955212378,0.9959841726852122
0.062,34.403699800289814,0.4000000229936504,0.4,-1.7699903389399932e-10,-1.5188819383566843e-08,0.9999999913674034,0.9919935378761856,0.99999999552316,0.9959841726877497
0.064,34.40369979382164,0.4000000228548223,0.4,-1.8233844284748273e-10,-1.4813942441904577e-08,0.9999999913714437,0.9919935378794998,0.999999995525138,0.9959841726903604
0.066,34.40369978716185,0.40000002271238866,0.4,-1.8764449569708852e-10,-1.4449120686541669e-08,0.9999999913755981,0.9919935378829055,0.9999999955271708,0.9959841726930433
0.068,34.40369978031164,0.40000002256639605,0.4,-1.9291635871634014e-10,-1.409459369077802e-08,0.9999999913798653,0.9919935378864015,0.999999995529258,0.9959841726957976
0.07,34.40369977327229,0.40000002241689164,0.4,-1.9815320907131126e-10,-1.3750468554305042e-08,0.9999999913842438,0.9919935378899869,0.999999995531399,0.9959841726986228
0.072,34.403699766045044,0.4000000222639217,0.4,-2.0335423497410294e-10,-1.3416743290524904e-08,0.9999999913887321,0.9919935378936603,0.9999999955335928,0.9959841727015175
0.074,34.40369975863122,0.4000000221075327,0.4,-2.0851863552071998e-10,-1.3093326620936787e-08,0.9999999913933288,0.9919935378974206,0.9999999955358388,0.9959841727044809
0.076,34.40369975103215,0.4000000219477712,0.4,-2.1364562081428477e-10,-1.2780055112037141e-08,0.999999991398033,0.9919935379012669,0.9999999955381367,0.9959841727075123
0.078,34.40369974324919,0.4000000217846843,0.4,-2.1873441185695498e-10,-1.247670761306664e-08,0.999999991402843,0.991993537905198,0.9999999955404854,0.9959841727106106
0.08,34.403699735283745,0.4000000216183176,0.4,-2.2378424060612633e-10,-1.2183017666236193e-08,0.9999999914077573,0.9919935379092129,0.9999999955428844,0.9959841727137752
