Time,gENROE.delta,gENROE.PELEC,gENROE.PMECH,gENROE.SPEED,pSS2A.VOTHSG,GEN1.V,LOAD.V,GEN2.V,FAULT.V
-0.0166667, 34.4037, 0.4, 0.4, 0, 0, 1, 0.991993, 1, 0.995984
-0.0156667, 34.4037, 0.4, 0.4, 5.22237e-12, 6.11041e-10, 1, 0.991993, 1, 0.995984
-0.0146667, 34.4037, 0.4, 0.4, 8.70395e-12, 9.95748e-10, 1, 0.991993, 1, 0.995984
-0.0136667, 34.4037, 0.4, 0.4, 1.21855e-11, 1.3736e-09, 1, 0.991993, 1, 0.995984
-0.0126667, 34.4037, 0.4, 0.4, 1.56671e-11, 1.74205e-09, 1, 0.991993, 1, 0.995984
-0.0116667, 34.4037, 0.4, 0.4, 1.91487e-11, 2.10134e-09, 1, 0.991993, 1, 0.995984
-0.0106667, 34.4037, 0.4, 0.4, 2.26303e-11, 2.45163e-09, 1, 0.991993, 1, 0.995984
-0.00966667, 34.4037, 0.4, 0.4, 2.61118e-11, 2.79312e-09, 1, 0.991993, 1, 0.995984
-0.00866667, 34.4037, 0.4, 0.4, 2.95934e-11, 3.12599e-09, 1, 0.991993, 1, 0.995984
-0.00766667, 34.4037, 0.4, 0.4, 3.3075e-11, 3.45041e-09, 1, 0.991993, 1, 0.995984
-0.00666667, 34.4037, 0.4, 0.4, 3.65566e-11, 3.76656e-09, 1, 0.991993, 1, 0.995984
-0.00566667, 34.4037, 0.4, 0.4, 4.00382e-11, 4.07461e-09, 1, 0.991993, 1, 0.995984
-0.00466667, 34.4037, 0.4, 0.4, 4.35197e-11, 4.37472e-09, 1, 0.991993, 1, 0.995984
-0.00366667, 34.4037, 0.4, 0.4, 4.70013e-11, 4.66707e-09, 1, 0.991993, 1, 0.995984
-0.00266667, 34.4037, 0.4, 0.4, 5.04829e-11, 4.9518e-09, 1, 0.991993, 1, 0.995984
-0.00166667, 34.4037, 0.4, 0.4, 5.39645e-11, 5.22909e-09, 1, 0.991993, 1, 0.995984
-0.000666665, 34.4037, 0.4, 0.4, 5.74461e-11, 5.49907e-09, 1, 0.991993, 1, 0.995984
0.000333335, 34.4037, 0.4, 0.4, 6.09276e-11, 5.76192e-09, 1, 0.991993, 1, 0.995984
0.00133333, 34.4037, 0.4, 0.4, 6.44092e-11, 6.01777e-09, 1, 0.991993, 1, 0.995984
0.00233334, 34.4037, 0.4, 0.4, 6.78908e-11, 6.26677e-09, 1, 0.991993, 1, 0.995984
0.00333334, 34.4037, 0.4, 0.4, 7.13724e-11, 6.50907e-09, 1, 0.991993, 1, 0.995984
0.00433334, 34.4037, 0.4, 0.4, 7.48539e-11, 6.74481e-09, 1, 0.991993, 1, 0.995984
0.00533334, 34.4037, 0.4, 0.4, 7.83355e-11, 6.97412e-09, 1, 0.991993, 1, 0.995984
0.00633334, 34.4037, 0.4, 0.4, 8.18171e-11, 7.19714e-09, 1, 0.991993, 1, 0.995984
0.00733334, 34.4037, 0.4, 0.4, 8.52987e-11, 7.41401e-09, 1, 0.991993, 1, 0.995984
0.00833334, 34.4037, 0.4, 0.4, 8.87802e-11, 7.62485e-09, 1, 0.991993, 1, 0.995984
0.00933334, 34.4037, 0.4, 0.4, 9.22618e-11, 7.8298e-09, 1, 0.991993, 1, 0.995984
0.0103333, 34.4037, 0.4, 0.4, 9.57434e-11, 8.02897e-09, 1, 0.991993, 1, 0.995984
0.0113333, 34.4037, 0.4, 0.4, 9.9225e-11, 8.2225e-09, 1, 0.991993, 1, 0.995984
0.0123333, 34.4037, 0.4, 0.4, 1.02707e-10, 8.4105e-09, 1, 0.991993, 1, 0.995984
0.0133333, 34.4037, 0.4, 0.4, 1.06188e-10, 8.5931e-09, 1, 0.991993, 1, 0.995984
0.0143333, 34.4037, 0.4, 0.4, 1.0967e-10, 8.7704e-09, 1, 0.991993, 1, 0.995984
0.0153333, 34.4037, 0.4, 0.4, 1.13151e-10, 8.94253e-09, 1, 0.991993, 1, 0.995984
0.0163333, 34.4037, 0.4, 0.4, 1.16633e-10, 9.10959e-09, 1, 0.991993, 1, 0.995984
0.0173333, 34.4037, 0.4, 0.4, 1.20114e-10, 9.27169e-09, 1, 0.991993, 1, 0.995984
0.0183333, 34.4037, 0.4, 0.4, 1.23596e-10, 9.42895e-09, 1, 0.991993, 1, 0.995984
0.0193333, 34.4037, 0.4, 0.4, 1.27078e-10, 9.58146e-09, 1, 0.991993, 1, 0.995984
